t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
0.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.601,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
3.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
3.200,-0.299,0.397,0.0018,0.000,0.000,0,0.000,0.000,0.010,0.060,0.000,0.000,0.0000,PLAN,207
3.400,-0.283,0.401,0.0009,0.000,0.000,0,0.000,0.000,0.136,-0.016,0.000,0.000,0.0000,PLAN,181
3.600,-0.283,0.401,0.0009,0.000,0.000,0,0.000,0.000,0.136,-0.016,0.000,0.000,0.0000,PLAN,181
3.800,-0.283,0.401,0.0009,0.000,0.000,0,0.000,0.000,0.136,-0.016,0.000,0.000,0.0000,PLAN,181
4.000,-0.283,0.401,0.0009,0.000,0.000,0,0.000,0.000,0.136,-0.016,0.000,0.000,0.0000,PLAN,181
4.200,-0.283,0.401,0.0009,0.000,0.000,0,0.000,0.000,0.136,-0.016,0.000,0.000,0.0000,PLAN,181
4.400,-0.339,0.487,-0.0031,0.000,0.000,0,0.000,0.000,0.501,-0.015,0.000,0.000,0.0000,PLAN,169
4.600,-0.438,0.535,-0.0011,0.000,0.000,0,0.000,0.000,-0.399,0.108,0.000,0.000,0.0000,PLAN,169
4.800,-0.429,0.546,0.0006,0.000,0.000,0,0.000,0.000,-0.030,-0.001,0.000,0.000,0.0000,PLAN,206
5.001,-0.445,0.582,0.0000,0.000,0.000,0,0.000,0.000,0.097,-0.010,0.000,0.000,0.0000,PLAN,196
