t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
0.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
2.466,4.215,-2.885,-0.0645,0.000,0.000,0,0.000,0.000,0.279,-0.055,0.000,0.000,0.0000,PLAN,0
2.600,4.208,-2.865,-0.0642,0.000,0.000,0,0.000,0.000,0.078,0.050,0.000,0.000,0.0000,PLAN,0
2.801,4.214,-2.862,-0.0666,0.000,0.000,0,0.000,0.000,0.015,0.010,0.000,0.000,0.0000,PLAN,224
3.000,4.213,-2.825,-0.0725,0.000,0.000,0,0.000,0.000,-0.026,0.083,0.000,0.000,0.0000,PLAN,249
3.200,4.217,-2.837,-0.0689,0.000,0.000,0,0.000,0.000,0.022,0.253,0.000,0.000,0.0000,PLAN,249
3.400,4.250,-2.871,-0.0629,0.000,0.000,0,0.050,0.075,0.174,-0.251,0.000,0.000,0.0000,PLAN,226
3.600,4.242,-2.851,-0.0613,0.000,0.000,0,0.250,0.200,0.007,0.037,0.000,0.000,0.0000,PLAN,228
3.800,4.271,-2.840,-0.0632,0.000,0.000,0,0.450,0.200,0.146,0.112,0.000,0.000,0.0000,PLAN,201
4.000,4.276,-2.843,-0.0595,0.000,0.000,0,0.650,0.200,0.190,-0.013,0.000,0.000,0.0000,PLAN,201
4.200,4.276,-2.843,-0.0595,0.000,0.000,0,0.709,0.200,0.190,-0.013,0.000,0.000,0.0000,PLAN,201
4.400,4.276,-2.843,-0.0595,0.000,0.000,0,0.709,0.200,0.190,-0.013,0.000,0.000,0.0000,PLAN,201
4.600,4.341,-2.819,-0.0422,0.000,0.000,0,0.637,0.200,0.241,0.087,0.000,0.000,0.0000,PLAN,180
4.800,4.340,-2.824,-0.0415,0.000,0.000,0,0.638,0.200,0.193,0.088,0.000,0.000,0.0000,PLAN,170
5.000,4.397,-2.833,-0.0258,0.000,0.000,0,0.638,0.200,0.203,0.059,0.000,0.000,0.0000,PLAN,170
5.200,4.598,-2.678,0.0013,0.000,0.000,0,0.676,0.200,2.377,-0.185,0.000,0.000,0.0000,PLAN,94
5.400,4.780,-2.815,0.0032,0.000,0.000,0,0.597,0.200,0.489,-0.128,0.000,0.000,0.0000,PLAN,156
5.600,4.775,-2.779,0.0101,0.000,0.000,0,0.632,0.200,0.027,0.059,0.000,0.000,0.0000,PLAN,156
5.800,4.775,-2.779,0.0101,0.000,0.000,0,0.632,0.200,0.027,0.059,0.000,0.000,0.0000,PLAN,156
6.000,5.215,-2.705,0.0805,0.000,0.000,0,0.627,0.200,1.163,0.096,0.000,0.000,0.0000,PLAN,157
6.200,5.304,-2.738,0.0769,0.000,0.000,0,0.589,0.200,0.865,-0.286,0.000,0.000,0.0000,PLAN,164
6.400,5.304,-2.738,0.0769,0.000,0.000,0,0.589,0.200,0.865,-0.286,0.000,0.000,0.0000,PLAN,164
6.600,5.304,-2.738,0.0769,0.000,0.000,0,0.628,0.200,0.865,-0.286,0.000,0.000,0.0000,PLAN,164
