t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts
0.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,831
1.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,982
2.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,963
2.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
2.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
2.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
2.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
3.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
3.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
3.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,1016
3.600,-0.077,0.319,0.0016,0.000,0.000,0,0.000,0.000,0.526,0.028,0.000,0.000,0.0000,PLAN,1016
3.800,-0.077,0.319,0.0016,0.000,0.000,0,0.000,0.000,0.526,0.028,0.000,0.000,0.0000,PLAN,877
4.000,-0.077,0.319,0.0016,0.000,0.000,0,0.000,0.000,0.526,0.028,0.000,0.000,0.0000,PLAN,877
4.200,0.200,-0.794,0.0005,0.000,0.000,0,0.000,0.000,0.423,-0.005,0.000,0.000,0.0000,PLAN,877
4.401,-0.173,0.066,-0.0133,0.000,0.000,0,0.000,0.000,1.167,0.007,0.000,0.000,0.0000,PLAN,852
4.600,0.141,0.002,-0.0191,0.000,0.000,0,0.000,0.000,1.808,-0.143,0.000,0.000,0.0000,PLAN,852
4.801,0.168,-0.191,-0.0128,0.000,0.000,0,0.000,0.000,-0.024,-0.449,0.000,0.000,0.0000,PLAN,823
5.000,0.056,-0.122,-0.0071,0.000,0.000,0,0.000,0.000,-0.824,-0.250,0.000,0.000,0.0000,PLAN,795
5.200,0.050,-0.116,-0.0025,0.000,0.000,0,0.000,0.000,-0.388,-0.093,0.000,0.000,0.0000,PLAN,786
5.400,0.064,-0.061,0.0002,0.000,0.000,0,0.000,0.000,-0.156,-0.247,0.000,0.000,0.0000,PLAN,786
5.600,0.086,-0.070,0.0054,0.000,0.000,0,0.000,0.000,0.119,-0.247,0.000,0.000,0.0000,PLAN,786
5.800,0.015,-0.085,-0.0025,0.000,0.000,0,0.000,0.000,-0.456,0.230,0.000,0.000,0.0000,PLAN,786
6.000,-0.310,-0.124,0.0159,0.000,0.000,0,0.000,0.000,-1.294,0.130,0.000,0.000,0.0000,PLAN,786
6.200,-0.115,0.053,-0.0089,0.000,0.000,0,0.000,0.000,0.279,-0.206,0.000,0.000,0.0000,PLAN,881
6.400,-0.044,-0.034,-0.0104,0.000,0.000,0,0.000,0.000,0.968,0.021,0.000,0.000,0.0000,PLAN,859
