t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
0.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
1.001,-0.101,0.078,0.0007,0.000,0.000,0,0.000,0.000,-0.008,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
1.201,-0.101,0.078,-0.0002,0.000,0.000,0,0.000,0.000,-0.007,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
1.400,-0.101,0.078,-0.0002,0.000,0.000,0,0.000,0.000,-0.007,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
1.601,-0.101,0.078,-0.0002,0.000,0.000,0,0.000,0.000,-0.007,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,7,300,2.004,0,none
1.801,-0.101,0.078,-0.0002,0.000,0.000,0,0.000,0.000,-0.007,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,7,300,2.004,0,none
2.001,-0.101,0.078,-0.0002,0.000,0.000,0,0.000,0.000,-0.007,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,7,315,1.502,0,none
2.201,-0.101,0.078,-0.0002,0.000,0.000,0,0.000,0.000,-0.007,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,7,315,1.170,0,none
2.401,-0.101,0.126,0.0009,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22232,0,6,270,2.434,0,none
2.601,-0.100,0.125,0.0008,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22232,0,6,270,2.434,0,none
2.800,-0.100,0.125,0.0008,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22232,0,6,270,2.434,0,none
3.000,-0.100,0.125,0.0008,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22232,0,6,270,2.434,0,none
3.200,-0.100,0.125,0.0008,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22232,0,6,270,2.434,0,none
3.400,-0.100,0.125,0.0008,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3468,3468,22232,0,6,270,2.434,0,none
3.601,-0.100,0.125,0.0008,8.000,0.000,1,0.000,0.000,0.000,0.006,0.000,0.000,-0.0163,PLAN,0,0.000,0.000,0,nan,0.000,3468,3468,22232,0,6,270,2.434,0,none
3.800,-0.170,0.114,-0.0025,8.000,0.000,1,0.000,0.000,-0.006,-0.005,0.012,-0.069,-0.0115,PLAN,0,0.000,0.000,0,nan,0.000,3457,3457,22469,0,6,270,2.434,0,none
4.001,-0.178,0.132,0.0010,8.000,0.000,1,0.000,0.000,0.002,-0.003,0.006,-0.078,-0.0171,PLAN,447,0.000,0.000,0,nan,0.000,3424,3424,22469,7701,11,495,3.184,0,none
4.201,-0.185,0.129,0.0001,8.000,0.000,1,0.000,0.000,0.003,-0.000,0.002,-0.084,-0.0158,PLAN,447,0.000,0.000,0,nan,0.000,3409,3409,22529,7701,11,495,3.184,0,none
4.401,-0.187,0.126,-0.0006,8.000,0.000,1,0.000,0.000,0.003,-0.006,0.001,-0.086,-0.0148,PLAN,450,0.000,0.000,0,nan,0.000,3383,3383,22534,7721,12,540,5.000,0,none
4.601,-0.188,0.124,0.0006,8.000,0.000,1,0.000,0.000,0.002,0.013,0.003,-0.087,-0.0158,PLAN,464,0.000,0.000,0,nan,0.000,3389,3389,22534,7725,12,540,5.000,0,none
4.801,-0.186,0.123,-0.0005,8.000,0.000,1,0.000,0.000,0.003,0.005,0.004,-0.085,-0.0144,PLAN,471,0.000,0.000,0,nan,0.000,3386,3386,22445,7736,12,505,5.000,0,none
5.001,-0.184,0.118,0.0010,8.000,0.000,1,0.000,0.000,0.002,-0.000,0.009,-0.084,-0.0154,PLAN,481,0.000,0.000,0,nan,0.000,3386,3386,22445,7652,13,530,4.186,0,none
5.200,-0.184,0.118,0.0010,8.000,0.000,1,0.000,0.000,0.002,-0.000,0.009,-0.084,-0.0154,PLAN,481,0.000,0.000,0,nan,0.000,3386,3386,22445,7652,12,480,4.186,0,none
5.401,-0.184,0.118,0.0010,8.000,0.000,1,0.000,0.000,0.002,-0.000,0.009,-0.084,-0.0154,PLAN,481,0.000,0.000,0,nan,0.000,3386,3386,22191,7652,12,480,4.186,0,none
5.601,-0.168,0.101,-0.0006,8.000,0.000,1,0.000,0.000,0.000,0.007,0.025,-0.068,-0.0118,PLAN,481,0.000,0.000,0,nan,0.000,3466,3466,22191,7652,12,475,4.186,0,none
5.801,-0.167,0.101,-0.0004,8.000,0.000,1,0.000,0.000,0.000,0.007,0.026,-0.066,-0.0120,PLAN,480,0.000,0.000,0,nan,0.000,3471,3471,22191,7587,14,550,3.248,0,none
6.001,-0.167,0.101,-0.0004,8.000,0.000,1,0.000,0.000,0.000,0.007,0.026,-0.066,-0.0120,PLAN,480,0.000,0.000,0,nan,0.000,3471,3471,22191,7587,16,615,3.248,0,none
6.200,-0.167,0.101,-0.0004,8.000,0.000,1,0.000,0.000,0.000,0.007,0.026,-0.066,-0.0120,PLAN,480,0.000,0.000,0,nan,0.000,3471,3471,22191,7587,15,570,3.248,0,none
