t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status
0.201,-0.017,0.056,0.0000,0.000,0.000,0,0.000,0.000,-0.005,-0.010,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,none
0.401,-0.013,0.054,0.0001,0.000,0.000,0,0.000,0.000,-0.002,-0.003,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7273,0,0,0.000,0,none
0.601,-0.016,0.054,-0.0010,0.000,0.000,0,0.000,0.000,-0.005,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7324,0,0,0.000,0,none
0.800,-0.017,0.056,-0.0010,0.000,0.000,0,0.000,0.000,0.002,0.008,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7450,0,0,0.000,0,none
1.000,-0.021,0.060,-0.0005,0.000,0.000,0,0.000,0.000,-0.003,0.009,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7450,0,0,0.000,0,none
1.200,-0.025,0.063,-0.0028,0.000,0.000,0,0.000,0.000,-0.001,0.011,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7450,0,0,0.000,0,none
1.401,-0.027,0.070,-0.0004,0.000,0.000,0,0.000,0.000,-0.000,0.012,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22138,7466,0,0,0.000,0,none
1.601,-0.037,0.085,-0.0004,0.000,0.000,0,0.000,0.000,0.000,-0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22138,7466,0,0,0.000,0,none
1.800,-0.041,0.086,-0.0002,0.000,0.000,0,0.000,0.000,-0.000,-0.009,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22138,7591,0,0,0.000,0,none
2.000,-0.055,0.085,-0.0060,0.000,0.000,0,0.000,0.000,-0.010,-0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3694,3694,22213,7591,0,0,0.000,0,none
2.200,-0.082,0.127,-0.0033,0.000,0.000,0,0.000,0.000,-0.007,0.009,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3597,3597,22218,7675,0,0,0.000,0,none
2.400,-0.099,0.149,-0.0036,0.000,0.000,0,0.000,0.000,0.004,0.001,0.000,0.000,0.0000,PLAN,424,0.000,0.000,0,nan,0.000,3597,3597,22218,7675,17,680,3.180,0,none
2.601,-0.111,0.165,-0.0023,0.000,0.000,0,0.000,0.000,-0.004,-0.002,0.000,0.000,0.0000,PLAN,439,0.000,0.000,0,nan,0.000,3597,3597,22218,7664,17,675,3.180,0,none
2.800,-0.116,0.179,-0.0019,0.000,0.000,0,0.000,0.000,0.004,-0.002,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3604,3604,22218,7664,17,675,3.180,0,none
3.000,-0.124,0.199,-0.0014,0.000,0.000,0,0.000,0.000,0.003,0.007,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3604,3604,22218,7664,16,620,3.278,0,none
3.200,-0.133,0.204,-0.0003,0.000,0.000,0,0.000,0.000,0.001,-0.012,0.000,0.000,0.0000,PLAN,450,0.000,0.000,0,nan,0.000,3599,3599,22218,7687,17,665,3.040,0,none
3.401,-0.138,0.211,-0.0042,0.000,0.000,0,0.000,0.000,0.002,-0.004,0.000,0.000,0.0000,PLAN,450,0.000,0.000,0,nan,0.000,3597,3597,22438,7687,17,665,3.040,0,none
3.600,-0.151,0.231,-0.0022,0.000,0.000,0,0.000,0.000,0.002,-0.004,0.000,0.000,0.0000,PLAN,447,0.000,0.000,0,nan,0.000,3597,3597,22452,7672,16,650,2.477,0,none
3.800,-0.158,0.244,-0.0015,0.000,0.000,0,0.000,0.000,0.002,-0.003,0.000,0.000,0.0000,PLAN,454,0.000,0.000,0,nan,0.000,3600,3600,22452,7662,16,650,2.477,0,none
4.001,-0.160,0.249,0.0001,0.000,0.000,0,0.000,0.000,0.002,0.005,0.000,0.000,0.0000,PLAN,460,0.000,0.000,0,nan,0.000,3600,3600,22452,7671,13,510,1.887,0,none
4.201,-0.160,0.249,0.0001,0.000,0.000,0,0.000,0.000,0.002,0.005,0.000,0.000,0.0000,PLAN,460,0.000,0.000,0,nan,0.000,3554,3554,22452,7671,13,510,1.327,0,none
4.401,-0.160,0.249,0.0001,0.000,0.000,0,0.000,0.000,0.002,0.005,0.000,0.000,0.0000,PLAN,460,0.000,0.000,0,nan,0.000,3429,3429,22452,7671,14,530,3.830,0,none
4.601,-0.145,0.249,0.0010,0.000,0.000,0,0.000,0.000,0.002,-0.006,0.000,0.000,0.0000,PLAN,460,0.000,0.000,0,nan,0.000,3429,3429,22367,7671,14,530,3.830,0,none
4.801,-0.137,0.245,0.0005,8.000,0.000,1,0.050,-0.018,0.000,-0.001,0.001,0.002,-0.0307,PLAN,398,0.000,0.000,0,8.273,8.144,3429,3429,22367,7661,11,440,3.830,0,none
5.001,-0.134,0.240,0.0008,8.000,0.000,1,0.250,-0.016,-0.001,-0.001,0.006,0.006,-0.0303,PLAN,404,16.032,18.668,0,8.287,8.144,3356,3356,22285,7661,11,440,3.830,0,none
5.201,-0.128,0.233,0.0001,8.000,0.000,1,0.450,-0.017,0.002,-0.005,0.012,0.012,-0.0288,PLAN,404,30.786,33.422,0,8.287,8.144,3356,3356,22285,7661,14,570,3.830,0,none
5.400,-0.118,0.231,0.0018,8.000,0.000,1,0.600,-0.014,0.005,-0.019,0.014,0.022,-0.0303,PLAN,402,55.715,57.973,0,8.278,8.144,3379,3379,22134,7615,14,525,3.830,0,none
5.601,-0.111,0.220,0.0008,8.000,0.000,1,0.600,-0.011,0.006,0.002,0.025,0.029,-0.0279,PLAN,438,55.980,57.708,0,8.262,8.144,3379,3379,22134,7566,14,525,3.830,0,none
5.800,-0.111,0.220,0.0008,8.000,0.000,1,0.600,-0.011,0.006,0.002,0.025,0.029,-0.0279,PLAN,438,55.980,57.708,0,8.288,8.114,3473,3473,22134,7566,12,430,3.830,0,none
6.001,-0.111,0.220,0.0008,8.000,0.000,1,0.600,-0.017,0.006,0.002,0.025,0.029,-0.0279,PLAN,438,55.521,58.167,0,8.288,8.114,3468,3468,21763,7566,18,690,3.830,0,none
6.204,-0.066,0.181,-0.0005,8.000,0.000,1,0.600,-0.005,0.007,0.008,0.062,0.075,-0.0219,PLAN,479,55.192,58.496,0,8.360,8.114,3465,3465,21725,7370,19,710,3.830,0,none
6.401,-0.040,0.161,0.0002,8.000,0.000,1,0.600,-0.002,0.005,0.002,0.082,0.102,-0.0202,PLAN,479,56.266,57.422,0,8.360,8.114,3434,3434,21725,7370,19,710,3.830,0,none
6.601,-0.036,0.160,0.0005,8.000,0.000,1,0.600,0.001,0.005,0.002,0.083,0.105,-0.0203,PLAN,480,56.938,56.750,0,8.435,8.114,3434,3434,21725,7378,21,785,4.379,0,none
6.801,-0.014,0.163,0.0042,8.000,0.000,1,0.600,0.001,0.021,-0.012,0.079,0.128,-0.0246,PLAN,480,56.938,56.750,0,8.501,8.038,3350,3350,21493,7378,21,820,4.045,0,none
7.001,0.017,0.140,0.0012,8.000,0.000,1,0.600,-0.007,0.006,0.001,0.101,0.160,-0.0187,PLAN,472,55.383,58.305,0,8.454,8.038,3345,3345,21493,7321,21,820,4.045,0,none
7.200,0.036,0.142,0.0039,8.000,0.000,1,0.600,-0.007,0.016,0.004,0.098,0.178,-0.0218,PLAN,472,56.309,57.379,0,8.454,8.038,3350,3350,21465,7321,18,685,4.300,0,none
7.400,0.082,0.128,0.0017,8.000,0.000,1,0.600,-0.002,0.001,-0.001,0.111,0.225,-0.0179,PLAN,471,55.798,57.890,0,8.601,8.038,3351,3351,21465,7291,18,675,5.000,0,none
7.600,0.104,0.114,0.0041,8.000,0.000,1,0.600,-0.001,0.005,-0.001,0.125,0.247,-0.0185,PLAN,470,56.709,56.979,0,8.559,8.038,3351,3351,21465,7291,18,675,5.000,0,none
7.801,0.104,0.114,0.0041,8.000,0.000,1,0.600,-0.001,0.005,-0.001,0.125,0.247,-0.0185,PLAN,470,56.748,56.940,0,8.559,8.038,3422,3422,21486,7291,14,495,5.000,0,none
8.001,0.152,0.116,0.0023,8.000,0.000,1,0.600,-0.017,0.005,0.001,0.120,0.295,-0.0172,PLAN,470,55.358,58.330,0,8.694,7.897,3451,3451,21573,7291,13,440,5.000,0,none
8.201,0.189,0.117,0.0039,8.000,0.000,1,0.600,-0.014,0.004,-0.005,0.119,0.332,-0.0189,PLAN,444,55.745,57.943,0,8.738,7.897,3451,3451,21573,7340,14,460,5.000,0,none
8.400,0.216,0.120,0.0018,8.000,0.000,1,0.600,-0.013,-0.002,-0.005,0.115,0.359,-0.0172,PLAN,436,55.819,57.869,0,8.786,7.897,3451,3451,21573,7389,14,460,5.000,0,none
8.600,0.230,0.121,0.0055,8.000,0.000,1,0.600,-0.015,0.005,-0.005,0.114,0.373,-0.0211,PLAN,434,55.680,58.008,0,8.842,7.897,3451,3451,21622,7389,13,455,5.000,0,none
8.801,0.275,0.136,0.0018,8.000,0.000,1,0.600,-0.023,0.006,0.013,0.097,0.417,-0.0195,PLAN,434,54.968,58.720,0,8.842,7.897,3451,3451,21622,7389,13,450,5.000,0,none
9.000,0.302,0.155,0.0095,8.000,0.000,1,0.600,-0.011,0.006,-0.002,0.077,0.444,-0.0297,PLAN,406,55.964,57.724,0,9.180,7.722,3428,3428,21696,7448,13,450,5.000,0,none
9.201,0.322,0.148,-0.0008,8.000,0.000,1,0.600,-0.015,0.010,-0.016,0.084,0.464,-0.0184,PLAN,425,55.636,58.052,0,9.133,7.722,3415,3415,21640,7519,15,545,5.000,0,none
9.400,0.347,0.159,0.0016,8.000,0.000,1,0.600,-0.018,0.005,-0.004,0.073,0.489,-0.0223,PLAN,421,55.364,58.324,0,9.176,7.722,3344,3344,21666,7509,15,575,2.511,0,none
9.600,0.375,0.173,0.0021,8.000,0.000,1,0.600,-0.030,0.006,0.005,0.057,0.516,-0.0247,PLAN,421,54.470,59.218,0,9.176,7.722,3344,3344,21666,7509,17,650,2.305,0,none
9.801,0.401,0.183,0.0092,8.000,0.000,1,0.600,-0.022,0.009,0.005,0.047,0.542,-0.0332,PLAN,420,55.063,58.625,0,9.328,7.722,3344,3344,21666,7536,17,650,2.305,0,none
10.000,0.403,0.183,0.0091,8.000,0.000,1,0.600,-0.020,0.009,0.005,0.047,0.544,-0.0332,PLAN,412,54.400,59.288,0,9.352,7.599,3344,3344,21666,7536,16,600,2.305,0,none
