t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,6,270,3.402,0,IDLE code=0,0
0.400,-0.103,0.128,0.0000,0.000,0.000,0,0.000,0.000,-0.001,0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7487,6,250,3.402,0,IDLE code=0,0
0.601,-0.103,0.128,0.0000,0.000,0.000,0,0.000,0.000,-0.001,0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7487,4,160,2.087,0,IDLE code=0,0
0.800,-0.103,0.128,0.0000,0.000,0.000,0,0.000,0.000,-0.001,0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7487,4,155,2.087,0,IDLE code=0,0
1.000,-0.103,0.128,0.0000,0.000,0.000,0,0.000,0.000,-0.001,0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3501,3501,0,7487,4,155,2.087,0,IDLE code=0,0
1.201,-0.085,0.121,-0.0001,0.000,0.000,0,0.000,0.000,-0.002,0.013,0.000,0.000,0.0000,PLAN,404,0.000,0.000,0,nan,0.000,3504,3504,0,7460,5,205,2.087,0,IDLE code=0,0
1.400,-0.082,0.119,-0.0005,0.000,0.000,0,0.000,0.000,-0.002,-0.001,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3507,3507,0,7444,5,215,2.087,0,IDLE code=0,0
1.601,-0.081,0.116,-0.0003,0.000,0.000,0,0.000,0.000,-0.001,0.011,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3522,3522,0,7479,5,215,2.087,0,IDLE code=0,0
1.800,-0.081,0.115,-0.0000,0.000,0.000,0,0.000,0.000,-0.002,0.006,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3522,3522,0,7479,5,210,2.087,0,IDLE code=0,0
2.001,-0.081,0.115,-0.0000,0.000,0.000,0,0.000,0.000,-0.002,0.006,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3522,3522,0,7479,5,210,2.087,0,IDLE code=0,0
2.200,-0.081,0.115,-0.0000,0.000,0.000,0,0.000,0.000,-0.002,0.006,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3522,3522,0,7479,5,210,2.087,0,IDLE code=0,0
2.401,-0.082,0.116,0.0001,0.000,0.000,0,0.000,0.000,-0.003,-0.004,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3576,3576,0,7479,5,210,2.087,0,IDLE code=0,0
2.601,-0.082,0.116,0.0001,0.000,0.000,0,0.000,0.000,-0.003,-0.004,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3576,3576,22203,7479,5,210,2.087,0,IDLE code=0,0
2.801,-0.099,0.117,0.0012,0.000,0.000,0,0.000,0.000,-0.000,0.015,0.000,0.000,0.0000,PLAN,426,0.000,0.000,0,nan,0.000,3522,3522,22208,7567,5,210,1.637,0,IDLE code=0,0
3.001,-0.106,0.116,0.0016,0.000,0.000,0,0.000,0.000,0.000,-0.011,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,3522,3522,22208,7629,6,245,1.674,0,IDLE code=0,0
3.200,-0.106,0.116,0.0016,0.000,0.000,0,0.000,0.000,0.000,-0.011,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,3522,3522,22299,7629,6,245,1.674,0,IDLE code=0,0
3.401,-0.113,0.118,0.0021,0.000,0.000,0,0.000,0.000,0.001,0.007,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3462,3462,22361,7655,6,245,1.674,0,IDLE code=0,0
3.601,-0.118,0.119,0.0013,0.000,0.000,0,0.000,0.000,0.002,0.007,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3462,3462,22361,7655,7,290,1.674,0,IDLE code=0,0
