t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.601,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.802,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22039,0,0,0,0.000,0,IDLE code=0,0
1.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22039,0,0,0,0.000,0,IDLE code=0,0
2.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,0,0,22039,0,0,0,0.000,0,IDLE code=0,0
2.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,0,0,22039,0,0,0,0.000,0,IDLE code=0,0
2.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3568,3568,22039,0,12,425,3.494,0,IDLE code=0,0
2.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3553,3553,22039,0,12,440,3.494,0,IDLE code=0,0
2.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3576,3576,22039,0,13,470,3.494,0,IDLE code=0,0
3.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3576,3576,22039,0,13,465,3.494,0,IDLE code=0,0
3.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3576,3576,22039,0,12,415,3.494,0,IDLE code=0,0
3.401,-0.092,0.127,-0.0007,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3608,3608,22118,0,13,515,4.106,0,IDLE code=0,0
3.600,-0.093,0.125,-0.0001,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,413,0.000,0.000,0,nan,0.000,3630,3630,22118,7591,13,515,4.106,0,IDLE code=0,0
3.801,-0.096,0.127,-0.0010,0.000,0.000,0,0.000,0.000,0.000,-0.007,0.000,0.000,0.0000,PLAN,413,0.000,0.000,0,nan,0.000,3630,3630,22181,7591,17,695,4.106,0,IDLE code=0,0
4.000,-0.100,0.131,0.0001,0.000,0.000,0,0.000,0.000,-0.000,-0.011,0.000,0.000,0.0000,PLAN,428,0.000,0.000,0,nan,0.000,3630,3630,22181,7655,17,690,4.106,0,IDLE code=0,0
4.201,-0.102,0.133,-0.0016,0.000,0.000,0,0.000,0.000,0.000,-0.009,0.000,0.000,0.0000,PLAN,428,0.000,0.000,0,nan,0.000,3563,3563,22181,7655,17,685,4.106,0,IDLE code=0,0
4.401,-0.106,0.138,0.0000,0.000,0.000,0,0.000,0.000,0.001,-0.001,0.000,0.000,0.0000,PLAN,419,0.000,0.000,0,nan,0.000,3563,3563,22181,7628,17,685,4.106,0,IDLE code=0,0
4.601,-0.109,0.138,-0.0021,4.000,0.000,1,0.000,0.000,0.001,-0.008,0.001,-0.000,-0.0314,PLAN,419,0.000,0.000,0,8.372,4.111,3509,3509,22278,7628,17,685,4.106,0,GOAL_SENT code=1,1
4.800,-0.114,0.144,-0.0012,4.000,0.000,1,0.200,-0.015,0.002,-0.009,0.006,-0.006,-0.0337,PLAN,412,0.000,3.786,0,8.316,4.111,3483,3483,22323,7670,10,400,4.106,0,GOAL_SENT code=1,1
5.001,-0.118,0.148,0.0000,4.000,0.000,1,0.400,-0.015,0.001,-0.021,0.011,-0.010,-0.0360,PLAN,403,11.986,14.326,0,8.409,4.111,3469,3469,22323,7678,11,445,4.106,0,GOAL_SENT code=1,1
5.200,-0.118,0.148,0.0000,4.000,0.000,1,0.412,-0.016,0.001,-0.021,0.011,-0.010,-0.0360,PLAN,403,32.140,34.699,0,8.409,4.111,3469,3469,22323,7678,11,440,4.106,0,GOAL_SENT code=1,1
