t,source,point_index,x,y,z
1.191,raw,0,4.8041,-0.8545,0.9435
1.191,raw,5,4.7468,-0.7735,0.9576
1.191,raw,10,4.6920,-0.6952,0.9710
1.191,raw,15,4.6556,-0.6228,0.9806
1.191,raw,20,4.6109,-0.5503,0.9915
1.191,raw,25,4.5352,-0.4739,1.0082
1.191,raw,30,4.5212,-0.4103,1.0128
1.191,raw,35,4.4749,-0.3425,1.0234
1.191,raw,40,4.4227,-0.2755,1.0350
1.191,raw,45,4.3745,-0.2107,1.0455
1.191,raw,50,4.3326,-0.1483,1.0547
1.191,raw,55,4.3040,-0.0885,1.0612
1.191,raw,60,4.2593,-0.0284,1.0705
1.191,raw,65,4.2243,0.0297,1.0779
1.191,raw,70,4.1782,0.0872,1.0871
1.191,raw,75,4.1536,0.1425,1.0922
1.191,raw,80,4.2151,0.1953,1.0809
1.191,raw,85,4.2850,0.2498,1.0679
1.191,raw,90,4.3844,0.3065,1.0492
1.191,raw,95,4.4888,0.3662,1.0293
1.191,raw,100,4.5605,0.4277,1.0155
1.191,raw,105,4.6938,0.4946,0.9899
1.191,raw,110,4.7791,0.5622,0.9731
1.191,raw,115,4.8823,0.6338,0.9528
1.191,raw,120,5.0231,0.7121,0.9251
1.191,raw,125,5.1317,0.7911,0.9033
1.191,raw,130,4.7441,-0.7861,1.0656
1.191,raw,135,4.6785,-0.7051,1.0792
1.191,raw,140,4.6453,-0.6334,1.0870
1.191,raw,145,4.6029,-0.5613,1.0962
1.191,raw,150,4.5495,-0.4888,1.1071
1.192,raw,155,4.5162,-0.4216,1.1144
1.192,raw,160,4.4733,-0.3542,1.1231
1.192,raw,165,4.4255,-0.2877,1.1324
1.192,raw,170,4.3798,-0.2230,1.1412
1.192,raw,175,4.3571,-0.1625,1.1461
1.192,raw,180,4.3073,-0.1001,1.1553
1.192,raw,185,4.2542,-0.0391,1.1648
1.192,raw,190,4.2309,0.0182,1.1693
1.192,raw,195,4.1922,0.0755,1.1762
1.192,raw,200,4.1511,0.1318,1.1834
1.192,raw,205,4.1959,0.1848,1.1763
1.192,raw,210,4.2784,0.2387,1.1629
1.192,raw,215,4.3607,0.2949,1.1494
1.192,raw,220,4.4547,0.3538,1.1339
1.192,raw,225,4.5478,0.4153,1.1183
1.192,raw,230,4.6667,0.4809,1.0984
1.192,raw,235,4.7267,0.5462,1.0880
1.192,raw,240,4.8842,0.6209,1.0614
1.192,raw,245,5.0052,0.6970,1.0405
1.192,raw,250,5.0898,0.7729,1.0255
1.192,raw,255,-5.6042,-6.3245,0.5509
1.192,raw,260,-5.5695,-6.4788,0.5381
1.192,raw,265,-5.4861,-6.5805,0.5350
1.192,raw,270,-5.4101,-6.6921,0.5299
1.192,raw,275,-5.3394,-6.8118,0.5232
1.192,raw,280,-5.2550,-6.9164,0.5192
1.192,raw,285,-5.1939,-7.0530,0.5093
1.192,raw,290,-5.1011,-7.1502,0.5062
1.192,raw,295,4.7579,-0.8027,1.1705
1.192,raw,300,4.7008,-0.7232,1.1809
1.192,raw,305,4.6600,-0.6494,1.1887
