t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
1.207,-0.3055,0.2727,0.00231,,,0,IDLE code=0,0,,4323,0,0
1.400,-0.3117,0.3002,0.00089,,,0,IDLE code=0,0,,4352,0,1
1.600,-0.3150,0.3015,0.00118,,,0,IDLE code=0,0,,4395,0,1
1.800,-0.3173,0.3165,0.00148,,,0,IDLE code=0,0,,4395,0,1
2.001,-0.3122,0.3187,-0.00472,,,0,IDLE code=0,0,,4439,0,1
2.200,-0.3119,0.3263,0.00120,,,0,IDLE code=0,0,,4439,0,1
2.400,-0.3119,0.3263,0.00120,,,0,IDLE code=0,0,,4439,0,1
2.600,-0.2999,0.3324,-0.00275,,,0,IDLE code=0,0,,4609,0,1
2.800,-0.2923,0.3298,-0.00310,,,0,IDLE code=0,0,,4689,0,1
3.001,-0.2854,0.3295,0.00075,,,0,IDLE code=0,0,,4738,0,1
3.200,-0.2775,0.3264,-0.00074,,,0,IDLE code=0,0,,4738,0,1
3.401,-0.2722,0.3225,-0.00090,,,0,IDLE code=0,0,,4738,0,1
3.600,-0.2687,0.3195,-0.00128,,,0,IDLE code=0,0,,4738,0,1
3.800,-0.2648,0.3152,-0.00079,,,0,IDLE code=0,0,,4831,0,1
4.001,-0.2630,0.3109,-0.00093,,,0,IDLE code=0,0,,4847,0,1
4.200,-0.2605,0.3060,-0.00045,,,0,IDLE code=0,0,,4847,0,1
4.400,-0.2592,0.3018,0.00050,,,0,IDLE code=0,0,,4841,0,1
4.601,-0.2592,0.3018,0.00050,,,0,IDLE code=0,0,,4825,0,1
4.800,-0.2592,0.3018,0.00050,,,0,IDLE code=0,0,,4754,0,1
5.001,-0.2759,0.2886,-0.00139,,,0,IDLE code=0,0,,4738,0,1
5.200,-0.2688,0.2730,0.00107,,,0,IDLE code=0,0,,4738,0,1
5.401,-0.2688,0.2730,0.00107,,,0,IDLE code=0,0,,4648,0,1
5.600,-0.2784,0.2635,0.00113,,,0,IDLE code=0,0,,4555,0,1
5.801,-0.2851,0.2587,-0.00233,,,0,IDLE code=0,0,,4520,0,1
6.000,-0.2863,0.2585,-0.00260,,,0,IDLE code=0,0,,4489,0,1
6.200,-0.2879,0.2585,0.00175,,,0,IDLE code=0,0,,4469,0,1
6.400,-0.2879,0.2585,0.00175,,,0,IDLE code=0,0,,4469,0,1
6.600,-0.2918,0.2616,-0.00029,,,0,IDLE code=0,0,,4411,0,1
6.800,-0.2966,0.2661,0.00141,,,0,IDLE code=0,0,,4408,0,1
7.001,-0.2968,0.2664,0.00198,,,0,IDLE code=0,0,,4408,0,1
7.201,-0.2958,0.2684,-0.00432,,,0,IDLE code=0,0,,4429,0,1
