t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.200,-0.125,0.109,-0.0013,0.000,0.000,0,0.000,0.000,-0.001,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.400,-0.118,0.110,-0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7475,0,0,0.000,0,IDLE code=0,0
0.601,-0.113,0.114,-0.0003,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7510,0,0,0.000,0,IDLE code=0,0
0.800,-0.111,0.119,0.0000,0.000,0.000,0,0.000,0.000,-0.001,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7510,0,0,0.000,0,IDLE code=0,0
1.001,-0.108,0.122,-0.0016,0.000,0.000,0,0.000,0.000,-0.000,-0.003,0.000,0.000,0.0000,PLAN,363,0.000,0.000,0,nan,0.000,3546,3546,0,7549,0,0,0.000,0,IDLE code=0,0
1.200,-0.108,0.128,-0.0008,0.000,0.000,0,0.000,0.000,-0.002,-0.007,0.000,0.000,0.0000,PLAN,367,0.000,0.000,0,nan,0.000,3587,3587,0,7565,0,0,0.000,0,IDLE code=0,0
1.400,-0.110,0.135,0.0010,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,368,0.000,0.000,0,nan,0.000,3587,3587,0,7590,0,0,0.000,0,IDLE code=0,0
1.601,-0.111,0.136,0.0005,0.000,0.000,0,0.000,0.000,-0.001,0.004,0.000,0.000,0.0000,PLAN,390,0.000,0.000,0,nan,0.000,3587,3587,0,7627,0,0,0.000,0,IDLE code=0,0
1.801,-0.112,0.139,-0.0028,0.000,0.000,0,0.000,0.000,0.000,0.005,0.000,0.000,0.0000,PLAN,390,0.000,0.000,0,nan,0.000,3698,3698,0,7627,0,0,0.000,0,IDLE code=0,0
2.001,-0.119,0.151,-0.0023,0.000,0.000,0,0.000,0.000,0.000,-0.008,0.000,0.000,0.0000,PLAN,390,0.000,0.000,0,nan,0.000,3688,3688,0,7627,0,0,0.000,0,IDLE code=0,0
