t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,424,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3521,3521,0,0,0,0,0.000,0,IDLE code=0,0
0.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3521,3521,0,0,0,0,0.000,0,IDLE code=0,0
1.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3521,3521,22373,0,0,0,0.000,0,IDLE code=0,0
1.201,-0.255,0.297,-0.0013,0.000,0.000,0,0.000,0.000,0.000,0.022,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3480,3480,22388,7680,0,0,0.000,0,IDLE code=0,0
1.400,-0.256,0.299,-0.0016,0.000,0.000,0,0.000,0.000,0.001,-0.007,0.000,0.000,0.0000,PLAN,414,0.000,0.000,0,nan,0.000,3475,3475,22388,7668,0,0,0.000,0,IDLE code=0,0
1.601,-0.257,0.301,-0.0010,0.000,0.000,0,0.000,0.000,0.001,0.011,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3476,3476,22380,7684,0,0,0.000,0,IDLE code=0,0
1.801,-0.256,0.301,0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.009,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3476,3476,22380,7667,0,0,0.000,0,IDLE code=0,0
2.001,-0.256,0.301,0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.009,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3476,3476,22380,7667,0,0,0.000,0,IDLE code=0,0
2.200,-0.256,0.301,0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.009,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3476,3476,22380,7667,0,0,0.000,0,IDLE code=0,0
2.401,-0.256,0.301,0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.009,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3455,3455,22380,7667,0,0,0.000,0,IDLE code=0,0
2.601,-0.240,0.290,0.0001,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3485,3485,22247,7667,0,0,0.000,0,IDLE code=0,0
2.800,-0.237,0.290,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3485,3485,22247,7572,0,0,0.000,0,IDLE code=0,0
3.000,-0.237,0.290,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3485,3485,22247,7572,0,0,0.000,0,IDLE code=0,0
3.201,-0.237,0.290,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3485,3485,22247,7572,0,0,0.000,0,IDLE code=0,0
3.401,-0.237,0.290,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,5069,5069,22247,7572,0,0,0.000,0,IDLE code=0,0
3.600,-0.237,0.290,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,5090,5090,22247,7572,0,0,0.000,0,IDLE code=0,0
3.801,-0.246,0.300,0.0013,0.000,0.000,0,0.000,0.000,-0.026,0.008,0.000,0.000,0.0000,PLAN,416,0.000,0.000,1,nan,0.000,5389,5389,22247,7572,0,0,0.000,0,IDLE code=0,0
4.000,-0.207,0.264,-0.0000,0.000,0.000,0,0.000,0.000,-0.001,-0.005,0.000,0.000,0.0000,PLAN,470,0.000,0.000,1,nan,0.000,5375,5375,23924,7581,0,0,0.000,0,IDLE code=0,0
4.201,-0.205,0.260,0.0000,0.000,0.000,0,0.000,0.000,-0.001,0.006,0.000,0.000,0.0000,PLAN,470,0.000,0.000,1,nan,0.000,5375,5375,23924,7581,0,0,0.000,0,IDLE code=0,0
4.401,-0.205,0.259,0.0010,0.000,0.000,0,0.000,0.000,-0.001,-0.005,0.000,0.000,0.0000,PLAN,469,0.000,0.000,1,nan,0.000,5380,5380,23939,7580,0,0,0.000,0,IDLE code=0,0
4.600,-0.206,0.258,0.0004,0.000,0.000,0,0.000,0.000,-0.001,0.002,0.000,0.000,0.0000,PLAN,470,0.000,0.000,1,nan,0.000,5380,5380,23939,7587,0,0,0.000,0,IDLE code=0,0
