t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.601,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7599,0,0,0.000,0,IDLE code=0,0
1.400,-0.099,0.054,0.0007,0.000,0.000,0,0.000,0.000,0.001,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3508,3508,0,7599,0,0,0.000,0,IDLE code=0,0
1.601,-0.099,0.054,-0.0016,0.000,0.000,0,0.000,0.000,0.001,0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3507,3507,0,7599,0,0,0.000,0,IDLE code=0,0
1.800,-0.106,0.060,0.0009,0.000,0.000,0,0.000,0.000,0.000,-0.016,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3507,3507,0,7659,0,0,0.000,0,IDLE code=0,0
2.000,-0.106,0.060,0.0009,0.000,0.000,0,0.000,0.000,0.000,-0.016,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3507,3507,0,7659,0,0,0.000,0,IDLE code=0,0
2.201,-0.104,0.061,-0.0021,0.000,0.000,0,0.000,0.000,0.002,-0.007,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3507,3507,0,7659,0,0,0.000,0,IDLE code=0,0
2.400,-0.105,0.069,0.0003,0.000,0.000,0,0.000,0.000,0.000,-0.011,0.000,0.000,0.0000,PLAN,426,0.000,0.000,0,nan,0.000,3548,3548,0,7660,0,0,0.000,0,IDLE code=0,0
2.600,-0.102,0.072,-0.0020,0.000,0.000,0,0.000,0.000,0.001,-0.024,0.000,0.000,0.0000,PLAN,426,0.000,0.000,0,nan,0.000,3584,3584,22266,7660,0,0,0.000,0,IDLE code=0,0
2.800,-0.101,0.078,-0.0019,0.000,0.000,0,0.000,0.000,-0.000,-0.016,0.000,0.000,0.0000,PLAN,426,0.000,0.000,0,nan,0.000,3584,3584,22266,7660,0,0,0.000,0,IDLE code=0,0
3.000,-0.099,0.082,-0.0019,0.000,0.000,0,0.000,0.000,0.000,0.007,0.000,0.000,0.0000,PLAN,415,0.000,0.000,0,nan,0.000,3605,3605,22274,7660,0,0,0.000,0,IDLE code=0,0
3.201,-0.099,0.082,-0.0000,0.000,0.000,0,0.000,0.000,-0.000,0.008,0.000,0.000,0.0000,PLAN,417,0.000,0.000,0,nan,0.000,3605,3605,22274,7637,0,0,0.000,0,IDLE code=0,0
3.401,-0.096,0.085,-0.0016,0.000,0.000,0,0.000,0.000,-0.000,-0.008,0.000,0.000,0.0000,PLAN,417,0.000,0.000,0,nan,0.000,3598,3598,22215,7637,0,0,0.000,0,IDLE code=0,0
3.601,-0.094,0.086,-0.0004,0.000,0.000,0,0.000,0.000,-0.002,-0.005,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3598,3598,22215,7633,0,0,0.000,0,IDLE code=0,0
3.801,-0.094,0.086,-0.0004,0.000,0.000,0,0.000,0.000,-0.002,-0.005,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3598,3598,22215,7633,0,0,0.000,0,IDLE code=0,0
4.001,-0.094,0.086,-0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.005,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3598,3598,22215,7633,0,0,0.000,0,IDLE code=0,0
4.200,-0.094,0.086,-0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.005,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3591,3591,22215,7633,0,0,0.000,0,IDLE code=0,0
4.401,-0.094,0.086,-0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.005,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3563,3563,22197,7633,0,0,0.000,0,IDLE code=0,0
4.601,-0.089,0.081,0.0001,0.000,0.000,0,0.000,0.000,-0.000,-0.007,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3535,3535,22169,7558,0,0,0.000,0,IDLE code=0,0
4.801,-0.090,0.078,0.0003,0.000,0.000,0,0.000,0.000,-0.000,0.003,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3505,3505,22172,7596,0,0,0.000,0,IDLE code=0,0
5.000,-0.092,0.076,0.0002,0.000,0.000,0,0.000,0.000,-0.000,0.003,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3489,3489,22172,7569,0,0,0.000,0,IDLE code=0,0
