t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,-0.245,0.276,0.0008,0.000,0.000,0,0.000,0.000,0.000,0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.400,-0.251,0.275,-0.0021,0.000,0.000,0,0.000,0.000,0.000,0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3458,3458,0,0,0,0,0.000,0,IDLE code=0,0
0.601,-0.252,0.272,0.0007,0.000,0.000,0,0.000,0.000,0.001,0.002,0.000,0.000,0.0000,PLAN,428,0.000,0.000,0,nan,0.000,3458,3458,0,7654,0,0,0.000,0,IDLE code=0,0
0.801,-0.250,0.272,0.0007,0.000,0.000,0,0.000,0.000,0.001,0.002,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3445,3445,0,7664,0,0,0.000,0,IDLE code=0,0
1.000,-0.250,0.272,0.0007,0.000,0.000,0,0.000,0.000,0.001,0.002,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3445,3445,0,7664,0,0,0.000,0,IDLE code=0,0
1.201,-0.250,0.272,0.0007,0.000,0.000,0,0.000,0.000,0.001,0.002,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3452,3452,0,7664,0,0,0.000,0,IDLE code=0,0
1.400,-0.241,0.265,0.0007,0.000,0.000,0,0.000,0.000,0.000,-0.000,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3452,3452,0,7612,0,0,0.000,0,IDLE code=0,0
1.600,-0.241,0.265,0.0007,0.000,0.000,0,0.000,0.000,0.000,-0.000,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3496,3496,0,7612,0,0,0.000,0,IDLE code=0,0
1.801,-0.241,0.265,0.0007,0.000,0.000,0,0.000,0.000,0.000,-0.000,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3540,3540,22171,7612,0,0,0.000,0,IDLE code=0,0
2.003,-0.229,0.259,0.0001,0.000,0.000,0,0.000,0.000,-0.001,-0.011,0.000,0.000,0.0000,PLAN,437,0.000,0.000,0,nan,0.000,3555,3555,22167,7510,0,0,0.000,0,IDLE code=0,0
