t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.200,-0.065,0.088,-0.0020,0.000,0.000,0,0.000,0.000,0.003,0.014,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.400,-0.071,0.100,0.0028,0.000,0.000,0,0.000,0.000,0.002,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7644,0,0,0.000,0,IDLE code=0,0
0.600,-0.070,0.102,-0.0012,0.000,0.000,0,0.000,0.000,0.002,-0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7644,0,0,0.000,0,IDLE code=0,0
0.801,-0.073,0.111,-0.0033,0.000,0.000,0,0.000,0.000,0.002,-0.028,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7618,0,0,0.000,0,IDLE code=0,0
1.001,-0.075,0.116,0.0030,0.000,0.000,0,0.000,0.000,0.001,-0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7629,0,0,0.000,0,IDLE code=0,0
1.201,-0.075,0.116,0.0030,0.000,0.000,0,0.000,0.000,0.001,-0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7629,0,0,0.000,0,IDLE code=0,0
1.401,-0.072,0.121,0.0005,0.000,0.000,0,0.000,0.000,0.001,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7629,0,0,0.000,0,IDLE code=0,0
1.601,-0.068,0.124,0.0008,0.000,0.000,0,0.000,0.000,0.001,-0.008,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7686,0,0,0.000,0,IDLE code=0,0
1.800,-0.066,0.125,0.0009,0.000,0.000,0,0.000,0.000,0.000,0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7688,0,0,0.000,0,IDLE code=0,0
2.000,-0.062,0.125,0.0008,0.000,0.000,0,0.000,0.000,-0.002,0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7688,0,0,0.000,0,IDLE code=0,0
2.200,-0.060,0.124,-0.0000,0.000,0.000,0,0.000,0.000,-0.000,-0.014,0.000,0.000,0.0000,PLAN,424,0.000,0.000,0,nan,0.000,0,0,0,7574,0,0,0.000,0,IDLE code=0,0
2.401,-0.055,0.124,0.0017,0.000,0.000,0,0.000,0.000,-0.003,-0.007,0.000,0.000,0.0000,PLAN,424,0.000,0.000,0,nan,0.000,3518,3518,22060,7574,0,0,0.000,0,IDLE code=0,0
2.601,-0.050,0.121,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.005,0.000,0.000,0.0000,PLAN,442,0.000,0.000,0,nan,0.000,3518,3518,22060,7482,0,0,0.000,0,IDLE code=0,0
2.800,-0.046,0.120,0.0019,0.000,0.000,0,0.000,0.000,-0.006,-0.001,0.000,0.000,0.0000,PLAN,442,0.000,0.000,0,nan,0.000,3562,3562,21924,7482,0,0,0.000,0,IDLE code=0,0
3.001,-0.036,0.113,0.0027,0.000,0.000,0,0.000,0.000,-0.002,0.003,0.000,0.000,0.0000,PLAN,468,0.000,0.000,0,nan,0.000,3562,3562,21924,7480,0,0,0.000,0,IDLE code=0,0
3.201,-0.031,0.110,0.0005,0.000,0.000,0,0.000,0.000,-0.002,-0.006,0.000,0.000,0.0000,PLAN,473,0.000,0.000,0,nan,0.000,3562,3562,21924,7440,0,0,0.000,0,IDLE code=0,0
3.400,-0.030,0.110,0.0020,0.000,0.000,0,0.000,0.000,-0.005,0.019,0.000,0.000,0.0000,PLAN,473,0.000,0.000,0,nan,0.000,3562,3562,21836,7440,0,0,0.000,0,IDLE code=0,0
3.601,-0.023,0.101,0.0013,0.000,0.000,0,0.000,0.000,-0.002,0.017,0.000,0.000,0.0000,PLAN,466,0.000,0.000,0,nan,0.000,3562,3562,21836,7415,0,0,0.000,0,IDLE code=0,0
3.801,-0.023,0.101,0.0016,0.000,0.000,0,0.000,0.000,-0.005,-0.017,0.000,0.000,0.0000,PLAN,466,0.000,0.000,0,nan,0.000,3562,3562,21878,7415,0,0,0.000,0,IDLE code=0,0
4.001,-0.020,0.093,0.0012,0.000,0.000,0,0.000,0.000,-0.001,-0.005,0.000,0.000,0.0000,PLAN,475,0.000,0.000,0,nan,0.000,3598,3598,21902,7417,0,0,0.000,0,IDLE code=0,0
4.200,-0.018,0.088,0.0008,0.000,0.000,0,0.000,0.000,-0.001,0.003,0.000,0.000,0.0000,PLAN,472,0.000,0.000,0,nan,0.000,3617,3617,21902,7414,0,0,0.000,0,IDLE code=0,0
4.400,-0.018,0.088,0.0008,0.000,0.000,0,0.000,0.000,-0.001,0.003,0.000,0.000,0.0000,PLAN,472,0.000,0.000,0,nan,0.000,3602,3602,21958,7414,0,0,0.000,0,IDLE code=0,0
4.601,-0.024,0.083,0.0010,0.000,0.000,0,0.000,0.000,-0.000,-0.003,0.000,0.000,0.0000,PLAN,440,0.000,0.000,0,nan,0.000,3602,3602,21958,7443,0,0,0.000,0,IDLE code=0,0
4.801,-0.024,0.083,0.0010,0.000,0.000,0,0.000,0.000,-0.000,-0.003,0.000,0.000,0.0000,PLAN,440,0.000,0.000,0,nan,0.000,3602,3602,21958,7443,0,0,0.000,0,IDLE code=0,0
5.001,-0.024,0.083,0.0010,0.000,0.000,0,0.000,0.000,-0.000,-0.003,0.000,0.000,0.0000,PLAN,440,0.000,0.000,0,nan,0.000,3602,3602,21958,7443,0,0,0.000,0,IDLE code=0,0
5.200,-0.024,0.083,0.0010,0.000,0.000,0,0.000,0.000,-0.000,-0.003,0.000,0.000,0.0000,PLAN,440,0.000,0.000,0,nan,0.000,3537,3537,22199,7443,0,0,0.000,0,IDLE code=0,0
5.401,-0.024,0.083,0.0010,0.000,0.000,0,0.000,0.000,-0.000,-0.003,0.000,0.000,0.0000,PLAN,440,0.000,0.000,0,nan,0.000,3537,3537,22199,7443,0,0,0.000,0,IDLE code=0,0
5.600,-0.047,0.079,-0.0010,0.000,0.000,0,0.000,0.000,0.001,0.001,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3500,3500,22313,7610,0,0,0.000,0,IDLE code=0,0
5.800,-0.055,0.079,-0.0013,0.000,0.000,0,0.000,0.000,0.001,0.015,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3492,3492,22340,7658,0,0,0.000,0,IDLE code=0,0
6.001,-0.064,0.084,-0.0015,0.000,0.000,0,0.000,0.000,0.001,-0.019,0.000,0.000,0.0000,PLAN,418,0.000,0.000,0,nan,0.000,3472,3472,22340,7673,0,0,0.000,0,IDLE code=0,0
6.200,-0.068,0.089,0.0027,0.000,0.000,0,0.000,0.000,0.002,-0.000,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3472,3472,22340,7705,0,0,0.000,0,IDLE code=0,0
6.401,-0.068,0.089,0.0027,0.000,0.000,0,0.000,0.000,0.002,-0.000,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3473,3473,22340,7705,0,0,0.000,0,IDLE code=0,0
6.600,-0.068,0.089,0.0027,0.000,0.000,0,0.000,0.000,0.002,-0.000,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3473,3473,22340,7705,0,0,0.000,0,IDLE code=0,0
6.800,-0.068,0.089,0.0027,0.000,0.000,0,0.000,0.000,0.002,-0.000,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3451,3451,22340,7705,0,0,0.000,0,IDLE code=0,0
7.001,-0.068,0.089,0.0027,10.000,0.000,1,0.000,0.000,0.002,-0.000,0.000,0.000,-0.0115,PLAN,423,0.000,0.000,0,nan,0.000,3447,3447,22339,7705,0,0,0.000,0,GOAL_SENT code=1,1
7.201,-0.080,0.123,0.0012,10.000,0.000,1,0.000,0.000,0.001,-0.013,0.034,-0.012,-0.0134,PLAN,423,0.000,0.000,0,nan,0.000,3445,3445,22339,7705,0,0,0.000,0,GOAL_SENT code=1,1
7.401,-0.079,0.123,0.0021,10.000,0.000,1,0.000,0.000,0.011,0.004,0.034,-0.011,-0.0142,PLAN,404,0.000,0.000,0,nan,0.000,3472,3472,22265,7672,0,0,0.000,0,GOAL_SENT code=1,1
7.601,-0.065,0.125,0.0005,10.000,0.000,1,0.000,0.000,0.000,-0.007,0.036,0.003,-0.0129,PLAN,421,0.000,0.000,0,nan,0.000,3536,3536,22269,7683,0,0,0.000,0,GOAL_SENT code=1,1
7.800,-0.062,0.122,0.0005,10.000,0.000,1,0.000,0.000,-0.000,0.005,0.033,0.006,-0.0126,PLAN,412,0.000,0.000,0,nan,0.000,3565,3565,22238,7647,0,0,0.000,0,GOAL_SENT code=1,1
8.000,-0.056,0.120,0.0005,10.000,0.000,1,0.000,0.000,-0.000,-0.002,0.031,0.012,-0.0125,PLAN,430,0.000,0.000,0,nan,0.000,3582,3582,22238,7599,0,0,0.000,0,GOAL_SENT code=1,1
8.201,-0.052,0.122,0.0018,10.000,0.000,1,0.000,0.000,-0.000,-0.002,0.033,0.016,-0.0139,PLAN,430,0.000,0.000,0,nan,0.000,3554,3554,22136,7599,0,0,0.000,0,GOAL_SENT code=1,1
8.400,-0.048,0.118,0.0000,10.000,0.000,1,0.000,0.000,-0.000,-0.003,0.029,0.021,-0.0118,PLAN,414,0.000,0.000,0,nan,0.000,3554,3554,22136,7500,0,0,0.000,0,GOAL_SENT code=1,1
8.601,-0.048,0.118,0.0000,10.000,0.000,1,0.000,0.000,-0.000,-0.003,0.029,0.021,-0.0118,PLAN,414,0.000,0.000,0,nan,0.000,3554,3554,22136,7500,0,0,0.000,0,GOAL_SENT code=1,1
8.801,-0.048,0.118,0.0000,10.000,0.000,1,0.000,0.000,-0.000,-0.003,0.029,0.021,-0.0118,PLAN,414,0.000,0.000,0,nan,0.000,3554,3554,22136,7500,0,0,0.000,0,GOAL_SENT code=1,1
9.001,-0.048,0.118,0.0000,10.000,0.000,1,0.000,0.000,-0.000,-0.003,0.029,0.021,-0.0118,PLAN,414,0.000,0.000,0,nan,0.000,3554,3554,22136,7500,0,0,0.000,0,GOAL_SENT code=1,1
9.201,-0.034,0.112,0.0018,10.000,0.000,1,0.000,0.000,-0.001,-0.009,0.024,0.034,-0.0130,PLAN,414,0.000,0.000,0,nan,0.000,3502,3502,21968,7500,0,0,0.000,0,GOAL_SENT code=1,1
9.401,-0.023,0.105,0.0007,10.000,0.000,1,0.000,0.000,-0.001,-0.013,0.016,0.045,-0.0112,PLAN,414,0.000,0.000,0,nan,0.000,3522,3522,21968,7480,0,0,0.000,0,GOAL_SENT code=1,1
9.601,-0.023,0.105,0.0007,10.000,0.000,1,0.000,0.000,-0.001,-0.013,0.016,0.045,-0.0112,PLAN,414,0.000,0.000,0,nan,0.000,3522,3522,21968,7480,0,0,0.000,0,GOAL_SENT code=1,1
9.801,-0.023,0.105,0.0007,10.000,0.000,1,0.000,0.000,-0.001,-0.013,0.016,0.045,-0.0112,PLAN,414,0.000,0.000,0,nan,0.000,3522,3522,21968,7480,0,0,0.000,0,GOAL_SENT code=1,1
10.000,-0.031,0.092,0.0010,10.000,0.000,1,0.000,0.000,-0.001,0.007,0.003,0.037,-0.0102,PLAN,414,0.000,0.000,0,nan,0.000,3522,3522,22102,7480,0,0,0.000,0,GOAL_SENT code=1,1
10.200,-0.036,0.092,-0.0002,10.000,0.000,1,0.000,0.000,-0.000,0.018,0.003,0.032,-0.0090,PLAN,422,0.000,0.000,0,nan,0.000,3522,3522,22133,7503,0,0,0.000,0,GOAL_SENT code=1,1
10.401,-0.039,0.093,0.0011,10.000,0.000,1,0.000,0.000,0.000,-0.006,0.004,0.030,-0.0103,PLAN,436,0.000,0.000,0,nan,0.000,3541,3541,22133,7545,0,0,0.000,0,GOAL_SENT code=1,1
10.600,-0.039,0.093,0.0011,10.000,0.000,1,0.000,0.000,0.000,-0.006,0.004,0.030,-0.0103,PLAN,436,0.000,0.000,0,nan,0.000,3541,3541,22133,7545,0,0,0.000,0,GOAL_SENT code=1,1
10.800,-0.039,0.093,0.0011,10.000,0.000,1,0.000,0.000,0.000,-0.006,0.004,0.030,-0.0103,PLAN,436,0.000,0.000,0,nan,0.000,3479,3479,22133,7545,0,0,0.000,0,GOAL_SENT code=1,1
11.001,-0.056,0.086,-0.0010,10.000,0.000,1,0.000,0.000,-0.000,0.000,0.003,0.013,-0.0075,PLAN,436,0.000,0.000,0,nan,0.000,3479,3479,22338,7545,0,0,0.000,0,GOAL_SENT code=1,1
11.201,-0.068,0.097,0.0026,10.000,0.000,1,0.000,0.000,0.001,0.001,0.008,-0.000,-0.0122,PLAN,424,0.000,0.000,0,nan,0.000,3440,3440,22378,7686,0,0,0.000,0,GOAL_SENT code=1,1
11.400,-0.080,0.101,0.0026,10.000,0.000,1,0.000,0.000,0.001,0.009,0.012,-0.012,-0.0126,PLAN,424,0.000,0.000,0,nan,0.000,3440,3440,22378,7692,0,0,0.000,0,GOAL_SENT code=1,1
