t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,-0.089,0.060,0.0005,0.000,0.000,0,0.000,0.000,-0.001,0.003,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,-0.088,0.060,0.0007,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7492,0,0,0.000,0,IDLE code=0,0
0.601,-0.088,0.060,0.0007,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7492,0,0,0.000,0,IDLE code=0,0
0.801,-0.088,0.060,0.0007,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7492,0,0,0.000,0,IDLE code=0,0
1.001,-0.088,0.060,0.0007,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22185,7492,0,0,0.000,0,IDLE code=0,0
1.201,-0.119,0.056,0.0011,0.000,0.000,0,0.000,0.000,0.000,-0.007,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22185,7578,0,0,0.000,0,IDLE code=0,0
1.400,-0.119,0.056,0.0011,0.000,0.000,0,0.000,0.000,0.000,-0.007,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22185,7578,0,0,0.000,0,IDLE code=0,0
1.601,-0.124,0.056,-0.0022,0.000,0.000,0,0.000,0.000,0.000,-0.013,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22239,7578,0,0,0.000,0,IDLE code=0,0
1.800,-0.127,0.061,0.0011,0.000,0.000,0,0.000,0.000,0.001,-0.001,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,0,0,22239,7661,0,0,0.000,0,IDLE code=0,0
2.001,-0.127,0.061,0.0011,0.000,0.000,0,0.000,0.000,0.001,-0.001,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,2929,2929,22239,7661,0,0,0.000,0,IDLE code=0,0
2.201,-0.127,0.061,0.0011,0.000,0.000,0,0.000,0.000,0.001,-0.001,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,2938,2938,22239,7661,0,0,0.000,0,IDLE code=0,0
2.400,-0.127,0.061,0.0011,0.000,0.000,0,0.000,0.000,0.001,-0.001,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,2968,2968,22255,7661,0,0,0.000,0,IDLE code=0,0
2.601,-0.125,0.074,0.0008,0.000,0.000,0,0.000,0.000,0.000,-0.001,0.000,0.000,0.0000,PLAN,425,0.000,0.000,0,nan,0.000,2968,2968,22255,7661,0,0,0.000,0,IDLE code=0,0
2.801,-0.125,0.074,0.0008,0.000,0.000,0,0.000,0.000,0.000,-0.001,0.000,0.000,0.0000,PLAN,428,0.000,0.000,0,nan,0.000,2968,2968,22255,7656,0,0,0.000,0,IDLE code=0,0
3.001,-0.125,0.074,0.0008,0.000,0.000,0,0.000,0.000,0.000,-0.001,0.000,0.000,0.0000,PLAN,428,0.000,0.000,0,nan,0.000,2968,2968,22267,7656,0,0,0.000,0,IDLE code=0,0
3.201,-0.114,0.085,0.0002,0.000,0.000,0,0.000,0.000,-0.000,-0.005,0.000,0.000,0.0000,PLAN,428,0.000,0.000,0,nan,0.000,3033,3033,22269,7656,0,0,0.000,0,IDLE code=0,0
3.401,-0.111,0.089,-0.0003,0.000,0.000,0,0.000,0.000,-0.000,0.004,0.000,0.000,0.0000,PLAN,420,0.000,0.000,0,nan,0.000,3033,3033,22271,7660,0,0,0.000,0,IDLE code=0,0
3.601,-0.107,0.090,0.0005,0.000,0.000,0,0.000,0.000,-0.001,-0.003,0.000,0.000,0.0000,PLAN,420,0.000,0.000,0,nan,0.000,3033,3033,22271,7660,0,0,0.000,0,IDLE code=0,0
3.801,-0.103,0.091,-0.0008,0.000,0.000,0,0.000,0.000,-0.000,-0.004,0.000,0.000,0.0000,PLAN,411,0.000,0.000,0,nan,0.000,3054,3054,22234,7617,0,0,0.000,0,IDLE code=0,0
4.001,-0.102,0.091,0.0001,10.000,0.000,1,0.000,0.000,-0.001,0.011,0.000,0.000,-0.0091,PLAN,424,0.000,0.000,0,nan,0.000,3054,3054,22197,7639,0,0,0.000,0,GOAL_SENT code=1,1
4.200,-0.099,0.092,-0.0003,10.000,0.000,1,0.000,0.000,-0.001,-0.009,0.001,0.004,-0.0088,PLAN,424,0.000,0.000,0,nan,0.000,3054,3054,22197,7639,0,0,0.000,0,GOAL_SENT code=1,1
4.401,-0.099,0.092,-0.0003,10.000,0.000,1,0.000,0.000,-0.001,-0.009,0.001,0.004,-0.0088,PLAN,408,0.000,0.000,0,nan,0.000,3080,3080,22197,7575,0,0,0.000,0,GOAL_SENT code=1,1
4.600,-0.099,0.092,-0.0003,10.000,0.000,1,0.000,0.000,-0.001,-0.009,0.001,0.004,-0.0088,PLAN,408,0.000,0.000,0,nan,0.000,3084,3084,22213,7575,0,0,0.000,0,GOAL_SENT code=1,1
4.800,-0.094,0.088,0.0005,10.000,0.000,1,0.000,0.000,-0.001,0.002,0.002,0.009,-0.0093,PLAN,421,0.000,0.000,0,nan,0.000,3078,3078,22213,7586,0,0,0.000,0,GOAL_SENT code=1,1
