t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.200,-0.151,0.146,-0.0001,0.000,0.000,0,0.000,0.000,0.002,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.400,-0.152,0.146,0.0017,0.000,0.000,0,0.000,0.000,0.000,0.003,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3435,3435,0,7658,0,0,0.000,0,IDLE code=0,0
0.601,-0.149,0.147,0.0009,0.000,0.000,0,0.000,0.000,0.000,0.005,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3441,3441,0,7658,0,0,0.000,0,IDLE code=0,0
0.800,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3441,3441,0,7634,0,0,0.000,0,IDLE code=0,0
1.000,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3441,3441,0,7634,0,0,0.000,0,IDLE code=0,0
1.201,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3441,3441,0,7634,0,0,0.000,0,IDLE code=0,0
1.400,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3441,3441,0,7634,0,0,0.000,0,IDLE code=0,0
1.601,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3441,3441,0,7634,0,0,0.000,0,IDLE code=0,0
1.801,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3556,3556,0,7634,0,0,0.000,0,IDLE code=0,0
2.001,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3556,3556,0,7634,0,0,0.000,0,IDLE code=0,0
2.201,-0.146,0.147,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.021,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3503,3503,0,7634,0,0,0.000,0,IDLE code=0,0
