t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.400,-0.117,0.148,-0.0015,0.000,0.000,0,0.000,0.000,-0.003,0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,4,175,1.003,0,IDLE code=0,0
0.601,-0.123,0.154,-0.0015,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7572,3,135,1.145,0,IDLE code=0,0
0.801,-0.124,0.155,0.0004,0.000,0.000,0,0.000,0.000,0.001,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7562,3,135,1.145,0,IDLE code=0,0
1.001,-0.129,0.157,-0.0020,0.000,0.000,0,0.000,0.000,0.000,0.013,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22283,7562,3,135,1.556,0,IDLE code=0,0
1.201,-0.134,0.161,-0.0012,0.000,0.000,0,0.000,0.000,0.001,-0.003,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22283,7634,3,135,1.478,0,IDLE code=0,0
1.400,-0.134,0.162,0.0003,0.000,0.000,0,0.000,0.000,0.001,-0.004,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22283,7651,3,135,1.478,0,IDLE code=0,0
1.601,-0.135,0.162,-0.0005,0.000,0.000,0,0.000,0.000,0.002,-0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22319,7651,3,135,1.478,0,IDLE code=0,0
1.801,-0.138,0.166,-0.0013,0.000,0.000,0,0.000,0.000,0.001,-0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22334,7656,3,135,1.478,0,IDLE code=0,0
2.001,-0.139,0.167,0.0005,0.000,0.000,0,0.000,0.000,0.002,-0.013,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22334,7656,4,180,1.274,0,IDLE code=0,0
2.201,-0.139,0.167,0.0005,0.000,0.000,0,0.000,0.000,0.002,-0.013,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22334,7656,4,180,1.274,0,IDLE code=0,0
2.401,-0.141,0.175,-0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22334,7656,4,180,1.274,0,IDLE code=0,0
2.601,-0.142,0.176,0.0001,0.000,0.000,0,0.000,0.000,0.000,-0.007,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22334,7656,4,180,1.274,0,IDLE code=0,0
2.801,-0.141,0.175,0.0007,0.000,0.000,0,0.000,0.000,0.001,-0.007,0.000,0.000,0.0000,PLAN,418,0.000,0.000,0,nan,0.000,2948,2948,22334,7638,4,180,0.663,0,IDLE code=0,0
3.001,-0.141,0.175,0.0007,0.000,0.000,0,0.000,0.000,0.001,-0.007,0.000,0.000,0.0000,PLAN,418,0.000,0.000,0,nan,0.000,3015,3015,22334,7638,4,180,0.723,0,IDLE code=0,0
3.200,-0.141,0.175,0.0007,0.000,0.000,0,0.000,0.000,0.001,-0.007,0.000,0.000,0.0000,PLAN,418,0.000,0.000,0,nan,0.000,3043,3043,22334,7638,3,135,0.524,0,IDLE code=0,0
3.401,-0.141,0.175,0.0007,0.000,0.000,0,0.000,0.000,0.001,-0.007,0.000,0.000,0.0000,PLAN,418,0.000,0.000,0,nan,0.000,3043,3043,22334,7638,3,135,0.741,0,IDLE code=0,0
3.600,-0.114,0.183,0.0001,0.000,0.000,0,0.000,0.000,0.001,-0.009,0.000,0.000,0.0000,PLAN,418,0.000,0.000,0,nan,0.000,3076,3076,22227,7638,3,135,0.741,0,IDLE code=0,0
3.800,-0.109,0.178,0.0007,10.000,0.000,1,0.000,0.000,-0.000,0.000,0.002,0.004,-0.0183,PLAN,450,0.000,0.000,0,nan,0.000,3076,3076,22227,7564,3,135,0.845,0,GOAL_SENT code=1,1
4.001,-0.109,0.178,0.0007,10.000,0.000,1,0.000,0.000,-0.000,0.000,0.002,0.004,-0.0183,PLAN,450,0.000,0.000,0,nan,0.000,3116,3116,22227,7564,3,135,0.885,0,GOAL_SENT code=1,1
4.201,-0.109,0.178,0.0007,10.000,0.000,1,0.000,0.000,-0.000,0.000,0.000,0.000,-0.0183,PLAN,450,0.000,0.000,0,nan,0.000,3116,3116,22227,7564,3,135,0.885,0,GOAL_SENT code=1,1
4.400,-0.109,0.178,0.0007,10.000,0.000,1,0.000,0.000,-0.000,0.000,0.000,0.000,-0.0183,PLAN,450,0.000,0.000,0,nan,0.000,3116,3116,22227,7564,3,135,0.885,0,GOAL_SENT code=1,1
4.600,-0.109,0.178,0.0007,10.000,0.000,1,0.000,0.000,-0.000,0.000,0.000,0.000,-0.0183,PLAN,450,0.000,0.000,0,nan,0.000,3116,3116,22227,7564,3,135,0.885,0,GOAL_SENT code=1,1
4.801,-0.104,0.172,-0.0007,10.000,0.000,1,0.000,0.000,-0.001,-0.018,0.008,0.006,-0.0163,PLAN,450,0.000,0.000,0,nan,0.000,3113,3113,22137,7564,3,135,0.783,0,GOAL_SENT code=1,1
5.000,-0.101,0.169,0.0000,10.000,0.000,1,0.000,0.000,-0.000,-0.018,0.010,0.010,-0.0167,PLAN,433,0.000,0.000,0,nan,0.000,3102,3102,22137,7518,3,135,0.783,0,GOAL_SENT code=1,1
5.201,-0.101,0.169,0.0000,10.000,0.000,1,0.000,0.000,-0.000,-0.018,0.000,0.000,-0.0167,PLAN,433,0.000,0.000,0,nan,0.000,3081,3081,22137,7518,3,135,0.343,0,GOAL_SENT code=1,1
5.401,-0.117,0.160,-0.0003,10.000,0.000,1,0.000,0.000,-0.001,-0.012,0.009,-0.016,-0.0155,PLAN,433,0.000,0.000,0,nan,0.000,3052,3052,22177,7518,3,135,0.432,0,GOAL_SENT code=1,1
5.601,-0.121,0.156,-0.0007,10.000,0.000,1,0.000,0.000,-0.000,0.011,0.014,-0.020,-0.0147,PLAN,448,0.000,0.000,0,nan,0.000,3048,3048,22200,7553,3,125,1.258,0,GOAL_SENT code=1,1
5.801,-0.121,0.156,0.0002,10.000,0.000,1,0.000,0.000,0.000,-0.008,0.000,0.001,-0.0156,PLAN,434,0.000,0.000,0,nan,0.000,3048,3048,22200,7577,3,125,1.258,0,GOAL_SENT code=1,1
6.000,-0.128,0.154,-0.0011,10.000,0.000,1,0.000,0.000,-0.001,0.008,0.003,-0.006,-0.0141,PLAN,434,0.000,0.000,0,nan,0.000,2994,2994,22246,7577,3,120,1.258,0,GOAL_SENT code=1,1
6.201,-0.132,0.153,-0.0008,10.000,0.000,1,0.000,0.000,0.000,0.014,0.000,0.000,-0.0142,PLAN,443,0.000,0.000,0,8.279,10.133,2994,2994,22246,7620,3,120,1.202,0,EXECUTING code=2,2
6.401,-0.136,0.154,-0.0014,10.000,0.000,1,0.200,-0.009,-0.000,0.015,0.001,-0.004,-0.0137,PLAN,422,10.062,8.586,0,8.284,10.133,2974,2974,22282,7595,3,135,0.880,0,EXECUTING code=2,2
6.600,-0.139,0.154,-0.0014,10.000,0.000,1,0.400,-0.010,0.001,0.010,0.001,-0.007,-0.0138,PLAN,448,22.550,21.262,0,8.285,10.133,2974,2974,22287,7662,3,135,0.880,0,EXECUTING code=2,2
6.800,-0.139,0.154,0.0007,10.000,0.000,1,0.600,-0.010,0.003,0.007,0.000,0.000,-0.0159,PLAN,444,50.882,49.350,0,8.304,10.133,2974,2974,22287,7664,2,90,0.880,1,ACCEPTED code=1; Nav2 goal accepted,1
7.000,-0.139,0.154,0.0007,10.000,0.000,1,0.600,-0.010,0.003,0.007,0.000,0.000,-0.0159,PLAN,444,57.613,56.075,0,8.304,10.133,2961,2961,22287,7664,4,180,0.667,1,ACCEPTED code=1; Nav2 goal accepted,1
7.200,-0.146,0.153,-0.0014,10.000,0.000,1,0.600,-0.010,0.009,-0.013,0.001,-0.007,-0.0137,PLAN,444,57.613,56.075,0,8.304,10.133,2963,2963,22402,7664,8,330,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
7.400,-0.147,0.155,0.0003,10.000,0.000,1,0.600,-0.009,0.010,0.001,0.001,-0.008,-0.0156,PLAN,436,57.580,56.108,0,8.316,10.133,2963,2963,22402,7676,8,330,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
7.601,-0.147,0.155,0.0003,10.000,0.000,1,0.600,-0.010,0.010,0.001,0.001,-0.008,-0.0156,PLAN,436,57.621,56.067,0,8.316,10.133,2963,2963,22402,7676,8,325,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
7.800,-0.147,0.155,0.0003,10.000,0.000,1,0.600,-0.010,0.010,0.001,0.001,-0.008,-0.0156,PLAN,436,57.621,56.067,0,8.316,10.133,2954,2954,22169,7676,8,325,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
8.001,-0.077,0.183,-0.0012,10.000,0.000,1,0.600,-0.012,0.014,-0.011,0.029,0.063,-0.0169,PLAN,436,57.776,55.912,0,8.316,10.133,2959,2959,22152,7676,8,325,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
8.201,-0.041,0.183,-0.0026,10.000,0.000,1,0.600,-0.019,0.007,0.007,0.030,0.098,-0.0156,PLAN,426,58.398,55.290,0,8.465,10.133,2969,2969,22152,7628,7,280,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
8.401,-0.038,0.181,-0.0025,10.000,0.000,1,0.600,-0.016,0.006,-0.020,0.028,0.101,-0.0155,PLAN,421,58.139,55.549,0,8.602,10.133,2994,2994,22075,7617,7,280,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
8.600,0.005,0.192,-0.0033,10.000,0.000,1,0.600,-0.024,0.006,-0.006,0.040,0.144,-0.0159,PLAN,421,58.756,54.932,0,8.602,10.133,2994,2994,22075,7617,7,280,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
8.800,0.008,0.191,-0.0036,10.000,0.000,1,0.600,-0.019,0.005,-0.006,0.039,0.147,-0.0154,PLAN,433,58.333,55.355,0,8.488,10.133,2994,2994,22075,7563,7,275,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
9.000,0.008,0.191,-0.0036,10.000,0.000,1,0.600,-0.019,0.005,-0.006,0.039,0.147,-0.0154,PLAN,433,58.333,55.355,0,8.488,10.133,2935,2935,22075,7563,10,410,5.000,1,ACCEPTED code=1; Nav2 goal accepted,1
9.200,0.008,0.191,-0.0036,10.000,0.000,1,0.600,-0.019,0.005,-0.006,0.039,0.147,-0.0154,PLAN,433,58.333,55.355,0,8.488,10.133,2935,2935,22075,7563,7,315,1.135,1,ACCEPTED code=1; Nav2 goal accepted,1
9.401,0.196,0.231,-0.0096,10.000,0.000,1,0.600,-0.019,0.067,0.000,0.082,0.335,-0.0140,PLAN,433,58.333,55.355,0,8.488,10.133,2856,2856,21730,7563,7,315,0.942,1,ACCEPTED code=1; Nav2 goal accepted,1
9.600,0.308,0.248,-0.0051,10.000,0.000,1,0.600,-0.041,0.004,-0.016,0.101,0.446,-0.0205,PLAN,383,59.370,54.318,0,8.721,10.133,2816,2816,21668,7461,7,315,0.942,1,ACCEPTED code=1; Nav2 goal accepted,1
9.801,0.359,0.243,-0.0014,10.000,0.000,1,0.600,-0.043,0.001,-0.007,0.097,0.498,-0.0238,PLAN,383,60.319,53.369,0,8.721,10.133,2816,2816,21668,7461,7,315,0.270,1,ACCEPTED code=1; Nav2 goal accepted,1
10.001,0.390,0.254,0.0041,10.000,0.000,1,0.600,-0.035,0.003,-0.005,0.108,0.528,-0.0306,PLAN,355,59.822,53.866,0,8.615,10.133,2816,2816,21572,7465,6,270,0.270,1,ACCEPTED code=1; Nav2 goal accepted,1
10.200,0.406,0.239,-0.0036,10.000,0.000,1,0.600,-0.036,0.001,0.007,0.093,0.544,-0.0214,PLAN,323,59.757,53.931,0,8.648,10.133,2816,2816,21572,7414,6,270,0.270,1,ACCEPTED code=1; Nav2 goal accepted,1
