wall_time,sim_time,event,camera_x,camera_y,world_x,world_y,detail
2026-08-29T20:54:36+0800,156.168,transform_frozen,0.000,0.000,-530.933,163.158,"tx=-530.932503; ty=163.157543; yaw=1.000000; boat_world=(-530.5051304094427, 164.66278280643843); boat_camera=(1.4975254941304188, 0.45366306946858886)"
2026-08-29T20:54:36+0800,156.168,spawned,6.500,-6.000,-522.372,165.385,speed=0.600 m/s; update_hz=5.0
2026-08-29T20:54:36+0800,156.168,motion_start,6.500,-6.000,-522.372,165.385,duration=20.000 s
2026-08-29T20:54:36+0800,156.748,pose_sample,6.500,-5.652,-522.665,165.573,fraction=0.029
2026-08-29T20:54:38+0800,157.388,pose_sample,6.500,-5.268,-522.988,165.781,fraction=0.061
2026-08-29T20:54:40+0800,158.624,pose_sample,6.500,-4.526,-523.612,166.181,fraction=0.123
2026-08-29T20:54:41+0800,159.292,pose_sample,6.500,-4.126,-523.949,166.398,fraction=0.156
2026-08-29T20:54:43+0800,160.552,pose_sample,6.500,-3.370,-524.585,166.807,fraction=0.219
2026-08-29T20:54:44+0800,161.256,pose_sample,6.500,-2.947,-524.941,167.035,fraction=0.254
2026-08-29T20:54:46+0800,162.600,pose_sample,6.500,-2.141,-525.619,167.470,fraction=0.322
2026-08-29T20:54:48+0800,163.344,pose_sample,6.500,-1.694,-525.995,167.712,fraction=0.359
2026-08-29T20:54:50+0800,164.712,pose_sample,6.500,-0.874,-526.685,168.155,fraction=0.427
2026-08-29T20:54:51+0800,165.388,pose_sample,6.500,-0.468,-527.027,168.374,fraction=0.461
2026-08-29T20:54:53+0800,166.648,pose_sample,6.500,0.288,-527.663,168.783,fraction=0.524
2026-08-29T20:54:54+0800,167.224,pose_sample,6.500,0.634,-527.954,168.969,fraction=0.553
2026-08-29T20:54:56+0800,168.476,pose_sample,6.500,1.385,-528.586,169.375,fraction=0.615
2026-08-29T20:54:58+0800,169.700,pose_sample,6.500,2.119,-529.204,169.772,fraction=0.677
2026-08-29T20:54:59+0800,170.376,pose_sample,6.500,2.525,-529.545,169.991,fraction=0.710
2026-08-29T20:55:01+0800,171.688,pose_sample,6.500,3.312,-530.207,170.417,fraction=0.776
2026-08-29T20:55:02+0800,172.344,pose_sample,6.500,3.706,-530.539,170.629,fraction=0.809
2026-08-29T20:55:04+0800,173.568,pose_sample,6.500,4.440,-531.157,171.026,fraction=0.870
2026-08-29T20:55:05+0800,174.252,pose_sample,6.500,4.850,-531.502,171.248,fraction=0.904
2026-08-29T20:55:07+0800,175.592,pose_sample,6.500,5.654,-532.179,171.682,fraction=0.971
2026-08-29T20:55:09+0800,176.260,pose_sample,6.500,6.000,-532.469,171.869,fraction=1.000
2026-08-29T20:55:09+0800,176.260,motion_complete,6.500,6.000,-532.469,171.869,elapsed=20.092 s
