t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3066,3066,0,0,0,0,0.000,0,IDLE code=0,0
0.601,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3042,3042,0,0,0,0,0.000,0,IDLE code=0,0
0.801,-0.089,0.117,-0.0008,0.000,0.000,0,0.000,0.000,-0.001,-0.011,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3042,3042,0,7483,0,0,0.000,0,IDLE code=0,0
1.000,-0.089,0.117,-0.0008,0.000,0.000,0,0.000,0.000,-0.001,-0.011,0.000,0.000,0.0000,PLAN,408,0.000,0.000,0,nan,0.000,3038,3038,0,7483,0,0,0.000,0,IDLE code=0,0
1.201,-0.089,0.117,-0.0008,0.000,0.000,0,0.000,0.000,-0.001,-0.011,0.000,0.000,0.0000,PLAN,408,0.000,0.000,0,nan,0.000,3042,3042,22039,7483,0,0,0.000,0,IDLE code=0,0
1.400,-0.090,0.111,0.0000,0.000,0.000,0,0.000,0.000,-0.002,-0.007,0.000,0.000,0.0000,PLAN,408,0.000,0.000,0,nan,0.000,3051,3051,22039,7483,0,0,0.000,0,IDLE code=0,0
1.601,-0.090,0.107,-0.0014,0.000,0.000,0,0.000,0.000,-0.002,-0.007,0.000,0.000,0.0000,PLAN,409,0.000,0.000,0,nan,0.000,3056,3056,22064,7503,0,0,0.000,0,IDLE code=0,0
1.801,-0.091,0.108,-0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,432,0.000,0.000,0,nan,0.000,3056,3056,22064,7511,0,0,0.000,0,IDLE code=0,0
2.001,-0.091,0.108,-0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,432,0.000,0.000,0,nan,0.000,3056,3056,22064,7511,0,0,0.000,0,IDLE code=0,0
2.201,-0.091,0.108,-0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,432,0.000,0.000,0,nan,0.000,3051,3051,22064,7511,0,0,0.000,0,IDLE code=0,0
2.400,-0.109,0.104,-0.0021,0.000,0.000,0,0.000,0.000,-0.003,-0.001,0.000,0.000,0.0000,PLAN,432,0.000,0.000,0,nan,0.000,2973,2973,22209,7511,0,0,0.000,0,IDLE code=0,0
2.601,-0.109,0.104,-0.0021,0.000,0.000,0,0.000,0.000,-0.003,-0.001,0.000,0.000,0.0000,PLAN,432,0.000,0.000,0,nan,0.000,2973,2973,22209,7511,0,0,0.000,0,IDLE code=0,0
2.801,-0.111,0.106,-0.0007,0.000,0.000,0,0.000,0.000,0.000,-0.007,0.000,0.000,0.0000,PLAN,432,0.000,0.000,0,nan,0.000,2938,2938,22209,7511,0,0,0.000,0,IDLE code=0,0
3.000,-0.131,0.113,0.0001,0.000,0.000,0,0.000,0.000,0.001,-0.001,0.000,0.000,0.0000,PLAN,431,0.000,0.000,0,nan,0.000,2920,2920,22339,7686,0,0,0.000,0,IDLE code=0,0
3.201,-0.137,0.114,0.0000,0.000,0.000,0,0.000,0.000,0.001,-0.014,0.000,0.000,0.0000,PLAN,431,0.000,0.000,0,nan,0.000,2920,2920,22339,7700,0,0,0.000,0,IDLE code=0,0
3.400,-0.137,0.114,0.0000,0.000,0.000,0,0.000,0.000,0.001,-0.014,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,2917,2917,22339,7700,0,0,0.000,0,IDLE code=0,0
3.600,-0.135,0.114,-0.0029,0.000,0.000,0,0.000,0.000,0.012,-0.013,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,2917,2917,22389,7700,0,0,0.000,0,IDLE code=0,0
3.801,-0.148,0.118,0.0001,20.000,0.000,1,0.150,-0.053,0.001,0.007,0.005,-0.006,-0.0059,PLAN,408,3.982,0.000,0,8.373,20.152,2932,2932,22403,7690,0,0,0.000,0,EXECUTING code=2,2
4.001,-0.151,0.120,-0.0015,20.000,0.000,1,0.350,-0.051,0.003,-0.009,0.007,-0.009,-0.0044,PLAN,408,26.113,17.699,0,8.373,20.152,2932,2932,22403,7690,0,0,0.000,0,EXECUTING code=2,2
4.201,-0.153,0.121,0.0001,20.000,0.000,1,0.550,-0.053,0.002,0.021,0.008,-0.011,-0.0061,PLAN,412,48.008,39.492,0,8.398,20.152,2932,2932,22403,7696,0,0,0.000,0,EXECUTING code=2,2
4.401,-0.153,0.121,0.0001,20.000,0.000,1,0.600,-0.053,0.002,0.021,0.008,-0.011,-0.0061,PLAN,412,61.102,52.586,0,8.398,20.152,2932,2932,22403,7696,0,0,0.000,0,EXECUTING code=2,2
4.600,-0.157,0.121,-0.0034,20.000,0.000,1,0.600,-0.051,0.018,-0.009,0.008,-0.015,-0.0026,PLAN,412,61.102,52.586,0,8.398,20.152,2962,2962,22419,7696,0,0,0.000,0,EXECUTING code=2,2
