t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,5,220,2.712,0,IDLE code=0,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3548,3548,0,0,5,220,2.712,0,IDLE code=0,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3566,3566,0,0,6,270,2.712,0,IDLE code=0,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3564,3564,0,0,7,315,2.712,0,IDLE code=0,0
1.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3564,3564,0,0,7,315,2.712,0,IDLE code=0,0
2.000,-0.354,0.471,0.0001,0.000,0.000,0,0.000,0.000,-0.000,-0.000,0.000,0.000,0.0000,PLAN,451,0.000,0.000,0,nan,0.000,3564,3564,22118,7525,7,315,2.712,0,IDLE code=0,0
2.201,-0.356,0.465,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.017,0.000,0.000,0.0000,PLAN,464,0.000,0.000,0,nan,0.000,3553,3553,22166,7521,7,315,2.712,0,IDLE code=0,0
2.400,-0.357,0.462,0.0012,0.000,0.000,0,0.000,0.000,0.000,-0.006,0.000,0.000,0.0000,PLAN,456,0.000,0.000,0,nan,0.000,3553,3553,22166,7533,7,315,2.712,0,IDLE code=0,0
2.601,-0.358,0.460,0.0009,0.000,0.000,0,0.000,0.000,0.000,-0.003,0.000,0.000,0.0000,PLAN,471,0.000,0.000,0,nan,0.000,3553,3553,22166,7551,7,315,2.712,0,IDLE code=0,0
2.800,-0.358,0.460,0.0009,0.000,0.000,0,0.000,0.000,0.000,-0.003,0.000,0.000,0.0000,PLAN,471,0.000,0.000,0,nan,0.000,3540,3540,22166,7551,7,315,2.712,0,IDLE code=0,0
3.001,-0.358,0.460,0.0009,0.000,0.000,0,0.000,0.000,0.000,-0.003,0.000,0.000,0.0000,PLAN,471,0.000,0.000,0,nan,0.000,3532,3532,22166,7551,7,315,2.505,0,IDLE code=0,0
3.200,-0.378,0.460,-0.0007,0.000,0.000,0,0.000,0.000,-0.004,0.005,0.000,0.000,0.0000,PLAN,471,0.000,0.000,0,nan,0.000,3534,3534,22293,7551,6,270,2.505,0,IDLE code=0,0
3.400,-0.383,0.462,0.0009,0.000,0.000,0,0.000,0.000,0.001,-0.018,0.000,0.000,0.0000,PLAN,431,0.000,0.000,0,nan,0.000,3540,3540,22293,7598,6,270,2.505,0,IDLE code=0,0
3.600,-0.383,0.462,0.0009,0.000,0.000,0,0.000,0.000,0.001,-0.018,0.000,0.000,0.0000,PLAN,431,0.000,0.000,0,nan,0.000,3540,3540,22293,7598,6,270,2.505,0,IDLE code=0,0
3.801,-0.386,0.473,-0.0004,0.000,0.000,0,0.000,0.000,0.000,0.006,0.000,0.000,0.0000,PLAN,431,0.000,0.000,0,nan,0.000,3602,3602,22315,7598,6,270,2.505,0,IDLE code=0,0
4.000,-0.385,0.474,0.0004,0.000,0.000,0,0.000,0.000,0.000,-0.005,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3659,3659,22294,7605,6,270,2.505,0,IDLE code=0,0
4.201,-0.384,0.485,-0.0001,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3692,3692,22303,7582,5,225,1.318,0,IDLE code=0,0
4.401,-0.382,0.491,0.0004,0.000,0.000,0,0.000,0.000,-0.000,-0.002,0.000,0.000,0.0000,PLAN,423,0.000,0.000,0,nan,0.000,3703,3703,22312,7576,5,225,1.318,0,IDLE code=0,0
4.600,-0.379,0.496,0.0004,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3703,3703,22312,7628,6,270,1.564,0,IDLE code=0,0
4.801,-0.377,0.498,-0.0014,0.000,0.000,0,0.000,0.000,0.002,-0.006,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3711,3711,22330,7628,6,270,1.449,0,IDLE code=0,0
5.000,-0.376,0.505,-0.0005,0.000,0.000,0,0.000,0.000,-0.002,0.005,0.000,0.000,0.0000,PLAN,412,0.000,0.000,0,nan,0.000,3712,3712,22327,7618,5,225,0.731,0,IDLE code=0,0
5.201,-0.372,0.511,-0.0002,1.500,-0.000,0,0.000,0.000,-0.000,-0.009,0.000,0.000,0.0000,PLAN,391,0.000,0.000,0,nan,0.000,3712,3712,22327,7610,5,225,0.731,0,IDLE code=0,0
