wall_time,sim_time,event,detail
2026-08-29T12:54:59+0800,1787979299.366,waypoints_camera_init,"(1.50,0.00); (3.00,0.50); (4.00,0.00)"
2026-08-29T12:55:00+0800,1787979300.343,status,IDLE code=0
2026-08-29T12:55:00+0800,1787979300.679,transform_ready,"boat_world=(-532.7067312485084, 161.90344307993098); boat_camera=(-0.3812777573635868, 0.4894555049286445)"
2026-08-29T12:55:00+0800,1787979300.680,command,clear
2026-08-29T12:55:01+0800,1787979301.483,marker,"1: camera=(1.500,0.000) world=(-531.266,163.203)"
2026-08-29T12:55:02+0800,1787979302.274,marker,"2: camera=(3.000,0.500) world=(-530.867,164.718)"
2026-08-29T12:55:02+0800,1787979302.987,marker,"3: camera=(4.000,0.000) world=(-529.906,165.290)"
2026-08-29T12:55:03+0800,1787979303.693,command,navigate
2026-08-29T12:55:03+0800,1787979303.695,status,QUEUED code=1; waiting for NavigateThroughPoses
2026-08-29T12:55:03+0800,1787979303.698,status,ACCEPTED code=1; Nav2 multi-goal accepted
2026-08-29T12:55:04+0800,1787979304.088,status,ABORTED code=6
2026-08-29T12:55:04+0800,1787979304.495,navigate_sent,3 waypoints
2026-08-29T12:55:04+0800,1787979304.496,terminal,ABORTED code=6
