t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
2.000,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,5,225,1.326,0,IDLE code=0,0
2.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3496,3496,0,0,5,225,1.326,0,IDLE code=0,0
2.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3498,3498,0,0,5,225,0.604,0,IDLE code=0,0
2.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3496,3496,0,0,5,225,0.764,0,IDLE code=0,0
2.800,-0.167,0.247,0.0001,0.000,0.000,0,0.000,0.000,0.000,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3504,3504,0,0,4,180,0.938,0,IDLE code=0,0
3.000,-0.165,0.248,-0.0003,0.000,0.000,0,0.000,0.000,0.000,-0.015,0.000,0.000,0.0000,PLAN,422,0.000,0.000,0,nan,0.000,3548,3548,22295,7671,5,215,1.301,0,IDLE code=0,0
3.200,-0.164,0.247,0.0001,0.000,0.000,0,0.000,0.000,-0.000,0.000,0.000,0.000,0.0000,PLAN,420,0.000,0.000,0,nan,0.000,3548,3548,22295,7629,5,215,1.301,0,IDLE code=0,0
3.400,-0.160,0.248,0.0019,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,420,0.000,0.000,0,nan,0.000,3576,3576,22268,7629,5,210,1.337,0,IDLE code=0,0
3.600,-0.154,0.247,0.0006,0.000,0.000,0,0.000,0.000,-0.000,-0.000,0.000,0.000,0.0000,PLAN,442,0.000,0.000,0,nan,0.000,3618,3618,22223,7590,5,210,1.301,0,IDLE code=0,0
3.801,-0.149,0.245,0.0007,0.000,0.000,0,0.000,0.000,-0.001,0.004,0.000,0.000,0.0000,PLAN,442,0.000,0.000,0,nan,0.000,3602,3602,22219,7540,5,210,1.301,0,IDLE code=0,0
4.000,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,438,0.000,0.000,0,nan,0.000,3602,3602,22219,7530,5,210,1.301,0,IDLE code=0,0
4.200,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3603,3603,22219,7544,5,210,1.301,0,IDLE code=0,0
4.400,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3603,3603,22219,7544,5,210,1.301,0,IDLE code=0,0
4.600,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3601,3601,22219,7544,5,210,1.301,0,IDLE code=0,0
4.800,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3601,3601,22219,7544,4,180,0.893,0,IDLE code=0,0
5.000,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3612,3612,22219,7544,4,180,0.501,0,IDLE code=0,0
5.200,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3612,3612,22219,7544,4,180,0.501,0,IDLE code=0,0
5.400,-0.145,0.243,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.008,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3612,3612,22219,7544,4,180,0.501,0,IDLE code=0,0
5.600,-0.170,0.238,0.0006,0.000,0.000,0,0.000,0.000,0.000,0.007,0.000,0.000,0.0000,PLAN,444,0.000,0.000,0,nan,0.000,3547,3547,22251,7544,4,180,0.467,0,IDLE code=0,0
5.800,-0.172,0.238,0.0010,0.000,0.000,0,0.000,0.000,0.001,0.000,0.000,0.000,0.0000,PLAN,439,0.000,0.000,0,nan,0.000,3547,3547,22311,7600,4,180,0.872,0,IDLE code=0,0
6.000,-0.176,0.236,0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.002,0.000,0.000,0.0000,PLAN,427,0.000,0.000,0,nan,0.000,3497,3497,22320,7615,4,180,1.030,0,IDLE code=0,0
6.200,-0.178,0.236,0.0003,0.000,0.000,0,0.000,0.000,0.001,0.014,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3497,3497,22320,7657,4,180,1.030,0,IDLE code=0,0
6.400,-0.178,0.236,0.0003,0.000,0.000,0,0.000,0.000,0.001,0.014,0.000,0.000,0.0000,PLAN,438,0.000,0.000,0,nan,0.000,3484,3484,22320,7661,4,180,1.030,0,IDLE code=0,0
6.600,-0.178,0.236,0.0003,0.000,0.000,0,0.000,0.000,0.001,0.014,0.000,0.000,0.0000,PLAN,438,0.000,0.000,0,nan,0.000,3484,3484,22320,7661,6,270,1.044,0,IDLE code=0,0
