t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
2.116,-0.321,0.376,-0.0013,0.000,0.000,0,0.000,0.000,-0.000,-0.010,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7681,0,0,0.000,0,IDLE code=0,0
2.201,-0.311,0.373,0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7597,0,0,0.000,0,IDLE code=0,0
2.400,-0.311,0.373,0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7597,0,0,0.000,0,IDLE code=0,0
2.601,-0.311,0.373,0.0003,0.000,0.000,0,0.000,0.000,-0.001,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7597,0,0,0.000,0,IDLE code=0,0
2.800,-0.300,0.348,0.0002,0.000,0.000,0,0.000,0.000,-0.001,0.005,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7597,0,0,0.000,0,IDLE code=0,0
3.000,-0.296,0.340,0.0004,0.000,0.000,0,0.000,0.000,-0.001,0.001,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7475,0,0,0.000,0,IDLE code=0,0
3.201,-0.288,0.332,0.0014,0.000,0.000,0,0.000,0.000,-0.001,-0.009,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,7470,5,215,1.785,0,IDLE code=0,0
3.400,-0.288,0.332,0.0014,0.000,0.000,0,0.000,0.000,-0.001,-0.009,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3579,3579,21987,7470,5,215,1.785,0,IDLE code=0,0
3.601,-0.290,0.316,0.0019,0.000,0.000,0,0.000,0.000,-0.001,-0.013,0.000,0.000,0.0000,PLAN,458,0.000,0.000,0,nan,0.000,3582,3582,22012,7417,6,260,1.785,0,IDLE code=0,0
3.801,-0.290,0.307,0.0016,0.000,0.000,0,0.000,0.000,-0.000,0.005,0.000,0.000,0.0000,PLAN,458,0.000,0.000,0,nan,0.000,3582,3582,22012,7417,6,260,1.785,0,IDLE code=0,0
4.000,-0.290,0.307,0.0016,0.000,0.000,0,0.000,0.000,-0.000,0.005,0.000,0.000,0.0000,PLAN,458,0.000,0.000,0,nan,0.000,3605,3605,22012,7417,7,305,1.437,0,IDLE code=0,0
4.202,-0.299,0.306,0.0007,0.000,0.000,0,0.000,0.000,-0.004,-0.001,0.000,0.000,0.0000,PLAN,458,0.000,0.000,0,nan,0.000,3582,3582,22147,7417,7,275,2.510,0,IDLE code=0,0
4.400,-0.306,0.294,0.0007,0.000,0.000,0,0.000,0.000,-0.000,0.001,0.000,0.000,0.0000,PLAN,465,0.000,0.000,0,nan,0.000,3558,3558,22147,7502,7,275,2.510,0,IDLE code=0,0
4.601,-0.307,0.292,0.0015,0.000,0.000,0,0.000,0.000,0.000,0.004,0.000,0.000,0.0000,PLAN,457,0.000,0.000,0,nan,0.000,3558,3558,22147,7486,8,320,2.510,0,IDLE code=0,0
4.801,-0.311,0.291,-0.0020,0.000,0.000,0,0.000,0.000,-0.000,0.005,0.000,0.000,0.0000,PLAN,457,0.000,0.000,0,nan,0.000,3522,3522,22254,7486,8,320,2.510,0,IDLE code=0,0
5.000,-0.313,0.291,0.0019,0.000,0.000,0,0.000,0.000,0.000,-0.001,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3528,3528,22254,7558,8,320,2.510,0,IDLE code=0,0
5.201,-0.317,0.292,-0.0022,0.000,0.000,0,0.000,0.000,0.000,-0.009,0.000,0.000,0.0000,PLAN,430,0.000,0.000,0,nan,0.000,3534,3534,22341,7558,8,320,2.510,0,IDLE code=0,0
5.401,-0.320,0.295,0.0015,1.500,0.000,0,0.000,0.000,0.001,-0.005,0.000,0.000,0.0000,PLAN,435,0.000,0.000,0,nan,0.000,3534,3534,22341,7614,8,315,2.510,0,IDLE code=0,0
