wall_time,sim_time,event,detail
2026-08-29T13:18:37+0800,1787980717.259,waypoints_camera_init,"(1.50,0.00); (3.00,0.50); (4.00,0.00)"
2026-08-29T13:18:38+0800,1787980718.217,status,IDLE code=0
2026-08-29T13:18:38+0800,1787980718.268,transform_ready,"boat_world=(-532.5278043544512, 161.92975560952172); boat_camera=(-0.30740840509546896, 0.29204437955445156)"
2026-08-29T13:18:38+0800,1787980718.270,command,clear
2026-08-29T13:18:39+0800,1787980719.073,marker,"1: camera=(1.500,0.000) world=(-531.296,163.302)"
2026-08-29T13:18:39+0800,1787980719.785,marker,"2: camera=(3.000,0.500) world=(-530.913,164.816)"
2026-08-29T13:18:40+0800,1787980720.487,marker,"3: camera=(4.000,0.000) world=(-529.899,165.383)"
2026-08-29T13:18:41+0800,1787980721.197,command,navigate
2026-08-29T13:18:41+0800,1787980721.199,status,QUEUED code=1; waiting for NavigateThroughPoses
2026-08-29T13:18:41+0800,1787980721.201,status,ACCEPTED code=1; Nav2 multi-goal accepted
2026-08-29T13:18:41+0800,1787980721.998,navigate_sent,3 waypoints
2026-08-29T13:21:32+0800,1787980892.010,timeout,no terminal status after 170.0 s
