t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.201,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,4,180,0.466,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3674,3674,0,0,4,180,0.466,0,IDLE code=0,0
0.601,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,410,0.000,0.000,0,nan,0.000,3662,3662,0,0,6,265,1.080,0,IDLE code=0,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,417,0.000,0.000,0,nan,0.000,3637,3637,0,0,6,260,2.349,0,IDLE code=0,0
1.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,417,0.000,0.000,0,nan,0.000,3637,3579,0,0,6,260,2.349,0,IDLE code=0,0
1.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3538,3538,0,0,5,225,2.178,0,IDLE code=0,0
1.400,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,399,0.000,0.000,0,nan,0.000,3512,3512,0,0,5,225,2.178,0,IDLE code=0,0
1.601,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,416,0.000,0.000,0,nan,0.000,3512,3512,0,0,7,315,2.053,0,IDLE code=0,0
1.801,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,394,0.000,0.000,0,nan,0.000,3480,3480,0,0,9,405,1.773,0,IDLE code=0,0
2.001,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3472,3472,0,0,13,585,2.282,0,IDLE code=0,0
2.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3472,3472,0,0,13,585,2.282,0,IDLE code=0,0
2.400,-0.334,0.332,-0.0015,0.000,0.000,0,0.000,0.000,0.004,0.011,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3454,3454,0,0,13,580,1.510,0,IDLE code=0,0
2.601,-0.340,0.339,-0.0028,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3456,3456,0,0,13,580,1.510,0,IDLE code=0,0
2.801,-0.340,0.339,-0.0028,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3456,3456,0,0,13,580,1.510,0,IDLE code=0,0
3.001,-0.340,0.339,-0.0028,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3456,3456,0,0,13,580,1.510,0,IDLE code=0,0
3.201,-0.340,0.339,-0.0028,0.000,0.000,0,0.000,0.000,0.000,0.010,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3456,3456,0,0,13,580,1.510,0,IDLE code=0,0
3.400,-0.337,0.346,-0.0032,0.000,0.000,0,0.000,0.000,0.002,-0.005,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3458,3458,0,0,13,580,1.510,0,IDLE code=0,0
3.601,-0.323,0.352,-0.0009,0.000,0.000,0,0.000,0.000,0.001,0.004,0.000,0.000,0.0000,PLAN,401,0.000,0.000,0,nan,0.000,3458,3458,22193,0,13,580,1.510,0,IDLE code=0,0
3.801,-0.316,0.347,0.0005,0.000,0.000,0,0.000,0.000,-0.001,-0.006,0.000,0.000,0.0000,PLAN,420,0.000,0.000,0,nan,0.000,3458,3458,22193,7567,13,580,1.510,0,IDLE code=0,0
4.000,-0.311,0.348,-0.0016,0.000,0.000,0,0.000,0.000,0.001,0.005,0.000,0.000,0.0000,PLAN,420,0.000,0.000,0,nan,0.000,3596,3596,22119,7567,13,580,1.510,0,IDLE code=0,0
4.200,-0.303,0.342,0.0010,0.000,0.000,0,0.000,0.000,-0.001,-0.018,0.000,0.000,0.0000,PLAN,438,0.000,0.000,0,nan,0.000,3589,3589,22119,7501,13,580,1.510,0,IDLE code=0,0
4.401,-0.303,0.342,0.0010,0.000,0.000,0,0.000,0.000,-0.001,-0.018,0.000,0.000,0.0000,PLAN,438,0.000,0.000,0,nan,0.000,3584,3584,22119,7501,13,580,1.510,0,IDLE code=0,0
