wall_time,sim_time,event,detail
2026-08-29T13:06:09+0800,1787979969.507,waypoints_camera_init,"(1.50,0.00); (3.00,0.50); (4.00,0.00)"
2026-08-29T13:06:12+0800,1787979972.135,transform_ready,"boat_world=(-532.543429431967, 161.92856921829446); boat_camera=(-0.29623392566947987, 0.322652399729238)"
2026-08-29T13:06:12+0800,1787979972.136,command,clear
2026-08-29T13:06:12+0800,1787979972.940,marker,"1: camera=(1.500,0.000) world=(-531.290,163.280)"
2026-08-29T13:06:12+0800,1787979972.952,status,IDLE code=0
2026-08-29T13:06:13+0800,1787979973.641,marker,"2: camera=(3.000,0.500) world=(-530.888,164.845)"
2026-08-29T13:06:14+0800,1787979974.357,marker,"3: camera=(4.000,0.000) world=(-529.904,165.414)"
2026-08-29T13:06:15+0800,1787979975.058,command,navigate
2026-08-29T13:06:15+0800,1787979975.060,status,QUEUED code=1; waiting for NavigateThroughPoses
2026-08-29T13:06:15+0800,1787979975.063,status,ACCEPTED code=1; Nav2 multi-goal accepted
2026-08-29T13:06:15+0800,1787979975.405,status,ABORTED code=6
2026-08-29T13:06:15+0800,1787979975.864,navigate_sent,3 waypoints
2026-08-29T13:06:15+0800,1787979975.884,terminal,ABORTED code=6
