probe,boat_x,boat_y,accept_s,result_s,poses,outcome
1,18.57,-3.89,0.021,0.202,0,EMPTY_PATH
2,18.5,0.39,0.001,0.005,50,OK
3,18.11,5.2,0.001,0.005,54,OK
4,17.53,5.49,0.001,0.008,54,OK
5,17.2,3.27,0.001,0.006,52,OK
6,17.62,0.04,0.001,0.004,51,OK
7,17.8,-0.11,0.001,0.006,48,OK
8,18.61,2.03,0.001,0.004,48,OK
9,18.4,1.89,0.001,0.005,50,OK
10,18.24,2.1,0.001,0.003,50,OK
11,17.74,2.99,0.001,0.008,48,OK
12,17.78,2.83,0.001,0.009,52,OK
13,18.3,2.7,0.001,0.008,52,OK
14,17.96,2.07,0.001,0.006,50,OK
15,18.19,3.38,0.001,0.014,55,OK
16,17.95,3.05,0.001,0.009,51,OK
17,17.82,3.27,0.001,0.008,50,OK
18,17.81,3.21,0.001,0.005,50,OK
19,18.47,2.42,0.001,0.007,51,OK
20,18.06,3.33,0.001,0.005,53,OK
21,18.18,3.07,0.001,0.01,50,OK
22,18.23,3.03,0.001,0.004,52,OK
23,17.95,3.41,0.001,0.013,54,OK
24,17.57,3.78,0.001,0.013,53,OK
25,17.26,3.93,0.001,0.018,52,OK
