t,source,point_index,x,y,z
0.307,raw,0,4.8715,2.1007,0.7865
0.307,raw,14,4.7307,2.2942,0.8065
0.307,raw,28,4.6187,2.4861,0.8196
0.307,raw,42,4.4922,2.6686,0.8341
0.307,raw,56,4.3719,2.8468,0.8462
0.307,raw,70,4.2770,3.0292,0.8520
0.307,raw,84,4.7623,3.4486,0.7382
0.307,raw,98,4.7790,2.2102,0.9287
0.307,raw,112,4.6748,2.4063,0.9393
0.307,raw,126,4.5511,2.5924,0.9520
0.307,raw,140,4.4291,2.7728,0.9633
0.307,raw,154,4.3097,2.9486,0.9730
0.307,raw,168,4.2968,3.1614,0.9629
0.307,raw,182,-6.2812,-5.0508,0.5931
0.307,raw,196,-6.0884,-5.3596,0.5785
0.307,raw,210,-5.8719,-5.6525,0.5657
0.307,raw,224,-5.6385,-5.9354,0.5536
0.307,raw,238,-5.4307,-6.2710,0.5313
0.308,raw,252,-5.1908,-6.5791,0.5127
0.308,raw,266,4.8272,2.1406,1.0509
0.308,raw,280,4.7186,2.3382,1.0610
0.308,raw,294,4.5991,2.5276,1.0716
0.308,raw,308,4.4845,2.7124,1.0804
0.308,raw,322,4.3605,2.8890,1.0898
0.308,raw,336,4.2407,3.0619,1.0975
0.308,raw,350,4.9952,3.5999,0.9714
0.308,raw,364,-6.6535,-5.8173,0.7029
0.308,raw,378,-6.4274,-6.1421,0.6908
0.308,raw,392,-6.1890,-6.4654,0.6779
0.308,raw,406,-5.9846,-6.8556,0.6546
0.308,raw,420,-5.7024,-7.1525,0.6436
0.308,raw,434,-5.4612,-7.5384,0.6193
0.308,raw,448,-5.2120,-7.9470,0.5913
0.308,raw,462,-4.9045,-8.2779,0.5724
0.308,raw,476,-4.3909,-8.1496,0.6102
0.308,raw,490,-3.9890,-8.2498,0.6164
0.308,raw,504,4.8173,2.1857,1.1785
0.308,raw,518,4.6797,2.3766,1.1901
0.308,raw,532,4.5606,2.5641,1.1987
0.308,raw,546,4.4512,2.7487,1.2053
0.308,raw,560,4.3165,2.9203,1.2142
0.308,raw,574,4.2178,3.0995,1.2178
0.308,raw,588,-7.4232,-6.1218,0.8576
0.308,raw,602,-7.2433,-6.5395,0.8400
0.308,raw,616,-7.0029,-6.9070,0.8281
0.308,raw,630,-6.7671,-7.2993,0.8125
0.309,raw,644,-6.5050,-7.6782,0.7978
0.309,raw,658,-6.2647,-8.1180,0.7757
0.309,raw,672,-5.9686,-8.4994,0.7592
0.309,raw,686,-5.6705,-8.9098,0.7387
0.309,raw,700,-5.3485,-9.3128,0.7182
0.309,raw,714,-4.3465,-8.1193,0.8566
0.309,raw,728,-3.9616,-8.2602,0.8574
0.309,raw,742,-4.2952,-10.6324,0.6397
0.309,raw,756,-3.8731,-10.9963,0.6186
0.309,raw,770,-3.4860,-11.5922,0.5741
0.309,raw,784,-3.0832,-12.3154,0.5164
0.309,raw,798,4.7715,2.2399,1.3084
0.309,raw,812,4.6514,2.4320,1.3158
0.309,raw,826,4.5552,2.6242,1.3202
0.309,raw,840,4.4073,2.7967,1.3290
0.309,raw,854,4.2960,2.9745,1.3336
0.309,raw,868,4.4680,3.2613,1.3094
0.309,raw,882,-8.5030,-6.4286,1.0300
0.309,raw,896,-8.2429,-6.8056,1.0244
0.309,raw,910,-8.0134,-7.2284,1.0137
0.309,raw,924,-7.7943,-7.6846,0.9995
0.309,raw,938,-7.5166,-8.0917,0.9892
0.309,raw,952,-7.2821,-8.5838,0.9711
0.309,raw,966,-6.9832,-9.0149,0.9577
0.310,raw,980,-6.6646,-9.4448,0.9437
0.310,raw,994,-6.3443,-9.9084,0.9264
0.310,raw,1008,-5.9650,-10.2967,0.9141
0.310,raw,1022,-5.6192,-10.8019,0.8921
0.310,raw,1036,-4.0442,-8.1480,1.1027
0.310,raw,1050,-4.8337,-11.7870,0.8478
0.310,raw,1064,-4.4268,-12.3761,0.8174
0.310,raw,1078,-4.0143,-13.0939,0.7769
0.310,raw,1092,-3.5918,-14.0021,0.7222
