t,source,point_index,x,y,z
3.126,raw,0,4.8102,2.1640,0.8365
3.126,raw,14,4.7221,2.3532,0.8436
3.126,raw,28,4.5921,2.5258,0.8576
3.126,raw,42,4.4717,2.6961,0.8684
3.126,raw,56,4.3785,2.8730,0.8726
3.126,raw,70,4.2604,3.0367,0.8805
3.127,raw,84,4.5057,3.3843,0.8102
3.127,raw,98,4.7390,2.2821,0.9668
3.127,raw,112,4.6132,2.4570,0.9786
3.127,raw,126,4.5147,2.6358,0.9847
3.127,raw,140,4.4033,2.8066,0.9919
3.127,raw,154,4.3017,2.9782,0.9963
3.127,raw,168,4.1794,3.1376,1.0032
3.127,raw,182,-6.0439,-5.5169,0.5738
3.127,raw,196,-5.8195,-5.7977,0.5647
3.127,raw,210,-5.6194,-6.1197,0.5470
3.127,raw,224,-5.4010,-6.4343,0.5297
3.127,raw,238,-5.1553,-6.7260,0.5151
3.127,raw,252,4.7954,2.2058,1.0835
3.127,raw,266,4.6785,2.3861,1.0927
3.127,raw,280,4.5688,2.5636,1.1000
3.127,raw,294,4.4383,2.7290,1.1094
3.127,raw,308,4.3513,2.9075,1.1113
3.127,raw,322,4.2425,3.0748,1.1155
3.127,raw,336,4.9370,3.6626,0.9917
3.127,raw,350,-6.4473,-6.2917,0.6836
3.127,raw,364,-6.2036,-6.6058,0.6736
3.127,raw,378,-5.9887,-6.9720,0.6549
3.127,raw,392,-5.7473,-7.3232,0.6376
3.127,raw,406,-5.4903,-7.6730,0.6196
3.127,raw,420,-5.1971,-7.9853,0.6056
3.127,raw,434,-4.9294,-8.3703,0.5808
3.127,raw,448,-4.3224,-8.0600,0.6440
3.127,raw,462,-3.9797,-8.2783,0.6366
3.128,raw,476,-3.9780,-9.4462,0.5101
3.128,raw,490,4.7531,2.2556,1.2086
3.128,raw,504,4.6412,2.4355,1.2155
3.128,raw,518,4.5466,2.6167,1.2194
3.128,raw,532,4.4186,2.7822,1.2266
3.128,raw,546,4.3211,2.9560,1.2293
3.128,raw,560,4.2020,3.1176,1.2339
3.128,raw,574,-7.2638,-6.6859,0.8334
3.128,raw,588,-7.0169,-7.0436,0.8238
3.128,raw,602,-6.7730,-7.4197,0.8112
3.128,raw,616,-6.5277,-7.8136,0.7957
3.128,raw,630,-6.2811,-8.2311,0.7770
3.128,raw,644,-5.9905,-8.6089,0.7619
