t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
2.200,-0.8902,0.9808,-0.00089,,,0,IDLE code=0,0,,0,0,1
2.400,-0.8801,0.9756,0.00157,,,0,IDLE code=0,0,,0,0,1
2.600,-0.8801,0.9756,0.00157,,,0,IDLE code=0,0,,0,0,1
2.800,-0.8789,0.9792,-0.00016,,,0,IDLE code=0,0,,0,0,1
3.000,-0.8728,0.9773,-0.00540,,,0,IDLE code=0,0,,0,0,1
3.201,-0.8696,0.9731,0.00168,,,0,IDLE code=0,0,,4089,0,1
3.400,-0.8696,0.9731,0.00168,,,0,IDLE code=0,0,,4089,0,1
3.600,-0.8696,0.9731,0.00168,,,0,IDLE code=0,0,,4073,0,1
3.801,-0.8762,0.9843,-0.00606,,,0,IDLE code=0,0,,4067,0,1
4.001,-0.8773,0.9818,0.00077,,,0,IDLE code=0,0,,4060,0,1
4.200,-0.8773,0.9818,0.00077,,,0,IDLE code=0,0,,4060,0,1
4.402,-0.8859,0.9877,-0.00601,,,0,IDLE code=0,0,,3906,0,1
4.601,-0.8897,0.9886,-0.00336,,,0,IDLE code=0,0,,3885,0,1
4.800,-0.8940,0.9907,-0.00704,,,0,IDLE code=0,0,,3876,0,1
5.001,-0.8941,0.9918,0.00145,,,0,IDLE code=0,0,,3854,0,1
5.200,-0.8941,0.9918,0.00145,,,0,IDLE code=0,0,,3854,0,1
5.400,-0.8941,0.9918,0.00145,,,0,IDLE code=0,0,,3993,0,1
5.600,-0.9083,0.9983,-0.00048,,,0,IDLE code=0,0,,3995,0,1
5.800,-0.9064,0.9976,0.00014,,,0,IDLE code=0,0,,3995,0,1
6.000,-0.9064,0.9976,0.00014,,,0,IDLE code=0,0,,3995,0,1
6.201,-0.9064,0.9976,0.00014,,,0,IDLE code=0,0,,3995,0,1
6.401,-0.9078,0.9998,0.00156,,,0,IDLE code=0,0,,4066,0,1
6.600,-0.9074,0.9996,0.00151,,,0,IDLE code=0,0,,4076,0,1
6.800,-0.9074,0.9996,0.00151,,,0,IDLE code=0,0,,4149,0,1
7.000,-0.8945,0.9940,-0.00447,,,0,IDLE code=0,0,,4210,0,1
7.201,-0.8878,0.9895,-0.00164,,,0,IDLE code=0,0,,4222,0,1
7.401,-0.8847,0.9860,0.00082,,,0,IDLE code=0,0,,4240,0,1
7.600,-0.8789,0.9831,0.00186,,,0,IDLE code=0,0,,4240,0,1
7.801,-0.8774,0.9823,0.00088,,,0,IDLE code=0,0,,4282,0,1
8.001,-0.8716,0.9795,0.00160,,,0,IDLE code=0,0,,4282,0,1
8.200,-0.8716,0.9803,0.00288,,,0,IDLE code=0,0,,4273,0,1
8.400,-0.8674,0.9771,0.00147,,,0,IDLE code=0,0,,4252,0,1
8.601,-0.8658,0.9754,0.00132,,,0,IDLE code=0,0,,4237,0,1
8.800,-0.8658,0.9754,0.00132,,,0,IDLE code=0,0,,4128,0,1
9.000,-0.8648,0.9739,0.00201,,,0,IDLE code=0,0,,4128,0,1
9.200,-0.8648,0.9739,0.00201,,,0,IDLE code=0,0,,4076,0,1
9.400,-0.8648,0.9739,0.00201,,,0,IDLE code=0,0,,4002,0,1
9.600,-0.8648,0.9739,0.00201,,,0,IDLE code=0,0,,4002,0,1
9.800,-0.8953,0.9790,-0.00372,,,0,IDLE code=0,0,,3929,0,1
10.001,-0.8978,0.9845,-0.00656,,,0,IDLE code=0,0,,3911,0,1
10.200,-0.9011,0.9846,0.00172,,,0,IDLE code=0,0,,3911,0,1
10.400,-0.9011,0.9846,0.00172,,,0,IDLE code=0,0,,3885,0,1
10.600,-0.9011,0.9846,0.00172,,,0,IDLE code=0,0,,3913,0,1
10.800,-0.9216,0.9999,0.00100,,,0,IDLE code=0,0,,3917,0,1
11.000,-0.9220,0.9996,0.00175,,,0,IDLE code=0,0,,3917,0,1
11.200,-0.9230,1.0039,-0.00643,,,0,IDLE code=0,0,,3917,0,1
11.400,-0.9191,0.9998,0.00108,,,0,IDLE code=0,0,,4031,0,1
11.600,-0.9191,0.9998,0.00108,,,0,IDLE code=0,0,,4038,0,1
11.800,-0.9096,1.0009,0.00050,,,0,IDLE code=0,0,,4038,0,1
12.000,-0.9069,1.0015,0.00078,,,0,IDLE code=0,0,,4110,0,1
12.200,-0.9017,0.9990,0.00166,,,0,IDLE code=0,0,,4110,0,1
12.400,-0.9017,0.9990,0.00166,,,0,IDLE code=0,0,,4110,0,1
12.600,-0.9017,0.9990,0.00166,,,0,IDLE code=0,0,,4110,0,1
12.800,-0.9017,0.9990,0.00166,,,0,IDLE code=0,0,,4249,0,1
13.000,-0.8651,0.9927,0.00088,,,0,IDLE code=0,0,,4249,0,1
13.200,-0.8633,0.9912,0.00017,,,0,IDLE code=0,0,,4238,0,1
13.400,-0.8543,0.9852,0.00131,,,0,IDLE code=0,0,,4221,0,1
13.600,-0.8566,0.9824,-0.00341,,,0,IDLE code=0,0,,4194,0,1
13.800,-0.8563,0.9795,-0.00285,,,0,IDLE code=0,0,,4110,0,1
14.000,-0.8575,0.9785,0.00140,,,0,IDLE code=0,0,,4051,0,1
14.200,-0.8588,0.9770,0.00053,,,0,IDLE code=0,0,,4051,0,1
14.400,-0.8588,0.9770,0.00053,,,0,IDLE code=0,0,,3941,0,1
14.600,-0.8761,0.9785,-0.00811,,,0,IDLE code=0,0,,3921,0,1
14.800,-0.8883,0.9780,-0.00749,,,0,IDLE code=0,0,,3920,0,1
15.000,-0.8907,0.9805,0.00076,,,0,IDLE code=0,0,,3920,0,1
15.200,-0.8907,0.9805,0.00076,,,0,IDLE code=0,0,,3920,0,1
15.400,-0.9080,0.9786,-0.00251,,,0,IDLE code=0,0,,3903,0,1
15.601,-0.9208,0.9875,0.00118,,,0,IDLE code=0,0,,3901,0,1
15.800,-0.9240,0.9909,0.00152,,,0,IDLE code=0,0,,3901,0,1
16.000,-0.9261,0.9922,-0.00721,,,0,IDLE code=0,0,,4020,0,1
16.208,-0.9260,0.9908,-0.00492,,,0,IDLE code=0,0,,4044,0,1
16.400,-0.9242,0.9915,-0.00395,,,0,IDLE code=0,0,,4044,0,1
16.600,-0.9200,0.9895,0.00024,,,0,IDLE code=0,0,,4064,0,1
16.801,-0.9171,0.9890,0.00064,,,0,IDLE code=0,0,,4064,0,1
17.000,-0.9152,0.9884,0.00090,,,0,IDLE code=0,0,,4173,0,1
17.201,-0.9071,0.9903,0.00100,,,0,IDLE code=0,0,,4173,0,1
17.400,-0.8968,0.9900,-0.00177,,,0,IDLE code=0,0,,4229,0,1
17.601,-0.8848,0.9868,0.00070,,,0,IDLE code=0,0,,4214,0,1
17.800,-0.8775,0.9848,0.00159,,,0,IDLE code=0,0,,4160,0,1
18.000,-0.8775,0.9848,0.00159,,,0,IDLE code=0,0,,4160,0,1
18.200,-0.8706,0.9892,-0.00243,,,0,IDLE code=0,0,,4134,0,1
18.400,-0.8631,0.9850,-0.00329,,,0,IDLE code=0,0,,4128,0,1
18.600,-0.8613,0.9854,0.00108,,,0,IDLE code=0,0,,4128,0,1
18.800,-0.8634,0.9853,0.00184,,,0,IDLE code=0,0,,4078,0,1
19.000,-0.8660,0.9854,0.00076,,,0,IDLE code=0,0,,4056,0,1
19.200,-0.8700,0.9856,0.00130,,,0,IDLE code=0,0,,4056,0,1
19.400,-0.8700,0.9856,0.00130,,,0,IDLE code=0,0,,4056,0,1
19.600,-0.8700,0.9856,0.00130,,,0,IDLE code=0,0,,4056,0,1
19.800,-0.9010,0.9938,0.00117,,,0,IDLE code=0,0,,3913,0,1
20.000,-0.9010,0.9938,0.00117,,,0,IDLE code=0,0,,3913,0,1
20.200,-0.9010,0.9938,0.00117,,,0,IDLE code=0,0,,4018,0,1
20.400,-0.9010,0.9938,0.00117,,,0,IDLE code=0,0,,4091,0,1
20.600,-0.9479,0.9976,-0.00719,,,0,IDLE code=0,0,,4102,0,1
20.800,-0.9470,0.9970,-0.00671,,,0,IDLE code=0,0,,4094,0,1
21.001,-0.9459,0.9957,-0.00680,,,0,IDLE code=0,0,,4063,0,1
21.206,-0.9412,0.9927,-0.00159,,,0,IDLE code=0,0,,4119,0,1
21.400,-0.9397,0.9915,0.00103,,,0,IDLE code=0,0,,4198,0,1
21.600,-0.9397,0.9915,0.00103,,,0,IDLE code=0,0,,4198,0,1
21.800,-0.9090,0.9883,0.00191,,,0,IDLE code=0,0,,4274,0,1
22.000,-0.9090,0.9883,0.00191,,,0,IDLE code=0,0,,4274,0,1
22.200,-0.9119,0.9961,0.00347,,,0,IDLE code=0,0,,4303,0,1
22.400,-0.8752,0.9854,0.00069,,,0,IDLE code=0,0,,4262,0,1
22.600,-0.8675,0.9809,0.00209,,,0,IDLE code=0,0,,4117,0,1
22.800,-0.8649,0.9871,-0.00455,,,0,IDLE code=0,0,,4117,0,1
23.003,-0.8564,0.9787,0.00139,,,0,IDLE code=0,0,,4005,0,1
23.200,-0.8529,0.9783,0.00143,,,0,IDLE code=0,0,,4005,0,1
23.400,-0.8536,0.9790,0.00106,,,0,IDLE code=0,0,,3952,0,1
23.601,-0.8557,0.9798,0.00228,,,0,IDLE code=0,0,,3974,0,1
23.801,-0.8605,0.9812,-0.00677,,,0,IDLE code=0,0,,4027,0,1
24.000,-0.8615,0.9811,0.00011,,,0,IDLE code=0,0,,4043,0,1
24.200,-0.8615,0.9811,0.00011,,,0,IDLE code=0,0,,4043,0,1
24.400,-0.8615,0.9811,0.00011,,,0,IDLE code=0,0,,3903,0,1
24.600,-0.9190,1.0108,-0.00069,,,0,IDLE code=0,0,,4008,0,1
24.801,-0.9360,1.0200,0.00075,,,0,IDLE code=0,0,,3990,0,1
25.000,-0.9397,1.0221,0.00044,,,0,IDLE code=0,0,,3990,0,1
25.200,-0.9397,1.0221,0.00044,,,0,IDLE code=0,0,,3990,0,1
25.400,-0.9397,1.0221,0.00044,,,0,IDLE code=0,0,,4246,0,1
25.600,-0.9637,1.0178,-0.00699,,,0,IDLE code=0,0,,4186,0,1
25.800,-0.9608,1.0128,0.00011,,,0,IDLE code=0,0,,4186,0,1
26.000,-0.9586,1.0115,-0.00055,,,0,IDLE code=0,0,,4155,0,1
26.200,-0.9526,1.0083,0.00101,,,0,IDLE code=0,0,,4178,0,1
26.400,-0.9470,1.0071,0.00095,,,0,IDLE code=0,0,,4178,0,1
26.600,-0.9392,1.0041,0.00117,,,0,IDLE code=0,0,,4178,0,1
26.800,-0.9392,1.0041,0.00117,,,0,IDLE code=0,0,,4284,0,1
27.008,-0.9170,0.9965,0.00059,,,0,IDLE code=0,0,,4213,0,1
27.200,-0.9045,0.9874,-0.00049,,,0,IDLE code=0,0,,4197,0,1
27.400,-0.8951,0.9829,0.00138,,,0,IDLE code=0,0,,4204,0,1
27.600,-0.8849,0.9775,0.00161,,,0,IDLE code=0,0,,4170,0,1
27.800,-0.8792,0.9752,0.00186,,,0,IDLE code=0,0,,4170,0,1
28.000,-0.8792,0.9752,0.00186,,,0,IDLE code=0,0,,4170,0,1
28.200,-0.8778,0.9792,-0.00007,,,0,IDLE code=0,0,,4170,0,1
28.400,-0.8727,0.9771,0.00173,,,0,IDLE code=0,0,,3935,0,1
28.600,-0.8767,0.9802,-0.00700,,,0,IDLE code=0,0,,3966,0,1
28.810,-0.8784,0.9807,0.00102,,,0,IDLE code=0,0,,4013,0,1
29.000,-0.8844,0.9818,-0.00559,,,0,IDLE code=0,0,,4013,0,1
29.200,-0.8854,0.9839,0.00079,,,0,IDLE code=0,0,,4013,0,1
29.400,-0.8854,0.9839,0.00079,,,0,IDLE code=0,0,,4013,0,1
29.600,-0.8854,0.9839,0.00079,,,0,IDLE code=0,0,,4020,0,1
29.800,-0.9377,1.0219,0.00020,,,0,IDLE code=0,0,,3973,0,1
30.000,-0.9564,1.0339,-0.00713,,,0,IDLE code=0,0,,3958,0,1
30.200,-0.9636,1.0409,-0.00918,,,0,IDLE code=0,0,,3958,0,1
30.400,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4178,0,1
30.600,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4178,0,1
30.800,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4178,0,1
31.000,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4178,0,1
31.200,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4178,0,1
31.400,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4284,0,1
31.600,-0.9657,1.0430,0.00010,,,0,IDLE code=0,0,,4284,0,1
31.800,-1.0538,1.0158,-0.00204,,,0,IDLE code=0,0,,4292,0,1
32.000,-0.9650,0.9906,0.00106,,,0,IDLE code=0,0,,4250,0,1
32.200,-0.9602,0.9793,0.00118,,,0,IDLE code=0,0,,4250,0,1
32.400,-0.9602,0.9793,0.00118,,,0,IDLE code=0,0,,4182,0,1
32.600,-0.9348,0.9809,0.00003,,,0,IDLE code=0,0,,4185,0,1
32.800,-0.9227,0.9763,0.00205,,,0,IDLE code=0,0,,4105,0,1
