wall_time,t,event,detail
2026-08-30T11:27:42+0800,0.000,recorder_started,prefix=report3/data/static_obstacle_20260830_final
2026-08-30T11:28:52+0800,70.588,goal_received,frame=camera_init; x=10.000; y=8.000
2026-08-30T11:28:52+0800,70.593,plan_received,id=1; source=/unsmoothed_plan; points=19; frame=camera_init
2026-08-30T11:28:52+0800,70.594,plan_received,id=2; source=/plan; points=19; frame=camera_init
2026-08-30T11:28:52+0800,70.611,plan_received,id=3; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:52+0800,70.711,plan_received,id=4; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,70.811,plan_received,id=5; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,70.911,plan_received,id=6; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.011,plan_received,id=7; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.111,plan_received,id=8; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.211,plan_received,id=9; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.311,plan_received,id=10; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.411,plan_received,id=11; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.511,plan_received,id=12; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.611,plan_received,id=13; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:53+0800,71.711,plan_received,id=14; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,71.811,plan_received,id=15; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,71.911,plan_received,id=16; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.011,plan_received,id=17; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.111,plan_received,id=18; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.211,plan_received,id=19; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.311,plan_received,id=20; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.411,plan_received,id=21; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.511,plan_received,id=22; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.611,plan_received,id=23; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:54+0800,72.711,plan_received,id=24; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,72.811,plan_received,id=25; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,72.911,plan_received,id=26; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.011,plan_received,id=27; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.111,plan_received,id=28; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.211,plan_received,id=29; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.311,plan_received,id=30; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.411,plan_received,id=31; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.512,plan_received,id=32; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.611,plan_received,id=33; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:55+0800,73.712,plan_received,id=34; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,73.811,plan_received,id=35; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,73.911,plan_received,id=36; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.011,plan_received,id=37; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.111,plan_received,id=38; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.210,plan_received,id=39; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.311,plan_received,id=40; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.411,plan_received,id=41; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.511,plan_received,id=42; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.611,plan_received,id=43; source=/received_global_plan; points=19; frame=wamv/wamv/base_link
2026-08-30T11:28:56+0800,74.622,plan_received,id=44; source=/unsmoothed_plan; points=20; frame=camera_init
2026-08-30T11:28:56+0800,74.623,plan_received,id=45; source=/plan; points=20; frame=camera_init
2026-08-30T11:28:56+0800,74.712,plan_received,id=46; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,74.811,plan_received,id=47; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,74.911,plan_received,id=48; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.011,plan_received,id=49; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.111,plan_received,id=50; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.211,plan_received,id=51; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.311,plan_received,id=52; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.411,plan_received,id=53; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.513,plan_received,id=54; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.611,plan_received,id=55; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:57+0800,75.711,plan_received,id=56; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,75.813,plan_received,id=57; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,75.911,plan_received,id=58; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.011,plan_received,id=59; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.111,plan_received,id=60; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.211,plan_received,id=61; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.311,plan_received,id=62; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.411,plan_received,id=63; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.511,plan_received,id=64; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.611,plan_received,id=65; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:58+0800,76.711,plan_received,id=66; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,76.811,plan_received,id=67; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,76.911,plan_received,id=68; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.011,plan_received,id=69; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.111,plan_received,id=70; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.211,plan_received,id=71; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.312,plan_received,id=72; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.411,plan_received,id=73; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.511,plan_received,id=74; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.611,plan_received,id=75; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:28:59+0800,77.711,plan_received,id=76; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,77.811,plan_received,id=77; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,77.912,plan_received,id=78; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.011,plan_received,id=79; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.111,plan_received,id=80; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.211,plan_received,id=81; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.311,plan_received,id=82; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.411,plan_received,id=83; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.512,plan_received,id=84; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.611,plan_received,id=85; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:00+0800,78.652,plan_received,id=86; source=/plan; points=20; frame=camera_init
2026-08-30T11:29:00+0800,78.653,plan_received,id=87; source=/unsmoothed_plan; points=20; frame=camera_init
2026-08-30T11:29:00+0800,78.711,plan_received,id=88; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,78.811,plan_received,id=89; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,78.911,plan_received,id=90; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.013,plan_received,id=91; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.111,plan_received,id=92; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.211,plan_received,id=93; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.311,plan_received,id=94; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.411,plan_received,id=95; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.511,plan_received,id=96; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.611,plan_received,id=97; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:01+0800,79.712,plan_received,id=98; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,79.811,plan_received,id=99; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,79.911,plan_received,id=100; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.011,plan_received,id=101; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.271,plan_received,id=102; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.272,plan_received,id=103; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.371,plan_received,id=104; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.472,plan_received,id=105; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.571,plan_received,id=106; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:02+0800,80.671,plan_received,id=107; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
2026-08-30T11:29:03+0800,80.772,plan_received,id=108; source=/received_global_plan; points=20; frame=wamv/wamv/base_link
