t,source,point_index,x,y,z
4.005,raw,0,4.8737,2.1522,0.9097
4.005,raw,80,4.2760,3.0548,0.9152
4.005,raw,160,4.3399,2.9675,1.0293
4.005,raw,240,4.4664,2.7273,1.1470
4.005,raw,320,-5.4927,-8.3716,0.5846
4.005,raw,400,4.7374,2.3566,1.2533
4.005,raw,480,-6.7648,-8.1785,0.7725
4.005,raw,560,-5.1437,-10.4990,0.6819
4.005,raw,640,4.8169,2.2000,1.3648
4.005,raw,720,4.2386,3.1114,1.3641
4.005,raw,800,-6.5720,-10.4439,0.9186
4.005,raw,880,-4.5874,-13.3986,0.8005
4.005,raw,960,4.7187,2.3619,1.4765
4.005,raw,1040,-10.5920,-5.6641,1.2265
4.005,raw,1120,-9.3451,-8.3763,1.2046
4.005,raw,1200,-7.7251,-11.2079,1.1600
4.005,raw,1280,-5.5967,-14.3844,1.0819
4.005,raw,1360,-3.8990,-25.5185,0.6150
4.005,raw,1440,22.2824,9.6559,0.7219
4.005,raw,1520,4.3476,2.9396,1.5866
4.005,raw,1600,-16.3465,13.5348,0.8164
4.005,raw,1680,-15.3001,0.0753,1.4491
4.005,raw,1760,-14.2447,-3.3987,1.4633
4.005,raw,1840,-12.8432,-6.5856,1.4685
4.005,raw,1920,-11.2855,-9.7430,1.4591
4.005,raw,2000,-9.6086,-13.3614,1.4268
4.005,raw,2080,-8.8557,-21.1639,1.2860
4.005,raw,2160,-4.9017,-28.7868,1.1505
4.005,raw,2240,1.9679,-32.5055,1.0793
4.005,raw,2320,4.6079,2.5311,1.6968
4.005,raw,2400,-21.8460,20.3203,1.1337
4.005,raw,2480,-18.7823,10.7818,1.3119
4.005,raw,2560,-16.9401,5.0315,1.3981
4.005,raw,2640,-15.5214,0.8157,1.4439
4.005,raw,2720,-31.7793,-6.7784,1.8449
4.005,raw,2800,-27.9811,-13.3305,1.8428
4.005,raw,2880,-24.3216,-19.6169,1.8431
4.005,raw,2960,-20.4470,-26.3913,1.8459
4.005,raw,3040,4.5148,2.6628,1.8063
4.005,raw,3120,-17.7043,-3.4488,2.2621
4.005,raw,3200,-13.9219,-8.0333,2.2127
4.005,raw,3280,4.3421,2.9186,1.9157
4.005,raw,3360,4.6876,2.3755,2.0251
4.005,raw,3440,-25.9877,-14.2144,3.9669
4.005,raw,3520,-18.2515,-3.7811,3.6350
4.005,raw,3600,-16.9661,-8.2065,3.6531
4.005,raw,3680,-16.0067,-1.7002,3.7881
4.005,raw,3760,-14.6640,-5.5121,3.7363
5.162,raw,0,4.8452,2.1895,0.9096
5.162,raw,80,4.2556,3.0984,0.9135
5.162,raw,160,4.3150,2.9906,1.0304
5.162,raw,240,4.7170,2.3676,1.1421
5.162,raw,320,-5.9043,-7.1156,0.6673
5.162,raw,400,-4.5351,-9.2497,0.5548
5.162,raw,480,4.4855,2.7317,1.2556
5.162,raw,560,-6.0376,-8.6989,0.7764
5.162,raw,640,-4.3481,-11.1317,0.6592
5.162,raw,720,4.6154,2.5272,1.3662
5.162,raw,800,-7.4569,-8.3560,0.9921
5.162,raw,880,-4.1180,-7.9165,1.1552
5.162,raw,960,-3.9544,-14.6928,0.7281
5.162,raw,1040,4.5349,2.6674,1.4764
5.162,raw,1120,-9.9336,-5.8380,1.2494
5.162,raw,1200,-8.7571,-8.5094,1.2203
5.162,raw,1280,-7.1244,-11.2853,1.1721
5.162,raw,1360,-5.2031,-15.0940,1.0574
5.162,raw,1440,-2.9181,-26.1687,0.5909
5.162,raw,1520,4.6990,2.3734,1.5868
5.162,raw,1600,-16.5378,21.1189,0.5689
5.162,raw,1680,-14.5805,11.8308,0.9298
5.162,raw,1760,-13.3847,-0.0622,1.4920
5.162,raw,1840,-12.3968,-3.0934,1.5050
5.162,raw,1920,-11.3864,-6.0008,1.5032
5.162,raw,2000,-10.1672,-8.9907,1.4886
5.162,raw,2080,-8.7787,-12.5293,1.4521
5.162,raw,2160,-8.5961,-21.2299,1.2863
5.162,raw,2240,-4.5865,-29.0332,1.1457
5.162,raw,2320,2.4176,-33.2981,1.0604
5.162,raw,2400,4.4519,2.7902,1.6966
5.162,raw,2480,-19.4526,18.6420,1.1988
5.162,raw,2560,-15.9680,9.5322,1.3806
5.162,raw,2640,-14.9450,4.7179,1.4432
5.162,raw,2720,-13.7251,0.9596,1.4841
5.162,raw,2800,-24.9027,-4.2477,1.8350
5.162,raw,2880,-23.8866,-10.2175,1.8360
5.162,raw,2960,-22.8337,-16.9498,1.8393
5.162,raw,3040,-20.0935,-23.9034,1.8430
5.162,raw,3120,4.7334,2.3611,1.8064
5.162,raw,3200,-26.9705,20.9954,1.8468
5.162,raw,3280,-28.6545,12.6331,1.8430
5.162,raw,3360,-26.5971,4.9214,1.8374
5.162,raw,3440,-32.0227,-4.1394,2.6146
5.162,raw,3520,4.6098,2.5395,1.9161
5.162,raw,3600,-25.9871,-14.1183,3.2543
5.162,raw,3680,4.3754,2.8846,2.0256
5.162,raw,3760,4.6345,2.5071,2.1366
5.162,raw,3840,-16.4918,-0.0640,3.8304
5.162,raw,3920,-15.1652,-3.7415,3.7293
5.162,raw,4000,-14.0548,-7.4842,3.7640
6.623,raw,0,4.7833,2.2338,0.9103
6.623,raw,80,4.1920,3.1409,0.9138
6.623,raw,160,4.2563,3.0538,1.0280
6.623,raw,240,-4.2761,-7.4280,0.5387
6.623,raw,320,4.4046,2.8114,1.1437
6.623,raw,400,-5.0425,-7.5649,0.6902
6.623,raw,480,-3.5038,-9.5386,0.5756
6.623,raw,560,4.4206,2.7897,1.2551
6.623,raw,640,-5.6884,-8.2592,0.8290
6.623,raw,720,-4.0008,-10.3947,0.7341
6.623,raw,800,4.7304,2.3289,1.3628
6.623,raw,880,-7.4077,-7.2847,1.0479
6.623,raw,960,-5.9485,-9.5808,0.9911
6.623,raw,1040,-4.0796,-12.2276,0.8859
6.623,raw,1120,-1.7184,-17.6699,0.5575
6.623,raw,1200,4.2310,3.0684,1.4760
6.623,raw,1280,-8.9885,-6.8625,1.2611
6.623,raw,1360,-7.5524,-9.3429,1.2313
6.623,raw,1440,-5.7128,-12.0015,1.1767
6.623,raw,1520,-3.6538,-16.6787,1.0089
6.623,raw,1600,0.1954,-25.7369,0.6196
6.623,raw,1680,4.6543,2.4113,1.5864
6.623,raw,1760,-17.9895,20.0915,0.5632
6.623,raw,1840,-11.1366,8.0252,1.1609
6.623,raw,1920,-8.2733,-0.5187,1.6054
6.623,raw,2000,-11.8067,-3.7656,1.5143
6.623,raw,2080,-10.6312,-6.5015,1.5130
6.623,raw,2160,-9.2213,-9.2644,1.5004
6.623,raw,2240,-7.4255,-12.1971,1.4752
6.623,raw,2320,-7.2239,-21.6841,1.2878
6.623,raw,2400,-2.5536,-27.5746,1.1835
6.623,raw,2480,4.2846,-31.1023,1.1044
6.623,raw,2560,4.4800,2.6998,1.6966
6.623,raw,2640,-21.3162,19.0506,1.1633
6.623,raw,2720,-17.3548,9.5536,1.3548
6.623,raw,2800,-15.2903,4.2721,1.4397
6.623,raw,2880,-13.6277,0.5127,1.4878
6.623,raw,2960,-17.0446,-3.4488,1.8243
6.623,raw,3040,-15.3778,-7.1823,1.8237
6.623,raw,3120,-12.8096,-10.2444,1.8229
6.623,raw,3200,-10.9123,-14.0448,1.8247
6.623,raw,3280,-9.7162,-21.1850,1.8321
6.623,raw,3360,-6.7295,-32.7546,1.8457
6.623,raw,3440,0.9823,-34.3838,1.8469
6.623,raw,3520,4.2306,3.0681,1.8064
6.623,raw,3600,-31.8651,-3.2777,2.6070
6.623,raw,3680,-29.2778,-18.6457,2.6735
6.623,raw,3760,4.3528,2.8738,1.9159
6.623,raw,3840,4.6988,2.3432,2.0267
6.623,raw,3920,-16.0160,-1.9156,2.9957
6.623,raw,4000,4.3343,2.8936,2.1353
6.623,raw,4080,-16.2036,-1.2104,3.7970
6.623,raw,4160,-14.0098,-7.6993,3.7677
7.950,raw,0,4.8313,2.0990,0.9112
7.950,raw,80,4.2576,3.0183,0.9113
7.950,raw,160,4.3100,2.9047,1.0300
7.950,raw,240,-4.3777,-7.6207,0.5189
7.950,raw,320,4.3479,2.8323,1.1442
7.950,raw,400,-4.9390,-8.1785,0.6466
7.950,raw,480,-3.2359,-10.0794,0.5393
7.950,raw,560,4.3413,2.8441,1.2555
7.950,raw,640,-5.4985,-8.9615,0.7924
7.950,raw,720,-3.6446,-11.0743,0.6965
7.950,raw,800,4.6495,2.3549,1.3668
7.950,raw,880,-7.5025,-8.0688,1.0089
7.950,raw,960,-4.3347,-7.9024,1.1539
7.950,raw,1040,-3.7902,-13.0342,0.8466
7.950,raw,1120,4.8115,2.1196,1.4747
7.950,raw,1200,4.2416,3.0403,1.4740
7.950,raw,1280,-9.2860,-7.4473,1.2359
7.950,raw,1360,-7.6258,-9.8757,1.2134
7.950,raw,1440,-5.6903,-12.5913,1.1570
7.950,raw,1520,-3.6027,-17.8268,0.9634
7.950,raw,1600,0.5969,-25.3953,0.6406
7.950,raw,1680,4.3565,2.8219,1.5869
7.950,raw,1760,-11.0352,7.9768,1.1613
7.950,raw,1840,-8.2460,-0.5818,1.6051
7.950,raw,1920,-13.3749,-4.3045,1.4776
7.950,raw,2000,-11.2762,-6.9320,1.4964
7.950,raw,2080,-9.5840,-9.6540,1.4898
7.950,raw,2160,-7.6308,-12.5287,1.4682
7.950,raw,2240,-7.1191,-21.2028,1.3007
7.950,raw,2320,-2.6085,-27.0204,1.1979
7.950,raw,2400,3.9858,-29.9707,1.1326
7.950,raw,2480,4.6493,2.3857,1.6964
7.950,raw,2560,-25.8006,10.5040,1.1743
7.950,raw,2640,-19.0992,2.9817,1.3614
7.950,raw,2720,-34.1027,-4.9352,1.8475
7.950,raw,2800,-16.1725,-6.4826,1.8244
7.950,raw,2880,-23.6995,-16.6466,1.8399
7.950,raw,2960,-18.5286,-20.9432,1.8385
7.950,raw,3040,-13.0800,-24.4625,1.8380
7.950,raw,3120,-7.5782,-28.5072,1.8403
7.950,raw,3200,-0.9618,-31.9789,1.8435
7.950,raw,3280,4.6673,2.3186,1.8063
7.950,raw,3360,-17.6159,-1.8616,2.2530
7.950,raw,3440,-15.7509,-7.2557,2.2432
7.950,raw,3520,4.5242,2.5778,1.9161
7.950,raw,3600,-19.9959,-24.0490,3.3288
7.950,raw,3680,4.2893,2.9570,2.0272
7.950,raw,3760,4.5121,2.5543,2.1344
7.950,raw,3840,-19.2414,-1.5753,3.6943
7.950,raw,3920,-17.6310,-5.8151,3.6229
7.950,raw,4000,-16.6066,0.0782,3.4366
7.950,raw,4080,-15.2193,-3.7115,3.7316
7.950,raw,4160,-14.1186,-7.4578,3.7639
8.996,raw,0,4.8492,2.0887,0.9121
8.996,raw,80,4.2626,2.9962,0.9155
8.996,raw,160,4.3213,2.9051,1.0306
8.996,raw,240,4.4752,2.6838,1.1435
8.996,raw,320,-5.4733,-8.3618,0.5929
8.996,raw,400,4.7868,2.1938,1.2526
8.996,raw,480,-6.9490,-7.9787,0.7793
8.996,raw,560,-4.1046,-8.0744,0.9299
8.996,raw,640,-3.3504,-13.0000,0.5362
8.996,raw,720,4.3540,2.8622,1.3657
8.996,raw,800,-6.8949,-9.8512,0.9425
8.996,raw,880,-4.9595,-12.4782,0.8532
8.996,raw,960,-2.7165,-17.4647,0.5686
8.996,raw,1040,4.3169,2.9187,1.4760
8.996,raw,1120,-9.9228,-7.5710,1.2087
8.996,raw,1200,-8.2935,-10.2153,1.1816
8.996,raw,1280,-6.2920,-13.0700,1.1250
8.996,raw,1360,-5.1760,-22.2868,0.7492
8.996,raw,1440,-0.0089,-26.6189,0.5849
8.996,raw,1520,4.6964,2.3141,1.5868
8.996,raw,1600,-19.1713,18.5063,0.5701
8.996,raw,1680,-15.9967,9.5840,0.9299
8.996,raw,1760,-16.1105,-2.4809,1.4273
8.996,raw,1840,-13.8551,-5.7236,1.4567
8.996,raw,1920,-12.0314,-8.7759,1.4600
8.996,raw,2000,-10.0818,-11.8648,1.4468
8.996,raw,2080,-9.5033,-18.4233,1.3351
8.996,raw,2160,-6.6946,-26.2908,1.1965
8.996,raw,2240,-0.6064,-30.0839,1.1340
8.996,raw,2320,23.9803,10.4898,1.2348
8.996,raw,2400,4.3116,2.9147,1.6965
8.996,raw,2480,-23.4326,15.3595,1.1717
8.996,raw,2560,-22.9655,8.3201,1.2493
8.996,raw,2640,-18.8854,2.1617,1.3679
8.996,raw,2720,-15.6967,-2.2265,1.8223
8.996,raw,2800,-29.7004,-11.6794,1.8440
8.996,raw,2880,-25.4443,-17.7386,1.8427
8.996,raw,2960,-21.1970,-23.7459,1.8437
8.996,raw,3040,-16.5171,-30.4422,1.8474
8.996,raw,3120,4.3097,2.9132,1.8063
8.996,raw,3200,-20.0432,-23.9681,2.5849
8.996,raw,3280,4.3186,2.9031,1.9161
8.996,raw,3360,4.6765,2.3647,2.0263
8.996,raw,3440,-25.9383,-14.3999,3.9673
8.996,raw,3520,-18.2428,-3.9820,3.6357
8.996,raw,3600,-16.9361,-8.4055,3.6552
8.996,raw,3680,-16.0944,-1.7469,3.7966
8.996,raw,3760,-14.6231,-5.7293,3.7369
10.205,raw,0,4.8241,2.1882,0.9108
10.205,raw,80,4.2470,3.1050,0.9123
