plan_id,t,source,frame_id,point_index,x,y,yaw
1,70.592,/unsmoothed_plan,camera_init,0,-0.2676,0.2890,0.00000
1,70.592,/unsmoothed_plan,camera_init,1,0.6007,0.2890,0.00000
1,70.592,/unsmoothed_plan,camera_init,2,1.4689,0.2890,0.00000
1,70.592,/unsmoothed_plan,camera_init,3,2.3371,0.2890,0.00000
1,70.592,/unsmoothed_plan,camera_init,4,3.2054,0.2890,0.00000
1,70.592,/unsmoothed_plan,camera_init,5,4.0604,0.4397,0.34907
1,70.592,/unsmoothed_plan,camera_init,6,4.8763,0.7367,0.34907
1,70.592,/unsmoothed_plan,camera_init,7,5.6282,1.1708,0.69813
1,70.592,/unsmoothed_plan,camera_init,8,6.1863,1.8359,1.04720
1,70.592,/unsmoothed_plan,camera_init,9,6.4833,2.6518,1.39626
1,70.592,/unsmoothed_plan,camera_init,10,6.6967,3.3919,1.22173
1,70.592,/unsmoothed_plan,camera_init,11,6.9325,4.1258,1.22173
1,70.592,/unsmoothed_plan,camera_init,12,7.1684,4.8598,1.22173
1,70.592,/unsmoothed_plan,camera_init,13,7.4042,5.5937,1.22173
1,70.592,/unsmoothed_plan,camera_init,14,7.6409,6.3274,1.22173
1,70.592,/unsmoothed_plan,camera_init,15,8.0033,7.0044,0.87266
1,70.592,/unsmoothed_plan,camera_init,16,8.5541,7.5394,0.52360
1,70.592,/unsmoothed_plan,camera_init,17,9.2412,7.8821,0.17453
1,70.592,/unsmoothed_plan,camera_init,18,10.0000,8.0000,0.00000
2,70.594,/plan,camera_init,0,-0.2676,0.2890,0.00000
2,70.594,/plan,camera_init,1,0.6007,0.2890,0.00000
2,70.594,/plan,camera_init,2,1.4689,0.2890,0.01565
2,70.594,/plan,camera_init,3,2.3360,0.3025,0.07194
2,70.594,/plan,camera_init,4,3.1964,0.3645,0.20049
2,70.594,/plan,camera_init,5,4.0365,0.5353,0.37308
2,70.594,/plan,camera_init,6,4.8258,0.8442,0.59708
2,70.594,/plan,camera_init,7,5.5126,1.3111,0.87307
2,70.594,/plan,camera_init,8,6.0374,1.9371,1.10526
2,70.594,/plan,camera_init,9,6.3998,2.6585,1.21086
2,70.594,/plan,camera_init,10,6.6756,3.3914,1.24283
2,70.594,/plan,camera_init,11,6.9254,4.1255,1.25398
2,70.594,/plan,camera_init,12,7.1661,4.8596,1.24156
2,70.594,/plan,camera_init,13,7.4151,5.5885,1.17370
2,70.594,/plan,camera_init,14,7.7098,6.2911,1.00114
2,70.594,/plan,camera_init,15,8.1124,6.9198,0.74284
2,70.594,/plan,camera_init,16,8.6519,7.4152,0.48841
2,70.594,/plan,camera_init,17,9.3000,7.7596,0.33084
2,70.594,/plan,camera_init,18,10.0000,8.0000,0.00000
3,70.611,/received_global_plan,wamv/wamv/base_link,0,0.0006,-0.0003,-0.00384
3,70.611,/received_global_plan,wamv/wamv/base_link,1,0.8688,-0.0036,-0.00384
3,70.611,/received_global_plan,wamv/wamv/base_link,2,1.7369,-0.0070,0.01181
3,70.611,/received_global_plan,wamv/wamv/base_link,3,2.6039,0.0033,0.06810
3,70.611,/received_global_plan,wamv/wamv/base_link,4,3.4645,0.0620,0.19666
3,70.611,/received_global_plan,wamv/wamv/base_link,5,4.3051,0.2294,0.36926
3,70.611,/received_global_plan,wamv/wamv/base_link,6,5.0956,0.5354,0.59324
3,70.611,/received_global_plan,wamv/wamv/base_link,7,5.7841,0.9996,0.86920
3,70.611,/received_global_plan,wamv/wamv/base_link,8,6.3113,1.6235,1.10136
3,70.611,/received_global_plan,wamv/wamv/base_link,9,6.6765,2.3435,1.20695
3,70.611,/received_global_plan,wamv/wamv/base_link,10,6.9552,3.0753,1.23891
3,70.611,/received_global_plan,wamv/wamv/base_link,11,7.2079,3.8084,1.25006
3,70.611,/received_global_plan,wamv/wamv/base_link,12,7.4514,4.5416,1.23764
3,70.611,/received_global_plan,wamv/wamv/base_link,13,7.7033,5.2695,1.16979
3,70.611,/received_global_plan,wamv/wamv/base_link,14,8.0007,5.9710,0.99726
3,70.611,/received_global_plan,wamv/wamv/base_link,15,8.4058,6.5981,0.73899
3,70.611,/received_global_plan,wamv/wamv/base_link,16,8.9472,7.0914,0.48458
3,70.611,/received_global_plan,wamv/wamv/base_link,17,9.5966,7.4333,0.32702
3,70.611,/received_global_plan,wamv/wamv/base_link,18,10.2974,7.6710,-0.00384
4,70.711,/received_global_plan,wamv/wamv/base_link,0,0.0084,-0.0008,0.00365
4,70.711,/received_global_plan,wamv/wamv/base_link,1,0.8766,0.0023,0.00365
4,70.711,/received_global_plan,wamv/wamv/base_link,2,1.7447,0.0055,0.01930
4,70.711,/received_global_plan,wamv/wamv/base_link,3,2.6116,0.0222,0.07559
4,70.711,/received_global_plan,wamv/wamv/base_link,4,3.4718,0.0874,0.20414
4,70.711,/received_global_plan,wamv/wamv/base_link,5,4.3111,0.2612,0.37673
4,70.711,/received_global_plan,wamv/wamv/base_link,6,5.0993,0.5730,0.60071
4,70.711,/received_global_plan,wamv/wamv/base_link,7,5.7843,1.0424,0.87667
4,70.711,/received_global_plan,wamv/wamv/base_link,8,6.3069,1.6702,1.10882
4,70.711,/received_global_plan,wamv/wamv/base_link,9,6.6667,2.3929,1.21441
4,70.711,/received_global_plan,wamv/wamv/base_link,10,6.9399,3.1268,1.24637
4,70.711,/received_global_plan,wamv/wamv/base_link,11,7.1871,3.8617,1.25753
4,70.711,/received_global_plan,wamv/wamv/base_link,12,7.4252,4.5967,1.24510
4,70.711,/received_global_plan,wamv/wamv/base_link,13,7.6716,5.3264,1.17725
4,70.711,/received_global_plan,wamv/wamv/base_link,14,7.9638,6.0301,1.00472
4,70.711,/received_global_plan,wamv/wamv/base_link,15,8.3642,6.6602,0.74645
4,70.711,/received_global_plan,wamv/wamv/base_link,16,8.9019,7.1576,0.49206
4,70.711,/received_global_plan,wamv/wamv/base_link,17,9.5488,7.5043,0.33450
4,70.711,/received_global_plan,wamv/wamv/base_link,18,10.2478,7.7473,0.00365
5,70.810,/received_global_plan,wamv/wamv/base_link,0,0.0219,-0.0220,-0.00377
