t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
1.000,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
1.201,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
1.401,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
1.600,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
1.800,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
2.000,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
2.200,-0.1583,0.1713,0.00151,,,0,IDLE code=0,0,,0,0,1
2.400,-0.1799,0.1197,0.00167,,,0,IDLE code=0,0,,0,0,1
2.600,-0.1799,0.1197,0.00167,,,0,IDLE code=0,0,,0,0,1
2.800,-0.1705,0.1090,0.00142,,,0,IDLE code=0,0,,0,0,1
3.000,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
3.200,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
3.400,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
3.600,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
3.801,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
4.000,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
4.200,-0.1690,0.1088,0.00127,,,0,IDLE code=0,0,,0,0,1
4.400,-0.1006,0.1210,-0.00064,,,0,IDLE code=0,0,,0,0,1
4.601,-0.0981,0.1184,-0.00079,,,0,IDLE code=0,0,,0,0,1
4.800,-0.0988,0.1211,-0.00083,,,0,IDLE code=0,0,,0,0,1
5.001,-0.1011,0.1244,0.00022,,,0,IDLE code=0,0,,0,0,1
5.200,-0.1011,0.1244,0.00022,,,0,IDLE code=0,0,,0,0,1
5.400,-0.1052,0.1251,-0.00220,,,0,IDLE code=0,0,,0,0,1
5.600,-0.1180,0.1496,0.00186,,,0,IDLE code=0,0,,0,0,1
5.800,-0.1215,0.1504,-0.00304,,,0,IDLE code=0,0,,0,0,1
6.000,-0.1320,0.1650,0.00201,,,0,IDLE code=0,0,,0,0,1
6.200,-0.1320,0.1650,0.00201,,,0,IDLE code=0,0,,0,0,1
6.401,-0.1320,0.1650,0.00201,,,0,IDLE code=0,0,,0,0,1
6.600,-0.1574,0.1602,-0.00307,,,0,IDLE code=0,0,,0,0,1
6.802,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
7.001,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
7.200,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
7.400,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
7.601,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
7.800,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
8.000,-0.1821,0.1921,0.00334,,,0,IDLE code=0,0,,0,0,1
8.200,-0.1749,0.1217,0.00168,,,0,IDLE code=0,0,,0,0,1
8.400,-0.1749,0.1217,0.00168,,,0,IDLE code=0,0,,0,0,1
8.600,-0.1608,0.0969,0.00036,,,0,IDLE code=0,0,,0,0,1
8.800,-0.1477,0.0854,0.00051,,,0,IDLE code=0,0,,0,0,1
9.000,-0.1399,0.0807,0.00007,,,0,IDLE code=0,0,,0,0,1
9.200,-0.1369,0.0766,-0.00014,,,0,IDLE code=0,0,,0,0,1
9.400,-0.1369,0.0766,-0.00014,,,0,IDLE code=0,0,,0,0,1
9.600,-0.1159,0.0709,-0.00069,,,0,IDLE code=0,0,,0,0,1
9.800,-0.1159,0.0709,-0.00069,,,0,IDLE code=0,0,,0,0,1
10.000,-0.1159,0.0709,-0.00069,,,0,IDLE code=0,0,,0,0,1
10.200,-0.1159,0.0709,-0.00069,,,0,IDLE code=0,0,,0,0,1
10.400,-0.1040,0.0862,-0.00176,,,0,IDLE code=0,0,,0,0,1
10.600,-0.1103,0.1161,0.00072,,,0,IDLE code=0,0,,0,0,1
10.800,-0.1159,0.1256,0.00089,,,0,IDLE code=0,0,,0,0,1
11.000,-0.1159,0.1256,0.00089,,,0,IDLE code=0,0,,0,0,1
11.200,-0.1301,0.1460,0.00216,,,0,IDLE code=0,0,,0,0,1
11.400,-0.1455,0.1628,-0.00347,,,0,IDLE code=0,0,,0,0,1
11.600,-0.1561,0.1744,-0.00339,,,0,IDLE code=0,0,,0,0,1
11.800,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
12.000,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
12.200,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
12.400,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
12.600,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
12.800,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
13.000,-0.1630,0.1886,0.00324,,,0,IDLE code=0,0,,0,0,1
13.200,-0.1873,0.1505,-0.00082,,,0,IDLE code=0,0,,0,0,1
