t,source,point_index,x,y,z
2.213,raw,0,-5.4868,-6.2862,0.5658
2.213,raw,9,-5.3499,-6.4757,0.5590
2.213,raw,19,-5.1866,-6.6776,0.5523
2.213,raw,29,-5.0439,-6.9108,0.5394
2.213,raw,39,-4.8886,-7.1361,0.5274
2.213,raw,48,-4.7545,-7.3546,0.5135
2.213,raw,58,-5.9994,-6.8396,0.6879
2.213,raw,68,-5.8311,-7.0648,0.6815
2.213,raw,78,-5.7008,-7.3414,0.6668
2.213,raw,88,-5.5316,-7.5802,0.6574
2.213,raw,97,-5.3851,-7.8098,0.6464
2.213,raw,107,-5.2227,-8.0762,0.6322
2.213,raw,117,-5.0345,-8.3161,0.6212
2.213,raw,127,-4.4315,-7.8884,0.7007
2.213,raw,137,-4.1721,-7.9822,0.7067
2.213,raw,146,-4.5130,-9.1279,0.5710
2.213,raw,156,-4.2801,-9.3411,0.5615
2.213,raw,166,-4.0802,-9.6366,0.5407
2.213,raw,176,-3.8518,-9.8928,0.5244
2.213,raw,186,-3.5933,-10.0959,0.5142
2.213,raw,195,-6.5723,-7.5915,0.8272
2.213,raw,205,-6.4381,-7.8986,0.8141
2.213,raw,215,-6.2456,-8.1472,0.8079
2.213,raw,225,-6.0956,-8.4582,0.7938
2.213,raw,235,-5.8987,-8.7194,0.7852
2.213,raw,244,-5.7150,-8.9533,0.7773
2.213,raw,254,-5.5240,-9.2439,0.7645
2.213,raw,264,-4.3346,-7.8854,0.9295
2.213,raw,274,-4.1135,-8.0436,0.9271
2.213,raw,284,-4.8880,-10.1053,0.7251
2.213,raw,293,-4.6974,-10.3983,0.7089
2.213,raw,303,-4.4312,-10.6309,0.7000
2.213,raw,313,-4.2011,-10.9638,0.6803
2.213,raw,323,-3.9578,-11.2973,0.6601
2.213,raw,333,-3.7156,-11.6721,0.6354
2.213,raw,342,-3.5349,-12.1664,0.5975
2.213,raw,352,-3.2755,-12.6059,0.5658
2.213,raw,362,-3.0089,-13.0961,0.5287
2.213,raw,372,-7.6558,-7.7617,1.0144
2.213,raw,382,-7.5139,-8.0852,1.0055
2.213,raw,391,-7.3399,-8.3359,1.0012
2.213,raw,401,-7.1830,-8.6624,0.9916
2.213,raw,411,-6.9931,-8.9618,0.9843
2.213,raw,421,-6.7905,-9.2551,0.9772
2.213,raw,431,-6.6043,-9.5815,0.9669
2.213,raw,440,-6.4129,-9.8541,0.9591
2.213,raw,450,-6.1743,-10.1298,0.9525
2.213,raw,460,-4.3973,-7.8845,1.1489
2.213,raw,470,-4.1304,-7.9637,1.1536
2.213,raw,480,-5.4797,-11.0766,0.9204
2.213,raw,489,-5.2891,-11.4332,0.9046
2.213,raw,499,-5.0516,-11.8076,0.8884
2.213,raw,509,-4.7715,-12.1179,0.8767
2.213,raw,519,-4.4808,-12.4283,0.8645
2.213,raw,529,-4.2835,-13.0274,0.8307
2.213,raw,538,-4.0668,-13.5261,0.8031
2.213,raw,548,-3.8455,-14.2301,0.7614
2.213,raw,558,-3.5682,-14.8611,0.7248
2.213,raw,568,-3.2693,-15.5345,0.6848
2.213,raw,578,-2.9437,-16.2446,0.6420
2.213,raw,587,-2.6699,-17.1599,0.5836
2.213,raw,597,-10.2234,-5.0022,1.2579
2.213,raw,607,-10.0484,-5.2970,1.2590
2.213,raw,617,-9.9757,-5.6475,1.2544
2.213,raw,626,-9.7949,-5.9008,1.2558
2.213,raw,636,-9.7018,-6.2482,1.2512
2.213,raw,646,-9.5282,-6.5491,1.2503
2.213,raw,656,-9.4393,-6.9120,1.2443
2.213,raw,666,-9.2662,-7.2211,1.2423
2.213,raw,675,-9.1721,-7.5516,1.2364
2.213,raw,685,-8.9809,-7.8561,1.2343
2.213,raw,695,-8.7925,-8.1669,1.2315
2.213,raw,705,-8.5885,-8.4683,1.2290
2.213,raw,715,-8.4575,-8.8481,1.2212
2.213,raw,724,-8.2405,-9.0975,1.2199
2.213,raw,734,-8.0521,-9.4369,1.2143
2.213,raw,744,-7.8745,-9.8005,1.2070
2.213,raw,754,-7.6771,-10.1545,1.2002
2.213,raw,764,-7.4296,-10.4560,1.1962
2.213,raw,773,-7.2510,-10.7979,1.1884
