t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
1.001,-0.1556,0.1623,0.00165,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.201,-0.1556,0.1623,0.00165,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.400,-0.1556,0.1623,0.00165,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.601,-0.1566,0.1630,0.00178,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.800,-0.1800,0.1613,-0.00247,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
2.001,-0.1967,0.1737,-0.00245,,,0,IDLE code=0; status_seq=1,0,,0,0,0,0,0.000,0,,,,
2.200,-0.1992,0.1772,0.00161,,,0,IDLE code=0; status_seq=1,0,,0,0,0,0,0.000,0,,,,
2.401,-0.2001,0.1793,0.00002,,,0,IDLE code=0; status_seq=1,0,,2939,0,0,0,0.000,0,,,,
2.601,-0.2020,0.1822,0.00048,,,0,IDLE code=0; status_seq=1,0,,2939,0,0,0,0.000,0,,,,
2.800,-0.2020,0.1827,0.00121,,,0,IDLE code=0; status_seq=1,0,,2939,0,0,0,0.000,0,,,,
3.000,-0.2020,0.1827,0.00121,,,0,IDLE code=0; status_seq=1,0,,2939,0,0,0,0.000,0,,,,
3.200,-0.1964,0.1857,0.00027,,,0,IDLE code=0; status_seq=1,0,,2939,0,0,0,0.000,0,,,,
3.401,-0.1956,0.1864,0.00087,,,0,IDLE code=0; status_seq=1,0,,2939,0,0,0,0.000,0,,,,
3.601,-0.1902,0.1883,0.00033,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
3.800,-0.1849,0.1891,0.00050,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
4.000,-0.1835,0.1888,0.00035,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
4.200,-0.1835,0.1888,0.00035,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
4.400,-0.1736,0.1927,-0.00069,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
4.601,-0.1631,0.1890,-0.00071,,,0,IDLE code=0; status_seq=1,0,,3044,0,0,0,0.000,0,,,,
4.801,-0.1603,0.1869,0.00004,,,0,IDLE code=0; status_seq=1,0,,3044,0,0,0,0.000,0,,,,
5.001,-0.1579,0.1865,0.00045,,,0,IDLE code=0; status_seq=1,0,,3044,0,0,0,0.000,0,,,,
5.200,-0.1564,0.1863,0.00016,,,0,IDLE code=0; status_seq=1,0,,3044,0,0,0,0.000,0,,,,
5.400,-0.1564,0.1863,0.00016,,,0,IDLE code=0; status_seq=1,0,,3044,0,0,0,0.000,0,,,,
5.601,-0.1564,0.1863,0.00016,,,0,IDLE code=0; status_seq=1,0,,3063,0,0,0,0.000,0,,,,
5.801,-0.1605,0.1807,0.00083,,,0,IDLE code=0; status_seq=1,0,,3063,0,0,0,0.000,0,,,,
6.000,-0.1588,0.1807,0.00072,,,0,IDLE code=0; status_seq=1,0,,3063,0,0,0,0.000,0,,,,
6.200,-0.1588,0.1807,0.00072,,,0,IDLE code=0; status_seq=1,0,,3063,0,0,0,0.000,0,,,,
6.401,-0.1646,0.1799,-0.00183,,,0,IDLE code=0; status_seq=1,0,,3063,0,0,0,0.000,0,,,,
6.601,-0.1720,0.1817,0.00147,,,0,IDLE code=0; status_seq=1,0,,3063,0,0,0,0.000,0,,,,
6.800,-0.1720,0.1817,0.00147,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
7.000,-0.1777,0.1790,-0.00275,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
7.200,-0.1835,0.1809,-0.00240,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
7.401,-0.1869,0.1814,-0.00278,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
7.600,-0.1877,0.1823,0.00158,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
7.801,-0.1877,0.1823,0.00158,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
8.001,-0.1877,0.1823,0.00158,,,0,IDLE code=0; status_seq=1,0,,2954,0,0,0,0.000,0,,,,
8.201,-0.1900,0.1799,0.00176,,,0,IDLE code=0; status_seq=1,0,,2991,0,0,0,0.000,0,,,,
8.401,-0.1911,0.1788,0.00149,,,0,IDLE code=0; status_seq=1,0,,2991,0,0,0,0.000,0,,,,
8.600,-0.1906,0.1788,0.00157,,,0,IDLE code=0; status_seq=1,0,,2991,0,0,0,0.000,0,,,,
8.801,-0.1882,0.1793,-0.00172,,,0,IDLE code=0; status_seq=1,0,,2991,0,0,0,0.000,0,,,,
9.001,-0.1864,0.1777,0.00091,,,0,IDLE code=0; status_seq=1,0,,2991,0,0,0,0.000,0,,,,
9.200,-0.1864,0.1777,0.00091,,,0,IDLE code=0; status_seq=1,0,,2991,0,0,0,0.000,0,,,,
9.400,-0.1864,0.1777,0.00091,,,0,IDLE code=0; status_seq=1,0,,4712,0,0,0,0.000,1,,,,
9.601,-0.1864,0.1777,0.00091,,,0,IDLE code=0; status_seq=1,0,,4712,0,0,0,0.000,1,,,,
9.800,-0.1864,0.1777,0.00091,,,0,IDLE code=0; status_seq=1,0,,4712,0,0,0,0.000,1,,,,
10.000,-0.1691,0.1824,-0.00112,,,0,IDLE code=0; status_seq=1,0,,4712,0,0,0,0.000,1,,,,
10.200,-0.1600,0.1723,0.00022,,,0,IDLE code=0; status_seq=1,0,,4712,0,0,0,0.000,1,,,,
10.401,-0.1600,0.1723,0.00022,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
10.600,-0.1600,0.1723,0.00022,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
10.800,-0.1600,0.1723,0.00022,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
11.001,-0.1596,0.1736,0.00086,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
11.200,-0.1563,0.1740,0.00088,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
11.400,-0.1563,0.1740,0.00088,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
11.600,-0.1589,0.1758,0.00111,,,0,IDLE code=0; status_seq=1,0,,4666,0,0,0,0.000,1,,,,
11.800,-0.1610,0.1771,0.00085,,,0,IDLE code=0; status_seq=1,0,,4569,0,0,0,0.000,1,,,,
12.000,-0.1610,0.1771,0.00085,,,0,IDLE code=0; status_seq=1,0,,4569,0,0,0,0.000,1,,,,
12.200,-0.1656,0.1797,0.00070,,,0,IDLE code=0; status_seq=1,0,,4569,0,0,0,0.000,1,,,,
12.400,-0.1662,0.1802,0.00128,,,0,IDLE code=0; status_seq=1,0,,4569,0,0,0,0.000,1,,,,
12.600,-0.1672,0.1801,-0.00228,,,0,IDLE code=0; status_seq=1,0,,4569,0,0,0,0.000,1,,,,
12.801,-0.1740,0.1851,0.00165,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
13.000,-0.1740,0.1851,0.00165,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
13.200,-0.1740,0.1851,0.00165,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
13.400,-0.1740,0.1851,0.00165,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
13.600,-0.1740,0.1851,0.00165,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
13.801,-0.1850,0.1875,0.00091,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
14.000,-0.1834,0.1877,0.00176,,,0,IDLE code=0; status_seq=1,0,,4454,0,0,0,0.000,1,,,,
14.201,-0.1839,0.1877,0.00118,,,0,IDLE code=0; status_seq=1,0,,4604,0,0,0,0.000,1,,,,
14.401,-0.1829,0.1862,0.00135,,,0,IDLE code=0; status_seq=1,0,,4604,0,0,0,0.000,1,,,,
14.600,-0.1827,0.1862,0.00146,,,0,IDLE code=0; status_seq=1,0,,4604,0,0,0,0.000,1,,,,
14.801,-0.1827,0.1862,0.00146,,,0,IDLE code=0; status_seq=1,0,,4604,0,0,0,0.000,1,,,,
15.000,-0.1827,0.1862,0.00146,,,0,IDLE code=0; status_seq=1,0,,4604,0,0,0,0.000,1,,,,
15.201,-0.1827,0.1862,0.00146,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
15.401,-0.1671,0.1755,-0.00018,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
15.600,-0.1638,0.1725,-0.00080,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
15.801,-0.1625,0.1696,-0.00080,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
16.001,-0.1609,0.1686,0.00024,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
16.200,-0.1600,0.1678,0.00026,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
16.400,-0.1589,0.1674,0.00023,,,0,IDLE code=0; status_seq=1,0,,4783,0,0,0,0.000,1,,,,
16.600,-0.1585,0.1674,0.00028,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
16.801,-0.1585,0.1674,0.00028,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
17.001,-0.1585,0.1674,0.00028,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
17.200,-0.1641,0.1681,0.00098,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
17.400,-0.1641,0.1681,0.00098,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
17.601,-0.1641,0.1681,0.00098,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
17.800,-0.1641,0.1681,0.00098,,,0,IDLE code=0; status_seq=1,0,,4695,0,0,0,0.000,1,,,,
18.001,-0.1641,0.1681,0.00098,,,0,IDLE code=0; status_seq=1,0,,4490,0,0,0,0.000,1,,,,
18.201,-0.1820,0.1804,0.00177,,,0,IDLE code=0; status_seq=1,0,,4490,0,0,0,0.000,1,,,,
18.400,-0.1820,0.1804,0.00177,,,0,IDLE code=0; status_seq=1,0,,4490,0,0,0,0.000,1,,,,
18.601,-0.1820,0.1804,0.00177,,,0,IDLE code=0; status_seq=1,0,,4490,0,0,0,0.000,1,,,,
