t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
0.201,-0.1744,0.2193,-0.00101,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
0.400,-0.1957,0.2353,-0.00313,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
0.600,-0.2043,0.2421,-0.00268,,,0,IDLE code=0; status_seq=1,0,,0,0,0,0,0.000,0,,,,
0.801,-0.2062,0.2448,0.00143,,,0,IDLE code=0; status_seq=1,0,,0,0,0,0,0.000,0,,,,
1.002,-0.2147,0.2436,0.00079,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
1.200,-0.2161,0.2445,0.00205,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
1.401,-0.2281,0.2394,-0.00272,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
1.601,-0.2284,0.2381,0.00143,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
1.800,-0.2358,0.2340,0.00105,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
2.001,-0.2358,0.2340,0.00105,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
2.201,-0.2358,0.2340,0.00105,,,0,IDLE code=0; status_seq=1,0,,2960,0,0,0,0.000,0,,,,
2.400,-0.2402,0.2211,-0.00085,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
2.601,-0.2322,0.2094,-0.00033,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
2.801,-0.2255,0.1992,0.00021,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
3.001,-0.2212,0.1905,-0.00049,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
3.201,-0.2180,0.1859,0.00395,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
3.401,-0.2135,0.1827,0.00101,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
3.601,-0.2135,0.1827,0.00101,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
3.800,-0.2135,0.1827,0.00101,,,0,IDLE code=0; status_seq=1,0,,3164,0,0,0,0.000,0,,,,
4.001,-0.1867,0.1916,0.00137,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
4.201,-0.1635,0.1686,0.00036,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
4.401,-0.1550,0.1667,0.00005,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
4.600,-0.1523,0.1650,-0.00118,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
4.800,-0.1502,0.1671,-0.00177,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
5.001,-0.1459,0.1739,-0.00094,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
5.200,-0.1456,0.1775,-0.00004,,,0,IDLE code=0; status_seq=1,0,,3089,0,0,0,0.000,0,,,,
5.400,-0.1456,0.1775,-0.00004,,,0,IDLE code=0; status_seq=1,0,,2830,0,0,0,0.000,0,,,,
5.600,-0.1500,0.1899,0.00062,,,0,IDLE code=0; status_seq=1,0,,2830,0,0,0,0.000,0,,,,
5.800,-0.1521,0.1969,-0.00152,,,0,IDLE code=0; status_seq=1,0,,2830,0,0,0,0.000,0,,,,
6.001,-0.1567,0.1992,-0.00196,,,0,IDLE code=0; status_seq=1,0,,2830,0,0,0,0.000,1,,,,
6.201,-0.1603,0.2079,0.00154,,,0,IDLE code=0; status_seq=1,0,,2830,0,0,0,0.000,1,,,,
6.400,-0.1654,0.2143,0.00087,,,0,IDLE code=0; status_seq=1,0,,2830,0,0,0,0.000,1,,,,
6.601,-0.1731,0.2223,0.00174,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
6.800,-0.1805,0.2293,0.00282,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
7.001,-0.1862,0.2330,-0.00035,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
7.201,-0.1947,0.2397,0.00147,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
7.400,-0.2027,0.2458,0.00220,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
7.600,-0.2029,0.2459,0.00233,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
7.801,-0.2142,0.2483,0.00136,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
8.000,-0.2255,0.2515,0.00092,,,0,IDLE code=0; status_seq=1,0,,4429,0,0,0,0.000,1,,,,
8.200,-0.2275,0.2526,0.00313,,,0,IDLE code=0; status_seq=1,0,,4743,0,0,0,0.000,1,,,,
8.401,-0.2337,0.2513,0.00270,,,0,IDLE code=0; status_seq=1,0,,4743,0,0,0,0.000,1,,,,
8.601,-0.2390,0.2498,0.00084,,,0,IDLE code=0; status_seq=1,0,,4743,0,0,0,0.000,1,,,,
8.801,-0.2405,0.2476,0.00109,,,0,IDLE code=0; status_seq=1,0,,4743,0,0,0,0.000,1,,,,
9.001,-0.2405,0.2476,0.00109,,,0,IDLE code=0; status_seq=1,0,,4743,0,0,0,0.000,1,,,,
9.201,-0.2405,0.2476,0.00109,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
9.400,-0.2365,0.2264,0.00027,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
9.600,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
9.800,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
10.001,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
10.200,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
10.400,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
10.600,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4919,0,0,0,0.000,1,,,,
10.800,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
11.000,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
11.201,-0.2262,0.2199,-0.00000,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
11.400,-0.1668,0.2185,-0.00012,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
11.601,-0.1527,0.1815,-0.00027,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
11.800,-0.1527,0.1815,-0.00027,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
12.000,-0.1527,0.1815,-0.00027,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
12.201,-0.1527,0.1815,-0.00027,,,0,IDLE code=0; status_seq=1,0,,4671,0,0,0,0.000,1,,,,
12.401,-0.1527,0.1815,-0.00027,,,0,IDLE code=0; status_seq=1,0,,4354,0,0,0,0.000,1,,,,
12.600,-0.1855,0.2519,-0.00040,,,0,IDLE code=0; status_seq=1,0,,4354,0,0,0,0.000,1,,,,
12.800,-0.3257,0.3020,-0.00226,,,0,IDLE code=0; status_seq=1,0,,4354,0,0,0,0.000,1,,,,
13.001,-0.3090,0.2917,-0.00038,,,0,IDLE code=0; status_seq=1,0,,4354,0,0,0,0.000,1,,,,
13.200,-0.3034,0.2981,-0.00542,,,0,IDLE code=0; status_seq=1,0,,4354,0,0,0,0.000,1,,,,
13.400,-0.3044,0.2976,0.00128,,,0,IDLE code=0; status_seq=1,0,,4439,0,0,0,0.000,1,,,,
13.600,-0.3044,0.2976,0.00128,,,0,IDLE code=0; status_seq=1,0,,4439,0,0,0,0.000,1,,,,
13.800,-0.3003,0.3118,-0.00140,,,0,IDLE code=0; status_seq=1,0,,4439,0,0,0,0.000,1,,,,
14.000,-0.3016,0.3105,0.00356,,,0,IDLE code=0; status_seq=1,0,,4439,0,0,0,0.000,1,,,,
14.200,-0.3016,0.3105,0.00356,,,0,IDLE code=0; status_seq=1,0,,4439,0,0,0,0.000,1,,,,
14.401,-0.2941,0.3100,-0.00044,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
14.601,-0.2795,0.2994,-0.00103,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
14.800,-0.2722,0.2933,-0.00079,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
15.000,-0.2661,0.2871,-0.00061,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
15.201,-0.2598,0.2847,0.00052,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
15.401,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
15.600,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4658,0,0,0,0.000,1,,,,
15.801,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4978,0,0,0,0.000,1,,,,
16.001,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4978,0,0,0,0.000,1,,,,
16.200,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4978,0,0,0,0.000,1,,,,
16.400,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4978,0,0,0,0.000,1,,,,
16.601,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4978,0,0,0,0.000,1,,,,
16.800,-0.2527,0.2742,-0.00068,,,0,IDLE code=0; status_seq=1,0,,4622,0,0,0,0.000,1,,,,
17.001,-0.1599,0.1665,-0.00055,,,0,IDLE code=0; status_seq=1,0,,4622,0,0,0,0.000,1,,,,
17.201,-0.1658,0.1687,0.00016,,,0,IDLE code=0; status_seq=1,0,,4622,0,0,0,0.000,1,,,,
17.401,-0.1657,0.1682,0.00038,,,0,IDLE code=0; status_seq=1,0,,4622,0,0,0,0.000,1,,,,
17.601,-0.1706,0.1713,-0.00106,,,0,IDLE code=0; status_seq=1,0,,4622,0,0,0,0.000,1,,,,
17.801,-0.1748,0.1753,-0.00211,,,0,IDLE code=0; status_seq=1,0,,4622,0,0,0,0.000,1,,,,
18.001,-0.1784,0.1804,-0.00212,,,0,IDLE code=0; status_seq=1,0,,4341,0,0,0,0.000,1,,,,
18.201,-0.1824,0.1847,-0.00206,,,0,IDLE code=0; status_seq=1,0,,4341,0,0,0,0.000,1,,,,
18.401,-0.1881,0.1920,-0.00212,,,0,IDLE code=0; status_seq=1,0,,4341,0,0,0,0.000,1,,,,
18.600,-0.1920,0.1957,0.00181,,,0,IDLE code=0; status_seq=1,0,,4341,0,0,0,0.000,1,,,,
18.801,-0.2079,0.2153,0.00281,,,0,IDLE code=0; status_seq=1,0,,4341,0,0,0,0.000,1,,,,
19.001,-0.2107,0.2165,0.00338,,,0,IDLE code=0; status_seq=1,0,,4341,0,0,0,0.000,1,,,,
