t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
0.401,-0.6996,0.8635,-0.00629,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
0.601,-0.6972,0.8704,-0.00113,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
0.801,-0.6972,0.8704,-0.00113,,,0,IDLE code=0,0,,0,0,0,0,0.000,0,,,,
1.001,-0.6936,0.8716,0.00094,,,0,IDLE code=0; status_seq=1,0,,3005,0,0,0,0.000,0,,,,
1.202,-0.6967,0.8747,-0.00597,,,0,IDLE code=0; status_seq=1,0,,3005,0,0,0,0.000,0,,,,
1.400,-0.6967,0.8747,-0.00597,,,0,IDLE code=0; status_seq=1,0,,3005,0,0,0,0.000,0,,,,
1.600,-0.6903,0.8731,-0.00037,,,0,IDLE code=0; status_seq=1,0,,3005,0,0,0,0.000,0,,,,
1.800,-0.6873,0.8726,-0.00049,,,0,IDLE code=0; status_seq=1,0,,3005,0,0,0,0.000,0,,,,
2.001,-0.6863,0.8715,-0.00051,,,0,IDLE code=0; status_seq=1,0,,3116,0,0,0,0.000,0,,,,
2.483,-0.6868,0.8722,-0.00514,,,0,IDLE code=0; status_seq=1,0,,3116,0,0,0,0.000,0,,,,
2.600,-0.6827,0.8707,-0.00093,,,0,IDLE code=0; status_seq=1,0,,3116,0,0,0,0.000,0,,,,
2.800,-0.6847,0.8710,-0.00717,,,0,IDLE code=0; status_seq=1,0,,3116,0,0,0,0.000,0,,,,
3.001,-0.6806,0.8707,-0.00115,,,0,IDLE code=0; status_seq=1,0,,3116,0,0,0,0.000,0,,,,
3.200,-0.6806,0.8707,-0.00115,,,0,IDLE code=0; status_seq=1,0,,3116,0,0,0,0.000,0,,,,
3.400,-0.6822,0.8731,-0.00534,,,0,IDLE code=0; status_seq=1,0,,3156,0,0,0,0.000,0,,,,
3.601,-0.6765,0.8697,-0.00042,,,0,IDLE code=0; status_seq=1,0,,3156,0,0,0,0.000,0,,,,
3.800,-0.6765,0.8697,-0.00042,,,0,IDLE code=0; status_seq=1,0,,3156,0,0,0,0.000,0,,,,
4.001,-0.6765,0.8697,-0.00042,,,0,IDLE code=0; status_seq=1,0,,3156,0,0,0,0.000,0,,,,
4.200,-0.6765,0.8697,-0.00042,,,0,IDLE code=0; status_seq=1,0,,3156,0,0,0,0.000,0,,,,
4.401,-0.6870,0.8775,-0.00257,,,0,IDLE code=0; status_seq=1,0,,3023,0,0,0,0.000,0,,,,
4.600,-0.6861,0.8734,-0.00204,,,0,IDLE code=0; status_seq=1,0,,3023,0,0,0,0.000,0,,,,
4.801,-0.6862,0.8715,-0.00858,,,0,IDLE code=0; status_seq=1,0,,3023,0,0,0,0.000,0,,,,
5.001,-0.6836,0.8687,-0.00146,,,0,IDLE code=0; status_seq=1,0,,3023,0,0,0,0.000,0,,,,
