plan_id,t,source,frame_id,point_index,x,y,yaw
1,35.246,/unsmoothed_plan,camera_init,0,-0.1831,0.1930,0.00000
1,35.246,/unsmoothed_plan,camera_init,1,0.6720,0.0422,-0.34907
1,35.246,/unsmoothed_plan,camera_init,2,1.4239,-0.3919,-0.69813
1,35.246,/unsmoothed_plan,camera_init,3,1.9820,-1.0570,-1.04720
1,35.246,/unsmoothed_plan,camera_init,4,2.2789,-1.8729,-1.39626
1,35.246,/unsmoothed_plan,camera_init,5,2.5152,-2.5772,-1.22173
1,35.246,/unsmoothed_plan,camera_init,6,2.9480,-3.1810,-0.87266
1,35.246,/unsmoothed_plan,camera_init,7,3.5391,-3.6310,-0.52360
1,35.246,/unsmoothed_plan,camera_init,8,4.2364,-3.8874,-0.34907
1,35.246,/unsmoothed_plan,camera_init,9,4.9782,-3.9275,0.00000
1,35.246,/unsmoothed_plan,camera_init,10,5.6991,-3.7479,0.34907
1,35.246,/unsmoothed_plan,camera_init,11,6.3353,-3.3644,0.52360
1,35.246,/unsmoothed_plan,camera_init,12,6.8308,-2.8109,0.87266
1,35.246,/unsmoothed_plan,camera_init,13,7.2334,-2.1832,0.87266
1,35.246,/unsmoothed_plan,camera_init,14,7.6358,-1.5555,0.87266
1,35.246,/unsmoothed_plan,camera_init,15,8.0498,-0.9358,0.87266
1,35.246,/unsmoothed_plan,camera_init,16,8.5956,-0.4318,0.52360
1,35.246,/unsmoothed_plan,camera_init,17,9.2654,-0.1104,0.17453
1,35.246,/unsmoothed_plan,camera_init,18,10.0000,0.0000,0.00000
2,35.247,/plan,camera_init,0,-0.1831,0.1930,-0.61257
2,35.247,/plan,camera_init,1,0.4564,-0.2564,-0.65886
2,35.247,/plan,camera_init,2,1.0685,-0.7304,-0.72371
2,35.247,/plan,camera_init,3,1.6378,-1.2335,-0.76759
2,35.247,/plan,camera_init,4,2.1684,-1.7455,-0.75449
2,35.247,/plan,camera_init,5,2.6832,-2.2294,-0.66814
2,35.247,/plan,camera_init,6,3.2097,-2.6449,-0.51187
2,35.247,/plan,camera_init,7,3.7641,-2.9564,-0.30126
2,35.247,/plan,camera_init,8,4.3465,-3.1374,-0.06051
2,35.247,/plan,camera_init,9,4.9442,-3.1736,0.18112
2,35.247,/plan,camera_init,10,5.5388,-3.0647,0.39546
2,35.247,/plan,camera_init,11,6.1143,-2.8244,0.56101
2,35.247,/plan,camera_init,12,6.6639,-2.4791,0.66558
2,35.247,/plan,camera_init,13,7.1931,-2.0636,0.70795
2,35.247,/plan,camera_init,14,7.7167,-1.6154,0.69605
2,35.247,/plan,camera_init,15,8.2519,-1.1683,0.64531
2,35.247,/plan,camera_init,16,8.8114,-0.7470,0.58261
2,35.247,/plan,camera_init,17,9.3973,-0.3610,0.53965
2,35.247,/plan,camera_init,18,10.0000,0.0000,0.00000
3,35.265,/received_global_plan,wamv/wamv/base_link,0,0.0010,-0.0020,-0.60819
3,35.265,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4486,-0.65448
3,35.265,/received_global_plan,wamv/wamv/base_link,2,1.2566,-0.9199,-0.71934
3,35.265,/received_global_plan,wamv/wamv/base_link,3,1.8281,-1.4204,-0.76321
3,35.265,/received_global_plan,wamv/wamv/base_link,4,2.3609,-1.9301,-0.75011
3,35.265,/received_global_plan,wamv/wamv/base_link,5,2.8778,-2.4117,-0.66376
3,35.265,/received_global_plan,wamv/wamv/base_link,6,3.4061,-2.8249,-0.50749
3,35.265,/received_global_plan,wamv/wamv/base_link,7,3.9618,-3.1340,-0.29687
3,35.265,/received_global_plan,wamv/wamv/base_link,8,4.5450,-3.3123,-0.05610
3,35.265,/received_global_plan,wamv/wamv/base_link,9,5.1428,-3.3459,0.18554
3,35.265,/received_global_plan,wamv/wamv/base_link,10,5.7368,-3.2344,0.39989
3,35.265,/received_global_plan,wamv/wamv/base_link,11,6.3112,-2.9916,0.56545
3,35.265,/received_global_plan,wamv/wamv/base_link,12,6.8593,-2.6439,0.67002
3,35.265,/received_global_plan,wamv/wamv/base_link,13,7.3866,-2.2260,0.71239
3,35.265,/received_global_plan,wamv/wamv/base_link,14,7.9082,-1.7755,0.70050
3,35.265,/received_global_plan,wamv/wamv/base_link,15,8.4413,-1.3260,0.64976
3,35.265,/received_global_plan,wamv/wamv/base_link,16,8.9990,-0.9024,0.58706
3,35.265,/received_global_plan,wamv/wamv/base_link,17,9.5831,-0.5137,0.54410
3,35.265,/received_global_plan,wamv/wamv/base_link,18,10.1842,-0.1501,0.00441
4,35.364,/received_global_plan,wamv/wamv/base_link,0,0.0042,-0.0045,-0.61522
4,35.364,/received_global_plan,wamv/wamv/base_link,1,0.6424,-0.4555,-0.66151
4,35.364,/received_global_plan,wamv/wamv/base_link,2,1.2532,-0.9311,-0.72636
4,35.364,/received_global_plan,wamv/wamv/base_link,3,1.8212,-1.4357,-0.77024
4,35.364,/received_global_plan,wamv/wamv/base_link,4,2.3504,-1.9491,-0.75713
4,35.364,/received_global_plan,wamv/wamv/base_link,5,2.8639,-2.4343,-0.67079
4,35.364,/received_global_plan,wamv/wamv/base_link,6,3.3893,-2.8512,-0.51452
4,35.364,/received_global_plan,wamv/wamv/base_link,7,3.9428,-3.1641,-0.30389
4,35.364,/received_global_plan,wamv/wamv/base_link,8,4.5247,-3.3466,-0.06312
4,35.364,/received_global_plan,wamv/wamv/base_link,9,5.1222,-3.3844,0.17853
4,35.364,/received_global_plan,wamv/wamv/base_link,10,5.7170,-3.2770,0.39289
