t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
1.200,-0.1905,0.1990,-0.00194,,,0,IDLE code=0; status_seq=1,0,,0,0,0,,,,
1.669,-0.1884,0.1982,-0.00101,,,0,IDLE code=0; status_seq=1,0,,3027,0,0,,,,
1.800,-0.1873,0.1991,-0.00188,,,0,IDLE code=0; status_seq=1,0,,3027,0,0,,,,
2.001,-0.1840,0.2005,-0.00046,,,0,IDLE code=0; status_seq=1,0,,3027,0,0,,,,
2.201,-0.1838,0.2008,-0.00025,,,0,IDLE code=0; status_seq=1,0,,3027,0,0,,,,
2.400,-0.1858,0.2007,0.00070,,,0,IDLE code=0; status_seq=1,0,,3027,0,0,,,,
2.600,-0.1876,0.2000,-0.00318,,,0,IDLE code=0; status_seq=1,0,,3027,0,0,,,,
2.801,-0.1872,0.2005,0.00044,,,0,IDLE code=0; status_seq=1,0,,2996,0,0,,,,
3.001,-0.1916,0.2003,-0.00039,,,0,IDLE code=0; status_seq=1,0,,2996,0,0,,,,
3.201,-0.1955,0.2002,0.00118,,,0,IDLE code=0; status_seq=1,0,,2996,0,0,,,,
3.401,-0.1951,0.2002,0.00144,,,0,IDLE code=0; status_seq=1,0,,2996,0,0,,,,
3.601,-0.1951,0.2002,0.00144,,,0,IDLE code=0; status_seq=1,0,,2996,0,0,,,,
3.800,-0.1951,0.2002,0.00144,,,0,IDLE code=0; status_seq=1,0,,2996,0,0,,,,
4.000,-0.1951,0.2002,0.00144,,,0,IDLE code=0; status_seq=1,0,,2976,0,0,,,,
4.200,-0.1969,0.1999,0.00131,,,0,IDLE code=0; status_seq=1,0,,2976,0,0,,,,
4.401,-0.2209,0.1937,0.00074,,,0,IDLE code=0; status_seq=1,0,,2976,0,0,,,,
4.600,-0.2230,0.1928,0.00126,,,0,IDLE code=0; status_seq=1,0,,2976,0,0,,,,
4.800,-0.2229,0.1932,-0.00009,,,0,IDLE code=0; status_seq=1,0,,2976,0,0,,,,
5.000,-0.2213,0.1909,0.00070,,,0,IDLE code=0; status_seq=1,0,,2976,0,0,,,,
5.201,-0.2212,0.1905,-0.00079,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
5.400,-0.2182,0.1900,-0.00020,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
5.601,-0.2182,0.1900,-0.00020,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
5.800,-0.2182,0.1900,-0.00020,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
6.001,-0.2076,0.1905,0.00019,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
6.201,-0.2005,0.1880,-0.00041,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
6.400,-0.1996,0.1882,-0.00069,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
6.600,-0.1953,0.1860,-0.00017,,,0,IDLE code=0; status_seq=1,0,,3037,0,0,,,,
6.800,-0.1953,0.1860,-0.00017,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
7.000,-0.1783,0.1836,-0.00029,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
7.201,-0.1765,0.1833,-0.00013,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
7.400,-0.1765,0.1833,-0.00013,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
7.600,-0.1765,0.1833,-0.00013,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
7.800,-0.1765,0.1833,-0.00013,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
8.001,-0.1765,0.1833,-0.00013,,,0,IDLE code=0; status_seq=1,0,,3080,0,0,,,,
8.201,-0.1765,0.1833,-0.00013,,,0,IDLE code=0; status_seq=1,0,,4558,0,1,,,,
8.400,-0.2053,0.1970,0.00096,,,0,IDLE code=0; status_seq=1,0,,4558,0,1,,,,
8.601,-0.2108,0.2008,0.00069,,,0,IDLE code=0; status_seq=1,0,,4558,0,1,,,,
8.801,-0.2108,0.2008,0.00069,,,0,IDLE code=0; status_seq=1,0,,4558,0,1,,,,
9.001,-0.2108,0.2008,0.00069,,,0,IDLE code=0; status_seq=1,0,,4558,0,1,,,,
9.200,-0.2108,0.2008,0.00069,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
9.400,-0.2108,0.2008,0.00069,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
9.600,-0.2108,0.2008,0.00069,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
9.801,-0.2319,0.2129,-0.00179,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
10.000,-0.2259,0.2077,-0.00115,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
10.201,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
10.400,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4485,0,1,,,,
10.601,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
10.801,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
11.001,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
11.200,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
11.401,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
11.601,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
11.800,-0.2221,0.2097,0.00055,,,0,IDLE code=0; status_seq=1,0,,4655,0,1,,,,
12.000,-0.1902,0.1925,-0.00106,,,0,IDLE code=0; status_seq=1,0,,4735,0,1,,,,
12.201,-0.1778,0.1801,-0.00020,,,0,IDLE code=0; status_seq=1,0,,4735,0,1,,,,
