t,source,point_index,x,y,z
0.516,raw,0,-5.4812,-6.2654,0.5664
0.516,raw,10,-5.3221,-6.4677,0.5603
0.516,raw,20,-5.1553,-6.6652,0.5544
0.516,raw,31,-5.0153,-6.9432,0.5363
0.516,raw,41,-4.8641,-7.1756,0.5231
0.516,raw,51,-4.6693,-7.3546,0.5184
0.516,raw,62,-4.4793,-7.5939,0.5053
0.516,raw,72,-5.8816,-7.0206,0.6797
0.516,raw,82,-5.7371,-7.2793,0.6680
0.516,raw,93,-5.5564,-7.5474,0.6570
0.516,raw,103,-5.3627,-7.7606,0.6510
0.516,raw,113,-5.2171,-8.0485,0.6337
0.516,raw,124,-5.0389,-8.3560,0.6156
0.516,raw,134,-4.4084,-7.8856,0.7010
0.516,raw,145,-4.1440,-8.0252,0.7026
0.516,raw,155,-4.4004,-9.0866,0.5801
0.516,raw,165,-4.1919,-9.3452,0.5644
0.516,raw,176,-3.9401,-9.6028,0.5499
0.516,raw,186,-3.7180,-9.8714,0.5317
0.516,raw,196,-3.4838,-10.1346,0.5135
0.516,raw,207,-6.6875,-7.5167,0.8236
0.516,raw,217,-6.4999,-7.7621,0.8185
0.516,raw,227,-6.3380,-8.0435,0.8085
0.516,raw,238,-6.1307,-8.3281,0.8001
0.516,raw,248,-5.9686,-8.6315,0.7868
0.516,raw,259,-5.7476,-8.9204,0.7769
0.516,raw,269,-5.5199,-9.1533,0.7706
0.516,raw,279,-4.3587,-7.8561,0.9295
0.516,raw,290,-4.1169,-8.0323,0.9267
0.516,raw,300,-4.8607,-10.0243,0.7318
0.516,raw,310,-4.6412,-10.3294,0.7159
0.516,raw,321,-4.3430,-10.5683,0.7077
0.516,raw,331,-4.1115,-10.8936,0.6886
0.516,raw,341,-3.8658,-11.2158,0.6694
0.516,raw,352,-3.5985,-11.6214,0.6426
0.516,raw,362,-3.3897,-12.1515,0.6022
0.516,raw,372,-3.1248,-12.5778,0.5715
0.516,raw,383,-2.8554,-13.2255,0.5200
0.516,raw,393,-7.7263,-7.7598,1.0099
0.516,raw,404,-7.5564,-8.1040,1.0015
0.516,raw,414,-7.3908,-8.4151,0.9938
0.516,raw,424,-7.1876,-8.6932,0.9888
0.516,raw,435,-6.9454,-8.9842,0.9842
0.516,raw,445,-6.7459,-9.2822,0.9766
0.516,raw,455,-6.5452,-9.5899,0.9679
0.516,raw,466,-6.3179,-9.9342,0.9574
0.516,raw,476,-6.0949,-10.2377,0.9483
0.516,raw,486,-4.2711,-7.8675,1.1536
