t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
1.600,-0.3632,0.3714,0.00502,,,0,IDLE code=0,0,,0,0,0
1.800,-0.4129,0.3996,-0.00301,,,0,IDLE code=0,0,,0,0,0
2.001,-0.4132,0.4008,-0.00120,,,0,IDLE code=0,0,,0,0,0
2.201,-0.4112,0.3975,0.00162,,,0,IDLE code=0,0,,0,0,0
2.400,-0.4074,0.3951,0.00114,,,0,IDLE code=0,0,,0,0,0
2.600,-0.4065,0.3949,0.00122,,,0,IDLE code=0,0,,0,0,0
2.800,-0.4054,0.3967,0.00219,,,0,IDLE code=0,0,,0,0,0
3.000,-0.3997,0.3959,-0.00119,,,0,IDLE code=0,0,,0,0,0
3.200,-0.3829,0.3834,0.00061,,,0,IDLE code=0,0,,4857,0,1
3.400,-0.3742,0.3777,0.00040,,,0,IDLE code=0,0,,4857,0,1
3.600,-0.3643,0.3782,0.00073,,,0,IDLE code=0,0,,4767,0,1
3.800,-0.3534,0.3699,0.00066,,,0,IDLE code=0,0,,4677,0,1
4.022,-0.3393,0.3641,-0.00014,,,0,IDLE code=0,0,,4569,0,1
4.200,-0.3340,0.3626,-0.00013,,,0,IDLE code=0,0,,4506,0,1
4.400,-0.3231,0.3594,-0.00099,,,0,IDLE code=0,0,,4459,0,1
4.600,-0.3190,0.3573,-0.00088,,,0,IDLE code=0,0,,4449,0,1
4.800,-0.3162,0.3571,-0.00165,,,0,IDLE code=0,0,,4439,0,1
5.000,-0.3144,0.3565,-0.00268,,,0,IDLE code=0,0,,4439,0,1
5.200,-0.3140,0.3566,0.00033,,,0,IDLE code=0,0,,4371,0,1
5.400,-0.3161,0.3595,-0.00232,,,0,IDLE code=0,0,,4369,0,1
5.600,-0.3218,0.3647,0.00092,,,0,IDLE code=0,0,,4369,0,1
5.800,-0.3227,0.3653,0.00130,,,0,IDLE code=0,0,,4369,0,1
6.001,-0.3227,0.3653,0.00130,,,0,IDLE code=0,0,,4369,0,1
6.203,-0.3408,0.3646,-0.00597,,,0,IDLE code=0,0,,4242,0,1
6.400,-0.3679,0.3985,-0.00444,,,0,IDLE code=0,0,,4340,0,1
6.600,-0.3821,0.4110,0.00043,,,0,IDLE code=0,0,,4445,0,1
6.800,-0.3951,0.4218,0.00200,,,0,IDLE code=0,0,,4445,0,1
7.000,-0.4021,0.4279,0.00183,,,0,IDLE code=0,0,,4481,0,1
7.200,-0.4021,0.4279,0.00183,,,0,IDLE code=0,0,,4481,0,1
7.418,-0.4089,0.4269,-0.00519,,,0,IDLE code=0,0,,4597,0,1
7.600,-0.4202,0.4319,0.00019,,,0,IDLE code=0,0,,4570,0,1
7.800,-0.4237,0.4329,0.00184,,,0,IDLE code=0,0,,4570,0,1
8.000,-0.4231,0.4321,-0.00217,,,0,IDLE code=0,0,,4570,0,1
8.200,-0.4217,0.4278,-0.00201,,,0,IDLE code=0,0,,4570,0,1
8.401,-0.4198,0.4264,0.00157,,,0,IDLE code=0,0,,4776,0,1
8.600,-0.4198,0.4264,0.00157,,,0,IDLE code=0,0,,4776,0,1
8.800,-0.3948,0.4298,-0.00076,,,0,IDLE code=0,0,,4821,0,1
9.001,-0.3709,0.3827,-0.00028,,,0,IDLE code=0,0,,4857,0,1
