t,source,point_index,x,y,z
3.102,raw,0,-5.5870,-5.6382,0.6099
3.102,raw,10,-5.4334,-5.8336,0.6039
3.102,raw,20,-5.2857,-6.0403,0.5952
3.102,raw,31,-5.1224,-6.2738,0.5839
3.102,raw,41,-4.9703,-6.4889,0.5725
3.102,raw,52,-4.7926,-6.7203,0.5603
3.102,raw,62,-4.6240,-6.9288,0.5489
3.102,raw,72,-4.4669,-7.1661,0.5322
3.102,raw,83,-4.2476,-7.3606,0.5240
3.102,raw,93,-4.0900,-7.6250,0.5019
3.102,raw,104,-5.9863,-6.3050,0.7235
3.102,raw,114,-5.7866,-6.4809,0.7233
3.102,raw,125,-5.6189,-6.7409,0.7122
3.102,raw,135,-5.4671,-6.9872,0.7002
3.102,raw,145,-5.3189,-7.2495,0.6856
3.102,raw,156,-5.1053,-7.4764,0.6777
3.102,raw,166,-4.9570,-7.7649,0.6586
3.102,raw,177,-4.7377,-8.0066,0.6475
3.102,raw,187,-4.3924,-7.9649,0.6711
3.102,raw,197,-4.1165,-8.0368,0.6784
3.102,raw,208,-4.1164,-8.7676,0.6018
3.102,raw,218,-3.9127,-9.0456,0.5818
3.102,raw,229,-3.6711,-9.3388,0.5608
3.102,raw,239,-3.4193,-9.5452,0.5484
3.102,raw,250,-3.1594,-9.8495,0.5246
3.102,raw,260,-6.6771,-6.7315,0.8704
3.102,raw,270,-6.5392,-7.0113,0.8599
3.102,raw,281,-6.3596,-7.2976,0.8505
3.102,raw,291,-6.1780,-7.5439,0.8433
3.102,raw,302,-6.0099,-7.8674,0.8288
3.102,raw,312,-5.8207,-8.1242,0.8195
3.102,raw,323,-5.6055,-8.4086,0.8087
3.102,raw,333,-5.4257,-8.7064,0.7940
3.102,raw,343,-5.2121,-8.9634,0.7834
3.102,raw,354,-4.2799,-7.9304,0.9087
3.102,raw,364,-4.0505,-8.0914,0.9050
3.102,raw,375,-4.4693,-9.7712,0.7477
3.102,raw,385,-4.2444,-10.0819,0.7295
3.102,raw,395,-4.0163,-10.4162,0.7085
3.102,raw,406,-3.7060,-10.6592,0.6972
3.102,raw,416,-3.4687,-11.0467,0.6700
3.102,raw,427,-3.1924,-11.4917,0.6378
3.102,raw,437,-2.9655,-12.0744,0.5909
3.102,raw,448,-2.6524,-12.5821,0.5517
3.102,raw,458,-2.3534,-13.0949,0.5106
3.102,raw,468,-7.6584,-7.1318,1.0400
3.102,raw,479,-7.4961,-7.4661,1.0314
3.102,raw,489,-7.3161,-7.7446,1.0258
3.102,raw,500,-7.1156,-8.0570,1.0186
3.102,raw,510,-6.9273,-8.3430,1.0116
3.102,raw,521,-6.7022,-8.6454,1.0045
3.102,raw,531,-6.5029,-8.9383,0.9962
3.102,raw,541,-6.3123,-9.2574,0.9854
3.102,raw,552,-6.0730,-9.5807,0.9754
3.102,raw,562,-5.8643,-9.9065,0.9634
3.102,raw,573,-4.3796,-7.9410,1.1318
3.102,raw,583,-4.0985,-8.0006,1.1370
3.102,raw,593,-5.1198,-10.8664,0.9282
