t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
3.001,-0.5166,0.5975,0.00219,,,0,IDLE code=0; status_seq=1,0,,2881,0,0
3.200,-0.5166,0.5975,0.00219,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.400,-0.5140,0.5873,-0.00026,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.600,-0.5049,0.5782,-0.00023,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.801,-0.4999,0.5763,0.00181,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
4.001,-0.4999,0.5763,0.00181,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
4.200,-0.4999,0.5763,0.00181,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
4.400,-0.4999,0.5763,0.00181,,,0,IDLE code=0; status_seq=1,0,,3228,0,0
4.600,-0.4917,0.5652,-0.00157,,,0,IDLE code=0; status_seq=1,0,,3228,0,0
4.800,-0.4737,0.5355,-0.00173,,,0,IDLE code=0; status_seq=1,0,,3228,0,0
5.001,-0.4671,0.5320,0.00166,,,0,IDLE code=0; status_seq=1,0,,3228,0,0
5.201,-0.4671,0.5320,0.00166,,,0,IDLE code=0; status_seq=1,0,,3228,0,0
5.400,-0.4671,0.5320,0.00166,,,0,IDLE code=0; status_seq=1,0,,3193,0,0
5.601,-0.4671,0.5320,0.00166,,,0,IDLE code=0; status_seq=1,0,,3193,0,0
5.800,-0.4671,0.5320,0.00166,,,0,IDLE code=0; status_seq=1,0,,3193,0,0
6.000,-0.4882,0.5330,-0.00492,,,0,IDLE code=0; status_seq=1,0,,3193,0,1
6.200,-0.4955,0.5460,0.00152,,,0,IDLE code=0; status_seq=1,0,,3193,0,1
6.400,-0.5015,0.5490,0.00174,,,0,IDLE code=0; status_seq=1,0,,3193,0,1
6.600,-0.5015,0.5490,0.00174,,,0,IDLE code=0; status_seq=1,0,,3193,0,1
6.800,-0.5015,0.5490,0.00174,,,0,IDLE code=0; status_seq=1,0,,3193,0,1
7.000,-0.5015,0.5490,0.00174,,,0,IDLE code=0; status_seq=1,0,,4213,0,1
7.200,-0.5015,0.5490,0.00174,,,0,IDLE code=0; status_seq=1,0,,4213,0,1
