plan_id,t,source,frame_id,point_index,x,y,yaw
1,34.262,/plan,camera_init,0,-0.1533,0.1530,0.17453
1,34.262,/plan,camera_init,1,0.7018,0.3038,0.52360
1,34.262,/plan,camera_init,2,1.4537,0.7379,0.69813
1,34.262,/plan,camera_init,3,2.1188,1.2960,0.52360
1,34.262,/plan,camera_init,4,2.8707,1.7301,0.34906
1,34.262,/plan,camera_init,5,3.6866,2.0271,0.17453
1,34.262,/plan,camera_init,6,4.5417,2.1778,-0.14846
1,34.262,/plan,camera_init,7,5.2731,2.0684,-0.42094
1,34.262,/plan,camera_init,8,5.9494,1.7656,-0.47330
1,34.262,/plan,camera_init,9,6.6101,1.4273,-0.47330
1,34.262,/plan,camera_init,10,7.2708,1.0889,-0.47331
1,34.262,/plan,camera_init,11,7.9315,0.7505,-0.47330
1,34.262,/plan,camera_init,12,8.5922,0.4122,-0.42094
1,34.262,/plan,camera_init,13,9.2686,0.1094,-0.14846
1,34.262,/plan,camera_init,14,10.0000,0.0000,0.00000
2,34.263,/unsmoothed_plan,camera_init,0,-0.1533,0.1530,0.00000
2,34.263,/unsmoothed_plan,camera_init,1,0.7018,0.3038,0.34907
2,34.263,/unsmoothed_plan,camera_init,2,1.4537,0.7379,0.69813
2,34.263,/unsmoothed_plan,camera_init,3,2.1188,1.2960,0.69813
2,34.263,/unsmoothed_plan,camera_init,4,2.8707,1.7301,0.34907
2,34.263,/unsmoothed_plan,camera_init,5,3.6866,2.0271,0.34907
2,34.263,/unsmoothed_plan,camera_init,6,4.5417,2.1778,0.00000
2,34.263,/unsmoothed_plan,camera_init,7,5.2731,2.0684,-0.34907
2,34.263,/unsmoothed_plan,camera_init,8,5.9494,1.7656,-0.52360
2,34.263,/unsmoothed_plan,camera_init,9,6.6101,1.4273,-0.52360
2,34.263,/unsmoothed_plan,camera_init,10,7.2708,1.0889,-0.52360
2,34.263,/unsmoothed_plan,camera_init,11,7.9315,0.7505,-0.52360
2,34.263,/unsmoothed_plan,camera_init,12,8.5922,0.4122,-0.52360
2,34.263,/unsmoothed_plan,camera_init,13,9.2686,0.1094,-0.34907
2,34.263,/unsmoothed_plan,camera_init,14,10.0000,0.0000,0.00000
3,34.278,/received_global_plan,wamv/wamv/base_link,0,-0.0001,0.0003,0.17520
3,34.278,/received_global_plan,wamv/wamv/base_link,1,0.8548,0.1516,0.52427
3,34.278,/received_global_plan,wamv/wamv/base_link,2,1.6064,0.5862,0.69881
3,34.278,/received_global_plan,wamv/wamv/base_link,3,2.2711,1.1447,0.52427
3,34.278,/received_global_plan,wamv/wamv/base_link,4,3.0227,1.5793,0.34973
3,34.278,/received_global_plan,wamv/wamv/base_link,5,3.8384,1.8768,0.17520
3,34.278,/received_global_plan,wamv/wamv/base_link,6,4.6933,2.0282,-0.14779
3,34.278,/received_global_plan,wamv/wamv/base_link,7,5.4248,1.9193,-0.42025
3,34.278,/received_global_plan,wamv/wamv/base_link,8,6.1014,1.6169,-0.47262
3,34.278,/received_global_plan,wamv/wamv/base_link,9,6.7623,1.2790,-0.47262
3,34.278,/received_global_plan,wamv/wamv/base_link,10,7.4232,0.9411,-0.47262
3,34.278,/received_global_plan,wamv/wamv/base_link,11,8.0841,0.6032,-0.47262
3,34.278,/received_global_plan,wamv/wamv/base_link,12,8.7451,0.2653,-0.42025
3,34.278,/received_global_plan,wamv/wamv/base_link,13,9.4216,-0.0370,-0.14779
3,34.278,/received_global_plan,wamv/wamv/base_link,14,10.1531,-0.1459,0.00067
4,34.379,/received_global_plan,wamv/wamv/base_link,0,-0.0042,0.0031,0.17427
4,34.379,/received_global_plan,wamv/wamv/base_link,1,0.8508,0.1536,0.52334
4,34.379,/received_global_plan,wamv/wamv/base_link,2,1.6028,0.5875,0.69788
4,34.379,/received_global_plan,wamv/wamv/base_link,3,2.2680,1.1454,0.52334
4,34.379,/received_global_plan,wamv/wamv/base_link,4,3.0200,1.5793,0.34880
4,34.379,/received_global_plan,wamv/wamv/base_link,5,3.8359,1.8760,0.17427
4,34.379,/received_global_plan,wamv/wamv/base_link,6,4.6910,2.0265,-0.14872
4,34.379,/received_global_plan,wamv/wamv/base_link,7,5.4224,1.9170,-0.42118
4,34.379,/received_global_plan,wamv/wamv/base_link,8,6.0986,1.6140,-0.47354
4,34.379,/received_global_plan,wamv/wamv/base_link,9,6.7593,1.2755,-0.47354
4,34.379,/received_global_plan,wamv/wamv/base_link,10,7.4199,0.9370,-0.47355
4,34.379,/received_global_plan,wamv/wamv/base_link,11,8.0805,0.5984,-0.47354
4,34.379,/received_global_plan,wamv/wamv/base_link,12,8.7411,0.2599,-0.42118
4,34.379,/received_global_plan,wamv/wamv/base_link,13,9.4174,-0.0430,-0.14872
4,34.379,/received_global_plan,wamv/wamv/base_link,14,10.1488,-0.1526,-0.00027
5,34.478,/received_global_plan,wamv/wamv/base_link,0,-0.0042,0.0031,0.17427
5,34.478,/received_global_plan,wamv/wamv/base_link,1,0.8508,0.1536,0.52334
5,34.478,/received_global_plan,wamv/wamv/base_link,2,1.6028,0.5875,0.69788
5,34.478,/received_global_plan,wamv/wamv/base_link,3,2.2680,1.1454,0.52334
5,34.478,/received_global_plan,wamv/wamv/base_link,4,3.0200,1.5793,0.34880
5,34.478,/received_global_plan,wamv/wamv/base_link,5,3.8359,1.8760,0.17427
5,34.478,/received_global_plan,wamv/wamv/base_link,6,4.6910,2.0265,-0.14872
5,34.478,/received_global_plan,wamv/wamv/base_link,7,5.4224,1.9170,-0.42118
5,34.478,/received_global_plan,wamv/wamv/base_link,8,6.0986,1.6140,-0.47354
5,34.478,/received_global_plan,wamv/wamv/base_link,9,6.7593,1.2755,-0.47354
5,34.478,/received_global_plan,wamv/wamv/base_link,10,7.4199,0.9370,-0.47355
5,34.478,/received_global_plan,wamv/wamv/base_link,11,8.0805,0.5984,-0.47354
5,34.478,/received_global_plan,wamv/wamv/base_link,12,8.7411,0.2599,-0.42118
5,34.478,/received_global_plan,wamv/wamv/base_link,13,9.4174,-0.0430,-0.14872
5,34.478,/received_global_plan,wamv/wamv/base_link,14,10.1488,-0.1526,-0.00027
6,34.578,/received_global_plan,wamv/wamv/base_link,0,-0.0042,0.0031,0.17427
6,34.578,/received_global_plan,wamv/wamv/base_link,1,0.8508,0.1536,0.52334
6,34.578,/received_global_plan,wamv/wamv/base_link,2,1.6028,0.5875,0.69788
6,34.578,/received_global_plan,wamv/wamv/base_link,3,2.2680,1.1454,0.52334
6,34.578,/received_global_plan,wamv/wamv/base_link,4,3.0200,1.5793,0.34880
6,34.578,/received_global_plan,wamv/wamv/base_link,5,3.8359,1.8760,0.17427
6,34.578,/received_global_plan,wamv/wamv/base_link,6,4.6910,2.0265,-0.14872
6,34.578,/received_global_plan,wamv/wamv/base_link,7,5.4224,1.9170,-0.42118
6,34.578,/received_global_plan,wamv/wamv/base_link,8,6.0986,1.6140,-0.47354
6,34.578,/received_global_plan,wamv/wamv/base_link,9,6.7593,1.2755,-0.47354
6,34.578,/received_global_plan,wamv/wamv/base_link,10,7.4199,0.9370,-0.47355
6,34.578,/received_global_plan,wamv/wamv/base_link,11,8.0805,0.5984,-0.47354
6,34.578,/received_global_plan,wamv/wamv/base_link,12,8.7411,0.2599,-0.42118
6,34.578,/received_global_plan,wamv/wamv/base_link,13,9.4174,-0.0430,-0.14872
6,34.578,/received_global_plan,wamv/wamv/base_link,14,10.1488,-0.1526,-0.00027
7,34.679,/received_global_plan,wamv/wamv/base_link,0,-0.0042,0.0031,0.17427
7,34.679,/received_global_plan,wamv/wamv/base_link,1,0.8508,0.1536,0.52334
7,34.679,/received_global_plan,wamv/wamv/base_link,2,1.6028,0.5875,0.69788
7,34.679,/received_global_plan,wamv/wamv/base_link,3,2.2680,1.1454,0.52334
7,34.679,/received_global_plan,wamv/wamv/base_link,4,3.0200,1.5793,0.34880
7,34.679,/received_global_plan,wamv/wamv/base_link,5,3.8359,1.8760,0.17427
7,34.679,/received_global_plan,wamv/wamv/base_link,6,4.6910,2.0265,-0.14872
7,34.679,/received_global_plan,wamv/wamv/base_link,7,5.4224,1.9170,-0.42118
7,34.679,/received_global_plan,wamv/wamv/base_link,8,6.0986,1.6140,-0.47354
7,34.679,/received_global_plan,wamv/wamv/base_link,9,6.7593,1.2755,-0.47354
7,34.679,/received_global_plan,wamv/wamv/base_link,10,7.4199,0.9370,-0.47355
7,34.679,/received_global_plan,wamv/wamv/base_link,11,8.0805,0.5984,-0.47354
7,34.679,/received_global_plan,wamv/wamv/base_link,12,8.7411,0.2599,-0.42118
7,34.679,/received_global_plan,wamv/wamv/base_link,13,9.4174,-0.0430,-0.14872
7,34.679,/received_global_plan,wamv/wamv/base_link,14,10.1488,-0.1526,-0.00027
8,34.828,/received_global_plan,wamv/wamv/base_link,0,-0.0058,0.0022,0.17506
8,34.828,/received_global_plan,wamv/wamv/base_link,1,0.8491,0.1535,0.52414
8,34.828,/received_global_plan,wamv/wamv/base_link,2,1.6008,0.5880,0.69868
8,34.828,/received_global_plan,wamv/wamv/base_link,3,2.2656,1.1464,0.52414
8,34.828,/received_global_plan,wamv/wamv/base_link,4,3.0172,1.5809,0.34960
8,34.828,/received_global_plan,wamv/wamv/base_link,5,3.8329,1.8783,0.17506
8,34.828,/received_global_plan,wamv/wamv/base_link,6,4.6878,2.0295,-0.14793
8,34.828,/received_global_plan,wamv/wamv/base_link,7,5.4193,1.9205,-0.42040
8,34.828,/received_global_plan,wamv/wamv/base_link,8,6.0958,1.6181,-0.47276
8,34.828,/received_global_plan,wamv/wamv/base_link,9,6.7567,1.2801,-0.47276
8,34.828,/received_global_plan,wamv/wamv/base_link,10,7.4175,0.9421,-0.47276
8,34.828,/received_global_plan,wamv/wamv/base_link,11,8.0784,0.6041,-0.47276
8,34.828,/received_global_plan,wamv/wamv/base_link,12,8.7393,0.2661,-0.42040
8,34.828,/received_global_plan,wamv/wamv/base_link,13,9.4158,-0.0364,-0.14793
8,34.828,/received_global_plan,wamv/wamv/base_link,14,10.1473,-0.1454,0.00053
9,34.829,/received_global_plan,wamv/wamv/base_link,0,-0.0058,0.0022,0.17510
9,34.829,/received_global_plan,wamv/wamv/base_link,1,0.8491,0.1534,0.52417
9,34.829,/received_global_plan,wamv/wamv/base_link,2,1.6007,0.5880,0.69872
9,34.829,/received_global_plan,wamv/wamv/base_link,3,2.2655,1.1464,0.52417
9,34.829,/received_global_plan,wamv/wamv/base_link,4,3.0171,1.5809,0.34963
9,34.829,/received_global_plan,wamv/wamv/base_link,5,3.8328,1.8784,0.17510
9,34.829,/received_global_plan,wamv/wamv/base_link,6,4.6877,2.0296,-0.14790
9,34.829,/received_global_plan,wamv/wamv/base_link,7,5.4192,1.9206,-0.42036
9,34.829,/received_global_plan,wamv/wamv/base_link,8,6.0957,1.6182,-0.47273
9,34.829,/received_global_plan,wamv/wamv/base_link,9,6.7566,1.2802,-0.47273
9,34.829,/received_global_plan,wamv/wamv/base_link,10,7.4175,0.9423,-0.47273
9,34.829,/received_global_plan,wamv/wamv/base_link,11,8.0784,0.6043,-0.47273
9,34.829,/received_global_plan,wamv/wamv/base_link,12,8.7392,0.2663,-0.42036
9,34.829,/received_global_plan,wamv/wamv/base_link,13,9.4157,-0.0361,-0.14790
9,34.829,/received_global_plan,wamv/wamv/base_link,14,10.1472,-0.1451,0.00056
10,34.929,/received_global_plan,wamv/wamv/base_link,0,-0.0080,0.0052,0.17467
10,34.929,/received_global_plan,wamv/wamv/base_link,1,0.8470,0.1561,0.52374
10,34.929,/received_global_plan,wamv/wamv/base_link,2,1.5988,0.5903,0.69828
10,34.929,/received_global_plan,wamv/wamv/base_link,3,2.2638,1.1484,0.52374
10,34.929,/received_global_plan,wamv/wamv/base_link,4,3.0156,1.5826,0.34920
10,34.929,/received_global_plan,wamv/wamv/base_link,5,3.8314,1.8797,0.17467
10,34.929,/received_global_plan,wamv/wamv/base_link,6,4.6864,2.0306,-0.14832
10,34.929,/received_global_plan,wamv/wamv/base_link,7,5.4179,1.9213,-0.42078
