t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,safety_stop
0.200,-0.1920,0.2050,-0.00202,,,0,IDLE code=0,0,,0,0,0
0.400,-0.1965,0.2108,-0.00246,,,0,IDLE code=0; status_seq=1,0,,0,0,0
0.600,-0.1971,0.2113,0.00438,,,0,IDLE code=0; status_seq=1,0,,0,0,0
0.800,-0.1971,0.2113,0.00438,,,0,IDLE code=0; status_seq=1,0,,0,0,0
1.000,-0.1971,0.2113,0.00438,,,0,IDLE code=0; status_seq=1,0,,0,0,0
1.200,-0.1798,0.1961,0.00578,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
1.400,-0.1589,0.1675,0.00088,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
1.600,-0.1514,0.1550,0.00155,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
1.800,-0.1415,0.1444,0.00086,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
2.000,-0.1371,0.1358,0.00061,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
2.200,-0.1371,0.1358,0.00061,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
2.400,-0.1371,0.1358,0.00061,,,0,IDLE code=0; status_seq=1,0,,2988,0,0
2.601,-0.1109,0.1051,0.00087,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
2.801,-0.0954,0.0885,0.00049,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.000,-0.0906,0.0793,0.00005,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.200,-0.0864,0.0741,0.00092,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.400,-0.0830,0.0707,0.00047,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.600,-0.0830,0.0707,0.00047,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
3.800,-0.0827,0.0662,0.00027,,,0,IDLE code=0; status_seq=1,0,,3126,0,0
4.001,-0.0827,0.0662,0.00027,,,0,IDLE code=0; status_seq=1,0,,3057,0,0
4.200,-0.0911,0.0669,0.00035,,,0,IDLE code=0; status_seq=1,0,,3057,0,0
4.400,-0.0919,0.0672,0.00007,,,0,IDLE code=0; status_seq=1,0,,3057,0,0
4.600,-0.0948,0.0674,-0.00024,,,0,IDLE code=0; status_seq=1,0,,3057,0,0
4.801,-0.1028,0.0735,0.00096,,,0,IDLE code=0; status_seq=1,0,,3057,0,1
5.000,-0.1120,0.0803,0.00063,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
5.200,-0.1182,0.0859,0.00183,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
5.401,-0.1190,0.0863,0.00140,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
5.600,-0.1190,0.0863,0.00140,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
5.800,-0.1323,0.0903,-0.00555,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
6.000,-0.1440,0.1175,0.00138,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
6.200,-0.1440,0.1175,0.00138,,,0,IDLE code=0; status_seq=1,0,,4424,0,1
6.400,-0.1440,0.1175,0.00138,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
6.600,-0.1440,0.1175,0.00138,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
6.800,-0.1440,0.1175,0.00138,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
7.000,-0.1440,0.1175,0.00138,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
7.200,-0.1482,0.1520,-0.00036,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
7.401,-0.1470,0.1562,0.00092,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
7.601,-0.1404,0.1557,-0.00069,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
7.801,-0.1377,0.1531,0.00044,,,0,IDLE code=0; status_seq=1,0,,4576,0,1
8.000,-0.1377,0.1531,0.00044,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
8.200,-0.1377,0.1531,0.00044,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
8.400,-0.1192,0.1386,-0.00020,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
8.601,-0.1071,0.1258,0.00055,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
8.800,-0.1071,0.1258,0.00055,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
9.000,-0.1043,0.1169,0.00005,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
9.200,-0.0997,0.1137,0.00048,,,0,IDLE code=0; status_seq=1,0,,4928,0,1
9.400,-0.0997,0.1137,0.00048,,,0,IDLE code=0; status_seq=1,0,,4829,0,1
9.600,-0.1006,0.1006,0.00057,,,0,IDLE code=0; status_seq=1,0,,4829,0,1
9.800,-0.1021,0.0944,0.00064,,,0,IDLE code=0; status_seq=1,0,,4829,0,1
