t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
2.603,-0.4630,0.5461,0.00247,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
2.801,-0.4683,0.5392,0.00267,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
3.001,-0.4708,0.5328,-0.00121,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
3.201,-0.4734,0.5285,0.00062,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
3.400,-0.4724,0.5287,0.00250,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
3.600,-0.4724,0.5287,0.00250,,,0,IDLE code=0; status_seq=1,0,,3051,0,0,0,0.000,0,,,,
3.800,-0.4708,0.5356,-0.00265,,,0,IDLE code=0; status_seq=1,0,,3167,0,0,0,0.000,0,,,,
4.000,-0.4703,0.5026,-0.00241,,,0,IDLE code=0; status_seq=1,0,,3167,0,0,0,0.000,0,,,,
4.200,-0.4683,0.5007,0.00133,,,0,IDLE code=0; status_seq=1,0,,3167,0,0,0,0.000,0,,,,
4.400,-0.4683,0.5007,0.00133,,,0,IDLE code=0; status_seq=1,0,,3167,0,0,0,0.000,0,,,,
4.600,-0.4623,0.5023,0.00108,,,0,IDLE code=0; status_seq=1,0,,3167,0,0,0,0.000,0,,,,
4.800,-0.4572,0.5031,0.00127,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
5.001,-0.4548,0.5051,0.00058,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
5.201,-0.4504,0.5071,-0.00058,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
5.400,-0.4491,0.5091,-0.00192,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
5.601,-0.4495,0.5103,-0.00095,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
5.801,-0.4457,0.5144,-0.00125,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
6.000,-0.4455,0.5177,0.00106,,,0,IDLE code=0; status_seq=1,0,,3117,0,0,0,0.000,0,,,,
6.200,-0.4455,0.5177,0.00106,,,0,IDLE code=0; status_seq=1,0,,2978,0,0,0,0.000,0,,,,
6.400,-0.4457,0.5268,0.00150,,,0,IDLE code=0; status_seq=1,0,,2978,0,0,0,0.000,0,,,,
6.600,-0.4457,0.5268,0.00150,,,0,IDLE code=0; status_seq=1,0,,2978,0,0,0,0.000,0,,,,
6.801,-0.4457,0.5268,0.00150,,,0,IDLE code=0; status_seq=1,0,,2978,0,0,0,0.000,0,,,,
7.001,-0.4457,0.5268,0.00150,,,0,IDLE code=0; status_seq=1,0,,2978,0,0,0,0.000,0,,,,
7.201,-0.4606,0.5555,0.00106,,,0,IDLE code=0; status_seq=1,0,,2978,0,0,0,0.000,0,,,,
7.401,-0.4681,0.5633,-0.00410,,,0,IDLE code=0; status_seq=1,0,,2890,0,0,0,0.000,0,,,,
7.600,-0.4741,0.5702,0.00206,,,0,IDLE code=0; status_seq=1,0,,2890,0,0,0,0.000,0,,,,
7.800,-0.4741,0.5702,0.00206,,,0,IDLE code=0; status_seq=1,0,,2890,0,0,0,0.000,0,,,,
8.000,-0.4741,0.5702,0.00206,,,0,IDLE code=0; status_seq=1,0,,2890,0,0,0,0.000,0,,,,
8.201,-0.4841,0.5586,0.00102,,,0,IDLE code=0; status_seq=1,0,,2890,0,0,0,0.000,0,,,,
8.401,-0.4844,0.5614,0.00255,,,0,IDLE code=0; status_seq=1,0,,2985,0,0,0,0.000,0,,,,
8.600,-0.4907,0.5535,0.00190,,,0,IDLE code=0; status_seq=1,0,,2985,0,0,0,0.000,0,,,,
8.800,-0.4911,0.5488,0.00238,,,0,IDLE code=0; status_seq=1,0,,2985,0,0,0,0.000,0,,,,
9.000,-0.4889,0.5486,0.00230,,,0,IDLE code=0; status_seq=1,0,,2985,0,0,0,0.000,0,,,,
9.200,-0.4885,0.5402,-0.00110,,,0,IDLE code=0; status_seq=1,0,,2985,0,0,0,0.000,0,,,,
9.401,-0.4848,0.5357,-0.00138,,,0,IDLE code=0; status_seq=1,0,,2985,0,0,0,0.000,0,,,,
9.600,-0.4798,0.5295,0.00123,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
9.800,-0.4767,0.5217,0.00008,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
10.000,-0.4680,0.5146,0.00121,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
10.200,-0.4623,0.5101,0.00031,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
10.401,-0.4603,0.5065,0.00101,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
10.600,-0.4556,0.5039,0.00055,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
10.800,-0.4518,0.5034,0.00070,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
11.000,-0.4518,0.5034,0.00070,,,0,IDLE code=0; status_seq=1,0,,3201,0,0,0,0.000,0,,,,
11.201,-0.4447,0.5079,-0.00086,,,0,IDLE code=0; status_seq=1,0,,3020,0,0,0,0.000,0,,,,
11.400,-0.4442,0.5102,0.00103,,,0,IDLE code=0; status_seq=1,0,,3020,0,0,0,0.000,0,,,,
11.600,-0.4442,0.5102,0.00103,,,0,IDLE code=0; status_seq=1,0,,3020,0,0,0,0.000,0,,,,
11.800,-0.4440,0.5230,-0.00354,,,0,IDLE code=0; status_seq=1,0,,3020,0,0,0,0.000,0,,,,
12.001,-0.4504,0.5319,0.00226,,,0,IDLE code=0; status_seq=1,0,,3020,0,0,0,0.000,0,,,,
12.200,-0.4568,0.5428,0.00128,,,0,IDLE code=0; status_seq=1,0,,3021,0,0,0,0.000,0,,,,
12.400,-0.4649,0.5540,0.00219,,,0,IDLE code=0; status_seq=1,0,,3021,0,0,0,0.000,0,,,,
12.601,-0.4715,0.5615,0.00276,,,0,IDLE code=0; status_seq=1,0,,3021,0,0,0,0.000,0,,,,
12.800,-0.4711,0.5616,0.00258,,,0,IDLE code=0; status_seq=1,0,,3021,0,0,0,0.000,0,,,,
13.001,-0.4791,0.5700,0.00292,,,0,IDLE code=0; status_seq=1,0,,3021,0,0,0,0.000,0,,,,
13.200,-0.4791,0.5700,0.00292,,,0,IDLE code=0; status_seq=1,0,,3021,0,0,0,0.000,0,,,,
13.400,-0.4822,0.5747,-0.00357,,,0,IDLE code=0; status_seq=1,0,,2972,0,0,0,0.000,0,,,,
13.601,-0.4931,0.5820,0.00050,,,0,IDLE code=0; status_seq=1,0,,2972,0,0,0,0.000,0,,,,
13.800,-0.4952,0.5846,0.00302,,,0,IDLE code=0; status_seq=1,0,,2972,0,0,0,0.000,0,,,,
14.000,-0.4952,0.5846,0.00302,,,0,IDLE code=0; status_seq=1,0,,2972,0,0,0,0.000,0,,,,
14.200,-0.4905,0.5838,-0.00112,,,0,IDLE code=0; status_seq=1,0,,2972,0,0,0,0.000,0,,,,
14.400,-0.4886,0.5667,0.00187,,,0,IDLE code=0; status_seq=1,0,,2972,0,0,0,0.000,0,,,,
14.601,-0.4886,0.5667,0.00187,,,0,IDLE code=0; status_seq=1,0,,3186,0,0,0,0.000,0,,,,
14.800,-0.4886,0.5667,0.00187,,,0,IDLE code=0; status_seq=1,0,,3186,0,0,0,0.000,0,,,,
15.000,-0.4886,0.5667,0.00187,,,0,IDLE code=0; status_seq=1,0,,3186,0,0,0,0.000,0,,,,
15.200,-0.4886,0.5667,0.00187,,,0,IDLE code=0; status_seq=1,0,,3186,0,0,0,0.000,0,,,,
15.400,-0.4886,0.5667,0.00187,,,0,IDLE code=0; status_seq=1,0,,3186,0,0,0,0.000,0,,,,
15.601,-0.4335,0.5015,-0.00017,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
15.800,-0.4172,0.4902,0.00095,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
16.000,-0.4194,0.4911,0.00086,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
16.200,-0.4171,0.4907,0.00110,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
16.401,-0.4192,0.4931,-0.00034,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
16.600,-0.4211,0.4944,0.00165,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
16.800,-0.4268,0.4985,0.00228,,,0,IDLE code=0; status_seq=1,0,,3193,0,0,0,0.000,0,,,,
17.000,-0.4303,0.5006,0.00085,,,0,IDLE code=0; status_seq=1,0,,3053,0,0,0,0.000,0,,,,
17.200,-0.4361,0.5070,0.00253,,,0,IDLE code=0; status_seq=1,0,,3053,0,0,0,0.000,0,,,,
17.400,-0.4389,0.5081,-0.00555,,,0,IDLE code=0; status_seq=1,0,,3053,0,0,0,0.000,0,,,,
17.601,-0.4440,0.5151,0.00261,,,0,IDLE code=0; status_seq=1,0,,3053,0,0,0,0.000,0,,,,
17.800,-0.4440,0.5151,0.00261,,,0,IDLE code=0; status_seq=1,0,,3053,0,0,0,0.000,0,,,,
18.000,-0.4440,0.5151,0.00261,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
18.200,-0.4880,0.5600,0.00299,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
18.400,-0.5004,0.5720,0.00129,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
18.600,-0.5020,0.5742,0.00274,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
18.800,-0.5020,0.5742,0.00274,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
19.000,-0.5032,0.5789,-0.00074,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
19.200,-0.5022,0.5812,-0.00161,,,0,IDLE code=0; status_seq=1,0,,2917,0,0,0,0.000,0,,,,
19.401,-0.4999,0.5808,-0.00157,,,0,IDLE code=0; status_seq=1,0,,3007,0,0,0,0.000,0,,,,
19.600,-0.4969,0.5789,-0.00105,,,0,IDLE code=0; status_seq=1,0,,3007,0,0,0,0.000,0,,,,
19.801,-0.4917,0.5780,-0.00048,,,0,IDLE code=0; status_seq=1,0,,3007,0,0,0,0.000,0,,,,
20.001,-0.4869,0.5722,-0.00024,,,0,IDLE code=0; status_seq=1,0,,3007,0,0,0,0.000,0,,,,
20.200,-0.4839,0.5709,0.00095,,,0,IDLE code=0; status_seq=1,0,,3007,0,0,0,0.000,0,,,,
20.401,-0.4789,0.5706,0.00006,,,0,IDLE code=0; status_seq=1,0,,3277,0,0,0,0.000,0,,,,
20.601,-0.4678,0.5566,0.00035,,,0,IDLE code=0; status_seq=1,0,,3277,0,0,0,0.000,0,,,,
20.801,-0.4607,0.5505,0.00003,,,0,IDLE code=0; status_seq=1,0,,3277,0,0,0,0.000,0,,,,
21.000,-0.4531,0.5437,0.00066,,,0,IDLE code=0; status_seq=1,0,,3277,0,0,0,0.000,0,,,,
21.200,-0.4521,0.5436,0.00022,,,0,IDLE code=0; status_seq=1,0,,3277,0,0,0,0.000,0,,,,
21.400,-0.4487,0.5468,0.00007,,,0,IDLE code=0; status_seq=1,0,,3277,0,0,0,0.000,0,,,,
21.600,-0.4425,0.5341,0.00102,,,0,IDLE code=0; status_seq=1,0,,3163,0,0,0,0.000,0,,,,
21.800,-0.4417,0.5311,0.00110,,,0,IDLE code=0; status_seq=1,0,,3163,0,0,0,0.000,0,,,,
22.000,-0.4453,0.5290,-0.00173,,,0,IDLE code=0; status_seq=1,0,,3163,0,0,0,0.000,0,,,,
22.200,-0.4506,0.5310,0.00110,,,0,IDLE code=0; status_seq=1,0,,3163,0,0,0,0.000,0,,,,
22.401,-0.4543,0.5326,0.00235,,,0,IDLE code=0; status_seq=1,0,,3163,0,0,0,0.000,0,,,,
22.600,-0.4543,0.5326,0.00235,,,0,IDLE code=0; status_seq=1,0,,2942,0,0,0,0.000,0,,,,
22.801,-0.4645,0.5370,0.00318,,,0,IDLE code=0; status_seq=1,0,,2942,0,0,0,0.000,0,,,,
23.001,-0.4699,0.5361,-0.00531,,,0,IDLE code=0; status_seq=1,0,,2942,0,0,0,0.000,0,,,,
23.201,-0.4801,0.5446,-0.00403,,,0,IDLE code=0; status_seq=1,0,,2942,0,0,0,0.000,0,,,,
23.400,-0.4852,0.5488,0.00335,,,0,IDLE code=0; status_seq=1,0,,2942,0,0,0,0.000,0,,,,
23.600,-0.4852,0.5488,0.00335,,,0,IDLE code=0; status_seq=1,0,,2942,0,0,0,0.000,0,,,,
23.800,-0.4929,0.5486,-0.00450,,,0,IDLE code=0; status_seq=1,0,,2979,0,0,0,0.000,0,,,,
24.000,-0.5069,0.5662,-0.00265,,,0,IDLE code=0; status_seq=1,0,,2979,0,0,0,0.000,0,,,,
24.201,-0.5104,0.5691,0.00286,,,0,IDLE code=0; status_seq=1,0,,2979,0,0,0,0.000,0,,,,
24.401,-0.5091,0.5711,0.00037,,,0,IDLE code=0; status_seq=1,0,,2979,0,0,0,0.000,0,,,,
24.600,-0.5094,0.5720,0.00184,,,0,IDLE code=0; status_seq=1,0,,2979,0,0,0,0.000,0,,,,
24.800,-0.5094,0.5720,0.00184,,,0,IDLE code=0; status_seq=1,0,,2979,0,0,0,0.000,0,,,,
25.000,-0.4942,0.5701,-0.00105,,,0,IDLE code=0; status_seq=1,0,,3090,0,0,0,0.000,0,,,,
25.200,-0.4799,0.5656,0.00122,,,0,IDLE code=0; status_seq=1,0,,3090,0,0,0,0.000,0,,,,
25.400,-0.4704,0.5623,0.00083,,,0,IDLE code=0; status_seq=1,0,,3090,0,0,0,0.000,0,,,,
25.601,-0.4663,0.5590,0.00033,,,0,IDLE code=0; status_seq=1,0,,3090,0,0,0,0.000,0,,,,
25.800,-0.4630,0.5584,0.00035,,,0,IDLE code=0; status_seq=1,0,,3090,0,0,0,0.000,0,,,,
26.001,-0.4580,0.5556,-0.00028,,,0,IDLE code=0; status_seq=1,0,,3115,0,0,0,0.000,0,,,,
26.200,-0.4517,0.5529,0.00032,,,0,IDLE code=0; status_seq=1,0,,3115,0,0,0,0.000,0,,,,
26.400,-0.4517,0.5529,0.00032,,,0,IDLE code=0; status_seq=1,0,,3115,0,0,0,0.000,0,,,,
26.600,-0.4427,0.5478,-0.00072,,,0,IDLE code=0; status_seq=1,0,,3115,0,0,0,0.000,0,,,,
26.800,-0.4428,0.5466,-0.00214,,,0,IDLE code=0; status_seq=1,0,,3115,0,0,0,0.000,0,,,,
27.000,-0.4444,0.5462,-0.00232,,,0,IDLE code=0; status_seq=1,0,,3115,0,0,0,0.000,0,,,,
27.200,-0.4460,0.5455,-0.00263,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
27.401,-0.4487,0.5449,-0.00075,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
27.601,-0.4496,0.5463,0.00257,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
27.801,-0.4604,0.5488,0.00321,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
28.000,-0.4650,0.5480,-0.00169,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
28.201,-0.4778,0.5529,-0.00318,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
28.401,-0.4826,0.5560,0.00331,,,0,IDLE code=0; status_seq=1,0,,3083,0,0,0,0.000,0,,,,
28.600,-0.4826,0.5560,0.00331,,,0,IDLE code=0; status_seq=1,0,,2967,0,0,0,0.000,0,,,,
28.800,-0.4980,0.5569,-0.00372,,,0,IDLE code=0; status_seq=1,0,,2967,0,0,0,0.000,0,,,,
29.001,-0.5146,0.5674,-0.00030,,,0,IDLE code=0; status_seq=1,0,,2967,0,0,0,0.000,0,,,,
29.201,-0.5213,0.5694,0.00048,,,0,IDLE code=0; status_seq=1,0,,2967,0,0,0,0.000,0,,,,
29.400,-0.5221,0.5690,-0.00047,,,0,IDLE code=0; status_seq=1,0,,2967,0,0,0,0.000,0,,,,
29.600,-0.5223,0.5697,0.00212,,,0,IDLE code=0; status_seq=1,0,,2967,0,0,0,0.000,0,,,,
29.801,-0.5188,0.5679,-0.00116,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
30.001,-0.5122,0.5656,-0.00026,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
30.200,-0.5067,0.5631,-0.00084,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
30.400,-0.4998,0.5593,0.00037,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
30.601,-0.4942,0.5566,0.00036,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
30.801,-0.4853,0.5538,0.00038,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
31.000,-0.4853,0.5538,0.00038,,,0,IDLE code=0; status_seq=1,0,,3043,0,0,0,0.000,0,,,,
31.201,-0.4750,0.5582,-0.00056,,,0,IDLE code=0; status_seq=1,0,,3093,0,0,0,0.000,0,,,,
31.400,-0.4641,0.5483,0.00017,,,0,IDLE code=0; status_seq=1,0,,3093,0,0,0,0.000,0,,,,
31.601,-0.4574,0.5465,0.00049,,,0,IDLE code=0; status_seq=1,0,,3093,0,0,0,0.000,0,,,,
31.801,-0.4551,0.5463,0.00004,,,0,IDLE code=0; status_seq=1,0,,3093,0,0,0,0.000,0,,,,
32.000,-0.4551,0.5463,0.00004,,,0,IDLE code=0; status_seq=1,0,,3093,0,0,0,0.000,0,,,,
32.200,-0.4551,0.5463,0.00004,,,0,IDLE code=0; status_seq=1,0,,3011,0,0,0,0.000,0,,,,
32.400,-0.4674,0.5583,-0.00019,,,0,IDLE code=0; status_seq=1,0,,3011,0,0,0,0.000,0,,,,
32.601,-0.4739,0.5667,-0.00138,,,0,IDLE code=0; status_seq=1,0,,3011,0,0,0,0.000,0,,,,
32.801,-0.4818,0.5728,0.00166,,,0,IDLE code=0; status_seq=1,0,,3011,0,0,0,0.000,0,,,,
33.000,-0.4857,0.5768,0.00273,,,0,IDLE code=0; status_seq=1,0,,3011,0,0,0,0.000,0,,,,
33.201,-0.4911,0.5791,-0.00220,,,0,IDLE code=0; status_seq=1,0,,2915,0,0,0,0.000,0,,,,
33.401,-0.4988,0.5819,-0.00455,,,0,IDLE code=0; status_seq=1,0,,2915,0,0,0,0.000,0,,,,
33.600,-0.5027,0.5854,0.00352,,,0,IDLE code=0; status_seq=1,0,,2915,0,0,0,0.000,0,,,,
33.801,-0.5054,0.5849,-0.00079,,,0,IDLE code=0; status_seq=1,0,,2915,0,0,0,0.000,0,,,,
