wall_time,t,event,detail
2026-09-01T14:52:16+0800,0.000,recorder_started,prefix=/home/jkjkzhang/lidar_project/report3/data/static_plan_20260901_plan09
2026-09-01T14:52:17+0800,0.932,goal_status,IDLE code=0; status_seq=1
2026-09-01T14:52:33+0800,16.966,goal_received,frame=camera_init; x=18.000; y=0.000
2026-09-01T14:52:33+0800,16.969,goal_status,QUEUED code=1; waiting for Nav2 action server; status_seq=2
2026-09-01T14:52:33+0800,16.972,goal_status,ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T14:52:33+0800,16.990,plan_received,id=1; source=/plan; points=20; frame=camera_init; world_frame=camera_init
2026-09-01T14:52:33+0800,16.991,plan_received,id=2; source=/unsmoothed_plan; points=20; frame=camera_init; world_frame=camera_init
2026-09-01T14:52:33+0800,17.009,plan_received,id=3; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:33+0800,17.110,plan_received,id=4; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:33+0800,17.209,plan_received,id=5; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:33+0800,17.308,plan_received,id=6; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,17.409,plan_received,id=7; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,17.509,plan_received,id=8; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,17.610,plan_received,id=9; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,17.710,plan_received,id=10; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,17.810,plan_received,id=11; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,17.909,plan_received,id=12; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,18.010,plan_received,id=13; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,18.109,plan_received,id=14; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,18.209,plan_received,id=15; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:34+0800,18.309,plan_received,id=16; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,18.409,plan_received,id=17; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,18.510,plan_received,id=18; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,18.609,plan_received,id=19; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,18.709,plan_received,id=20; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,18.811,plan_received,id=21; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,18.909,plan_received,id=22; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,19.009,plan_received,id=23; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,19.109,plan_received,id=24; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,19.209,plan_received,id=25; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:35+0800,19.309,plan_received,id=26; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,19.409,plan_received,id=27; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,19.509,plan_received,id=28; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,19.608,plan_received,id=29; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,19.710,plan_received,id=30; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,19.809,plan_received,id=31; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,19.909,plan_received,id=32; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,20.009,plan_received,id=33; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,20.109,plan_received,id=34; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,20.208,plan_received,id=35; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:36+0800,20.309,plan_received,id=36; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,20.409,plan_received,id=37; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,20.508,plan_received,id=38; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,20.610,plan_received,id=39; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,20.709,plan_received,id=40; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,20.809,plan_received,id=41; source=/received_global_plan; points=20; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,20.909,plan_received,id=42; source=/received_global_plan; points=19; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,21.009,plan_received,id=43; source=/received_global_plan; points=19; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,21.020,plan_received,id=44; source=/unsmoothed_plan; points=24; frame=camera_init; world_frame=camera_init
2026-09-01T14:52:37+0800,21.021,plan_received,id=45; source=/plan; points=24; frame=camera_init; world_frame=camera_init
2026-09-01T14:52:37+0800,21.109,plan_received,id=46; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,21.209,plan_received,id=47; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T14:52:37+0800,21.309,plan_received,id=48; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
