wall_time,t,event,detail
2026-09-01T16:36:26+0800,0.000,recorder_started,prefix=/home/jkjkzhang/lidar_project/report3/data/static_plan_20260901_plan10
2026-09-01T16:36:26+0800,0.403,goal_status,IDLE code=0; status_seq=1
2026-09-01T16:36:42+0800,16.478,goal_received,frame=camera_init; x=18.000; y=0.000
2026-09-01T16:36:42+0800,16.479,goal_status,QUEUED code=1; waiting for Nav2 action server; status_seq=2
2026-09-01T16:36:42+0800,16.482,goal_status,ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T16:36:42+0800,16.500,plan_received,id=1; source=/unsmoothed_plan; points=24; frame=camera_init; world_frame=camera_init
2026-09-01T16:36:42+0800,16.501,plan_received,id=2; source=/plan; points=24; frame=camera_init; world_frame=camera_init
2026-09-01T16:36:42+0800,16.521,plan_received,id=3; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:42+0800,16.621,plan_received,id=4; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:42+0800,16.721,plan_received,id=5; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,16.822,plan_received,id=6; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,16.922,plan_received,id=7; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.021,plan_received,id=8; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.121,plan_received,id=9; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.221,plan_received,id=10; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.321,plan_received,id=11; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.421,plan_received,id=12; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.521,plan_received,id=13; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.621,plan_received,id=14; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:43+0800,17.721,plan_received,id=15; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,17.821,plan_received,id=16; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,17.922,plan_received,id=17; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.021,plan_received,id=18; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.121,plan_received,id=19; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.222,plan_received,id=20; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.321,plan_received,id=21; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.421,plan_received,id=22; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.523,plan_received,id=23; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.621,plan_received,id=24; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:44+0800,18.721,plan_received,id=25; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,18.822,plan_received,id=26; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,18.921,plan_received,id=27; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.021,plan_received,id=28; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.122,plan_received,id=29; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.221,plan_received,id=30; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.321,plan_received,id=31; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.421,plan_received,id=32; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.521,plan_received,id=33; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.621,plan_received,id=34; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:45+0800,19.721,plan_received,id=35; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,19.821,plan_received,id=36; source=/received_global_plan; points=24; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,19.922,plan_received,id=37; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.022,plan_received,id=38; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.121,plan_received,id=39; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.221,plan_received,id=40; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.322,plan_received,id=41; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.421,plan_received,id=42; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.521,plan_received,id=43; source=/received_global_plan; points=23; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.531,plan_received,id=44; source=/unsmoothed_plan; points=11; frame=camera_init; world_frame=camera_init
2026-09-01T16:36:46+0800,20.532,plan_received,id=45; source=/plan; points=11; frame=camera_init; world_frame=camera_init
2026-09-01T16:36:46+0800,20.622,plan_received,id=46; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:46+0800,20.721,plan_received,id=47; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,20.822,plan_received,id=48; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,20.921,plan_received,id=49; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.021,plan_received,id=50; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.121,plan_received,id=51; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.221,plan_received,id=52; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.321,plan_received,id=53; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.421,plan_received,id=54; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.521,plan_received,id=55; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.621,plan_received,id=56; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:47+0800,21.722,plan_received,id=57; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,21.821,plan_received,id=58; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,21.921,plan_received,id=59; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,22.021,plan_received,id=60; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,22.121,plan_received,id=61; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,22.220,plan_received,id=62; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,22.321,plan_received,id=63; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T16:36:48+0800,22.421,plan_received,id=64; source=/received_global_plan; points=11; frame=wamv/wamv/base_link; world_frame=camera_init
