plan_id,t,source,frame_id,point_index,x,y,yaw,raw_x,raw_y,raw_yaw
1,17.434,/plan,camera_init,0,-0.3538,0.3711,0.11344,-0.3538,0.3711,0.11344
1,17.434,/plan,camera_init,1,1.5498,0.5880,0.15622,1.5498,0.5880,0.15622
1,17.434,/plan,camera_init,2,3.4427,0.8861,0.16904,3.4427,0.8861,0.16904
1,17.434,/plan,camera_init,3,5.3324,1.2086,0.14671,5.3324,1.2086,0.14671
1,17.434,/plan,camera_init,4,7.2276,1.4887,0.05281,7.2276,1.4887,0.05281
1,17.434,/plan,camera_init,5,9.1333,1.5894,-0.05219,9.1333,1.5894,-0.05219
1,17.434,/plan,camera_init,6,10.6791,1.5087,-0.14686,10.6791,1.5087,-0.14686
1,17.434,/plan,camera_init,7,11.6296,1.3681,-0.23266,11.6296,1.3681,-0.23266
1,17.434,/plan,camera_init,8,12.3957,1.1866,-0.27569,12.3957,1.1866,-0.27569
1,17.434,/plan,camera_init,9,13.1046,0.9860,-0.28976,13.1046,0.9860,-0.28976
1,17.434,/plan,camera_init,10,13.7964,0.7798,-0.29115,13.7964,0.7798,-0.29115
1,17.434,/plan,camera_init,11,14.4835,0.5738,-0.27011,14.4835,0.5738,-0.27011
1,17.434,/plan,camera_init,12,15.1733,0.3829,-0.22089,15.1733,0.3829,-0.22089
1,17.434,/plan,camera_init,13,15.8708,0.2262,-0.16057,15.8708,0.2262,-0.16057
1,17.434,/plan,camera_init,14,16.5760,0.1120,-0.09693,16.5760,0.1120,-0.09693
1,17.434,/plan,camera_init,15,17.2868,0.0429,-0.06010,17.2868,0.0429,-0.06010
1,17.434,/plan,camera_init,16,18.0000,0.0000,0.00000,18.0000,0.0000,0.00000
2,17.435,/unsmoothed_plan,camera_init,0,-0.3538,0.3711,0.00000,-0.3538,0.3711,0.00000
2,17.435,/unsmoothed_plan,camera_init,1,1.5564,0.5382,0.17453,1.5564,0.5382,0.17453
2,17.435,/unsmoothed_plan,camera_init,2,3.4447,0.8712,0.17453,3.4447,0.8712,0.17453
2,17.435,/unsmoothed_plan,camera_init,3,5.3330,1.2042,0.17453,5.3330,1.2042,0.17453
2,17.435,/unsmoothed_plan,camera_init,4,7.2213,1.5371,0.17453,7.2213,1.5371,0.17453
2,17.435,/unsmoothed_plan,camera_init,5,9.1314,1.7042,0.00000,9.1314,1.7042,0.00000
2,17.435,/unsmoothed_plan,camera_init,6,11.0415,1.5371,-0.17453,11.0415,1.5371,-0.17453
2,17.435,/unsmoothed_plan,camera_init,7,11.7416,1.3901,-0.34907,11.7416,1.3901,-0.34907
2,17.435,/unsmoothed_plan,camera_init,8,12.4308,1.1982,-0.34907,12.4308,1.1982,-0.34907
2,17.435,/unsmoothed_plan,camera_init,9,13.1151,0.9895,-0.34907,13.1151,0.9895,-0.34907
2,17.435,/unsmoothed_plan,camera_init,10,13.7995,0.7808,-0.34907,13.7995,0.7808,-0.34907
2,17.435,/unsmoothed_plan,camera_init,11,14.4839,0.5721,-0.34907,14.4839,0.5721,-0.34907
2,17.435,/unsmoothed_plan,camera_init,12,15.1702,0.3702,-0.34907,15.1702,0.3702,-0.34907
2,17.435,/unsmoothed_plan,camera_init,13,15.8671,0.2088,-0.34907,15.8671,0.2088,-0.34907
2,17.435,/unsmoothed_plan,camera_init,14,16.5731,0.0929,-0.17453,16.5731,0.0929,-0.17453
2,17.435,/unsmoothed_plan,camera_init,15,17.2850,0.0233,-0.17453,17.2850,0.0233,-0.17453
2,17.435,/unsmoothed_plan,camera_init,16,18.0000,0.0000,0.00000,18.0000,0.0000,0.00000
3,17.449,/received_global_plan,wamv/wamv/base_link,0,-0.3533,0.3714,0.11334,0.0007,0.0002,0.11258
3,17.449,/received_global_plan,wamv/wamv/base_link,1,1.5498,0.5880,0.15613,1.9042,0.2154,0.15536
3,17.449,/received_global_plan,wamv/wamv/base_link,2,3.4422,0.8859,0.16895,3.7971,0.5119,0.16819
3,17.449,/received_global_plan,wamv/wamv/base_link,3,5.3314,1.2082,0.14662,5.6868,0.8327,0.14586
3,17.449,/received_global_plan,wamv/wamv/base_link,4,7.2263,1.4881,0.05271,7.5821,1.1111,0.05194
3,17.449,/received_global_plan,wamv/wamv/base_link,5,9.1315,1.5886,-0.05230,9.4876,1.2102,-0.05307
3,17.449,/received_global_plan,wamv/wamv/base_link,6,10.6769,1.5077,-0.14699,11.0331,1.1281,-0.14775
3,17.449,/received_global_plan,wamv/wamv/base_link,7,11.6272,1.3670,-0.23279,11.9834,0.9867,-0.23355
3,17.449,/received_global_plan,wamv/wamv/base_link,8,12.3931,1.1854,-0.27582,12.7493,0.8045,-0.27658
3,17.449,/received_global_plan,wamv/wamv/base_link,9,13.1019,0.9848,-0.28990,13.4580,0.6033,-0.29066
3,17.449,/received_global_plan,wamv/wamv/base_link,10,13.7934,0.7785,-0.29129,14.1494,0.3965,-0.29205
3,17.449,/received_global_plan,wamv/wamv/base_link,11,14.4804,0.5725,-0.27025,14.8364,0.1899,-0.27101
3,17.449,/received_global_plan,wamv/wamv/base_link,12,15.1700,0.3814,-0.22102,15.5259,-0.0017,-0.22178
3,17.449,/received_global_plan,wamv/wamv/base_link,13,15.8673,0.2247,-0.16069,16.2231,-0.1589,-0.16146
3,17.449,/received_global_plan,wamv/wamv/base_link,14,16.5724,0.1104,-0.09705,16.9282,-0.2737,-0.09781
3,17.449,/received_global_plan,wamv/wamv/base_link,15,17.2830,0.0412,-0.06021,17.6389,-0.3435,-0.06098
3,17.449,/received_global_plan,wamv/wamv/base_link,16,17.9961,-0.0018,-0.00011,18.3519,-0.3870,-0.00087
4,17.550,/received_global_plan,wamv/wamv/base_link,0,-0.3531,0.3711,0.11310,-0.0024,-0.0016,0.11542
4,17.550,/received_global_plan,wamv/wamv/base_link,1,1.5502,0.5873,0.15589,1.9006,0.2190,0.15821
4,17.550,/received_global_plan,wamv/wamv/base_link,2,3.4427,0.8848,0.16871,3.7926,0.5209,0.17103
4,17.550,/received_global_plan,wamv/wamv/base_link,3,5.3321,1.2067,0.14638,5.6815,0.8471,0.14870
4,17.550,/received_global_plan,wamv/wamv/base_link,4,7.2270,1.4861,0.05247,7.5760,1.1309,0.05479
4,17.550,/received_global_plan,wamv/wamv/base_link,5,9.1323,1.5861,-0.05254,9.4812,1.2354,-0.05022
4,17.550,/received_global_plan,wamv/wamv/base_link,6,10.6777,1.5049,-0.14723,11.0270,1.1577,-0.14490
4,17.550,/received_global_plan,wamv/wamv/base_link,7,11.6279,1.3639,-0.23303,11.9777,1.0190,-0.23071
4,17.550,/received_global_plan,wamv/wamv/base_link,8,12.3938,1.1821,-0.27606,12.7441,0.8390,-0.27374
4,17.550,/received_global_plan,wamv/wamv/base_link,9,13.1025,0.9813,-0.29014,13.4533,0.6398,-0.28782
4,17.550,/received_global_plan,wamv/wamv/base_link,10,13.7940,0.7748,-0.29153,14.1453,0.4349,-0.28921
4,17.550,/received_global_plan,wamv/wamv/base_link,11,14.4809,0.5687,-0.27049,14.8328,0.2304,-0.26817
4,17.550,/received_global_plan,wamv/wamv/base_link,12,15.1705,0.3775,-0.22126,15.5229,0.0408,-0.21894
4,17.550,/received_global_plan,wamv/wamv/base_link,13,15.8677,0.2206,-0.16094,16.2206,-0.1145,-0.15861
4,17.550,/received_global_plan,wamv/wamv/base_link,14,16.5727,0.1061,-0.09729,16.9259,-0.2273,-0.09496
4,17.550,/received_global_plan,wamv/wamv/base_link,15,17.2833,0.0368,-0.06045,17.6368,-0.2950,-0.05813
4,17.550,/received_global_plan,wamv/wamv/base_link,16,17.9964,-0.0064,-0.00035,18.3500,-0.3365,0.00197
5,17.649,/received_global_plan,wamv/wamv/base_link,0,-0.3546,0.3717,0.11358,-0.0063,0.0014,0.11296
5,17.649,/received_global_plan,wamv/wamv/base_link,1,1.5485,0.5888,0.15637,1.8971,0.2173,0.15575
5,17.649,/received_global_plan,wamv/wamv/base_link,2,3.4408,0.8872,0.16919,3.7899,0.5146,0.16858
5,17.649,/received_global_plan,wamv/wamv/base_link,3,5.3299,1.2099,0.14686,5.6795,0.8361,0.14624
5,17.649,/received_global_plan,wamv/wamv/base_link,4,7.2247,1.4903,0.05295,7.5746,1.1153,0.05233
5,17.649,/received_global_plan,wamv/wamv/base_link,5,9.1298,1.5912,-0.05206,9.4801,1.2151,-0.05268
5,17.649,/received_global_plan,wamv/wamv/base_link,6,10.6753,1.5107,-0.14675,11.0257,1.1336,-0.14736
5,17.649,/received_global_plan,wamv/wamv/base_link,7,11.6256,1.3702,-0.23255,11.9760,0.9925,-0.23316
5,17.649,/received_global_plan,wamv/wamv/base_link,8,12.3916,1.1888,-0.27558,12.7420,0.8106,-0.27620
5,17.649,/received_global_plan,wamv/wamv/base_link,9,13.1003,0.9883,-0.28966,13.4507,0.6097,-0.29027
5,17.649,/received_global_plan,wamv/wamv/base_link,10,13.7920,0.7822,-0.29105,14.1423,0.4032,-0.29166
5,17.649,/received_global_plan,wamv/wamv/base_link,11,14.4790,0.5764,-0.27001,14.8293,0.1969,-0.27062
5,17.649,/received_global_plan,wamv/wamv/base_link,12,15.1687,0.3855,-0.22078,15.5189,0.0056,-0.22140
5,17.649,/received_global_plan,wamv/wamv/base_link,13,15.8660,0.2290,-0.16045,16.2162,-0.1514,-0.16107
5,17.649,/received_global_plan,wamv/wamv/base_link,14,16.5711,0.1148,-0.09681,16.9213,-0.2659,-0.09742
5,17.649,/received_global_plan,wamv/wamv/base_link,15,17.2817,0.0458,-0.05997,17.6320,-0.3354,-0.06059
5,17.649,/received_global_plan,wamv/wamv/base_link,16,17.9948,0.0030,0.00013,18.3451,-0.3786,-0.00049
6,17.750,/received_global_plan,wamv/wamv/base_link,0,-0.3540,0.3710,0.11470,-0.0077,0.0010,0.11599
