t,source,point_index,x,y,z
1.516,raw,0,-5.5832,-6.0505,0.5714
1.516,raw,9,-5.4320,-6.2222,0.5677
1.516,raw,19,-5.2794,-6.4343,0.5590
1.516,raw,29,-5.1187,-6.6422,0.5504
1.516,raw,39,-4.9778,-6.8833,0.5355
1.516,raw,48,-4.8370,-7.0896,0.5235
1.516,raw,58,-4.6939,-7.3492,0.5046
1.516,raw,68,-6.0437,-6.7101,0.6875
1.516,raw,78,-5.8912,-6.9551,0.6778
1.516,raw,88,-5.7347,-7.2030,0.6672
1.516,raw,97,-5.6043,-7.4476,0.6542
1.516,raw,107,-5.4282,-7.6878,0.6439
1.516,raw,117,-5.2675,-7.9606,0.6286
1.516,raw,127,-5.0676,-8.1859,0.6194
1.516,raw,137,-4.8879,-8.4546,0.6038
1.516,raw,146,-4.2822,-7.9184,0.6930
1.516,raw,156,-4.0750,-8.1127,0.6846
1.516,raw,166,-4.2971,-9.1976,0.5603
1.516,raw,176,-4.0867,-9.4762,0.5414
1.516,raw,185,-3.8950,-9.7423,0.5220
1.516,raw,195,-3.6595,-10.0086,0.5036
1.516,raw,205,-6.6859,-7.3752,0.8285
1.516,raw,215,-6.5528,-7.6832,0.8153
1.516,raw,225,-6.3550,-7.9247,0.8098
1.516,raw,234,-6.2356,-8.2234,0.7950
1.516,raw,244,-6.0510,-8.5006,0.7846
1.516,raw,254,-5.8582,-8.7775,0.7739
1.516,raw,264,-5.6455,-9.0363,0.7647
1.516,raw,274,-5.4285,-9.2994,0.7545
1.516,raw,283,-4.2989,-7.8923,0.9198
1.516,raw,293,-4.0707,-8.0454,0.9174
1.516,raw,303,-4.8152,-10.1835,0.7097
1.516,raw,313,-4.5513,-10.4204,0.7003
1.516,raw,322,-4.3387,-10.7057,0.6841
1.516,raw,332,-4.1109,-11.0740,0.6605
1.516,raw,342,-3.8226,-11.3179,0.6487
1.516,raw,352,-3.6230,-11.8580,0.6074
1.516,raw,362,-3.3643,-12.2893,0.5764
1.516,raw,371,-3.1336,-12.7505,0.5410
1.516,raw,381,-7.8801,-7.4720,1.0134
1.516,raw,391,-7.7438,-7.7998,1.0043
1.516,raw,401,-7.5526,-8.0803,0.9995
1.516,raw,411,-7.3640,-8.3703,0.9935
1.516,raw,420,-7.1897,-8.6330,0.9876
1.516,raw,430,-6.9934,-8.9302,0.9802
1.516,raw,440,-6.7852,-9.2222,0.9730
1.516,raw,450,-6.5813,-9.5312,0.9640
1.516,raw,459,-6.4121,-9.8430,0.9528
1.516,raw,469,-6.2063,-10.1800,0.9409
1.516,raw,479,-4.4599,-7.8972,1.1380
1.516,raw,489,-4.1562,-7.9161,1.1472
1.516,raw,499,-5.5155,-11.1863,0.9038
1.516,raw,508,-5.2616,-11.4342,0.8962
1.516,raw,518,-5.0261,-11.8324,0.8780
1.516,raw,528,-4.7312,-12.1260,0.8673
1.516,raw,538,-4.4791,-12.5601,0.8458
1.516,raw,548,-4.2423,-13.0950,0.8165
1.516,raw,557,-4.0138,-13.5980,0.7885
1.516,raw,567,-3.7901,-14.3556,0.7428
1.516,raw,577,-3.5052,-15.0275,0.7030
1.516,raw,587,-3.1878,-15.7072,0.6624
1.516,raw,596,-2.8822,-16.3696,0.6219
1.516,raw,606,-2.5855,-17.5873,0.5428
1.516,raw,616,-10.2591,-4.9450,1.2586
1.516,raw,626,-10.1510,-5.2750,1.2560
1.516,raw,636,-10.0743,-5.6272,1.2513
1.516,raw,645,-9.9265,-5.9024,1.2507
1.516,raw,655,-9.8019,-6.2352,1.2474
1.516,raw,665,-9.6559,-6.5585,1.2447
1.516,raw,675,-9.5645,-6.9266,1.2383
1.516,raw,685,-9.3785,-7.2313,1.2367
1.516,raw,694,-9.2294,-7.5232,1.2337
1.516,raw,704,-9.0913,-7.8774,1.2281
1.516,raw,714,-8.8923,-8.1852,1.2254
1.516,raw,724,-8.7023,-8.5070,1.2216
1.516,raw,734,-8.4990,-8.8223,1.2179
1.516,raw,743,-8.3508,-9.1505,1.2116
1.516,raw,753,-8.1807,-9.5220,1.2041
1.516,raw,763,-7.9243,-9.8029,1.2018
1.516,raw,773,-7.7253,-10.1639,1.1946
1.516,raw,782,-7.5567,-10.5170,1.1863
1.516,raw,792,-7.2931,-10.8181,1.1820
1.516,raw,802,-7.1010,-11.2408,1.1708
1.516,raw,812,-6.8221,-11.5476,1.1657
1.516,raw,822,-4.2877,-7.8725,1.3683
1.516,raw,831,-4.0654,-7.9770,1.3690
1.516,raw,841,-6.0802,-12.6651,1.1373
1.516,raw,851,-5.8631,-13.1950,1.1197
1.516,raw,861,-5.5479,-13.5516,1.1107
1.516,raw,871,-5.2345,-13.9450,1.0995
1.516,raw,880,-5.0824,-14.6945,1.0700
1.516,raw,890,-4.8395,-15.4300,1.0420
1.516,raw,900,-4.5720,-16.2083,1.0118
1.516,raw,910,-4.5446,-18.0344,0.9322
1.516,raw,919,-5.2214,-22.9775,0.7065
1.516,raw,929,-4.7523,-24.1068,0.6610
1.516,raw,939,-4.1591,-24.8727,0.6319
1.516,raw,949,-3.4716,-25.2613,0.6196
1.516,raw,959,-2.7743,-25.7040,0.6038
1.516,raw,968,-2.1239,-26.0466,0.5915
1.516,raw,978,-1.3883,-26.4899,0.5741
1.516,raw,988,-0.6253,-26.8056,0.5615
1.516,raw,998,0.1547,-27.0587,0.5508
1.516,raw,1008,0.9520,-27.4632,0.5321
1.516,raw,1017,1.6902,-27.8244,0.5145
1.516,raw,1027,22.1470,9.5587,0.7247
1.516,raw,1037,25.4540,11.8111,0.5457
1.516,raw,1047,-17.6110,21.4110,0.5407
1.516,raw,1056,-17.2217,19.9101,0.6037
1.516,raw,1066,-16.8645,18.4422,0.6638
1.516,raw,1076,-16.7201,17.2905,0.7058
1.516,raw,1086,-16.4402,16.0840,0.7530
1.516,raw,1096,-15.9860,14.8027,0.8075
1.516,raw,1105,-15.7689,13.8859,0.8422
1.516,raw,1115,-15.5470,12.9408,0.8772
1.516,raw,1125,-15.1071,11.8881,0.9222
1.516,raw,1135,-14.9299,11.0879,0.9500
1.516,raw,1145,-11.0465,7.8933,1.1779
1.516,raw,1154,-11.2815,7.6231,1.1756
1.516,raw,1164,-14.3596,8.9574,1.0242
1.516,raw,1174,-14.0489,8.2308,1.0527
1.516,raw,1184,-13.7882,7.5695,1.0772
1.516,raw,1193,-13.7269,7.0857,1.0894
1.516,raw,1203,-13.9242,-0.0118,1.4843
1.516,raw,1213,-13.8029,-0.4167,1.4866
1.516,raw,1223,-13.6336,-0.8118,1.4897
1.516,raw,1233,-8.1835,-0.5938,1.6099
1.516,raw,1242,-8.0999,-0.8071,1.6111
1.516,raw,1252,-13.2231,-1.9293,1.4956
1.516,raw,1262,-13.0756,-2.3041,1.4973
1.516,raw,1272,-12.9346,-2.6761,1.4986
1.516,raw,1282,-12.8117,-3.0497,1.4993
1.516,raw,1291,-12.6874,-3.3807,1.5000
1.516,raw,1301,-12.5513,-3.7474,1.5005
1.516,raw,1311,-12.3957,-4.1061,1.5012
1.516,raw,1321,-12.0885,-4.4049,1.5053
1.516,raw,1330,-11.9805,-4.7339,1.5049
1.516,raw,1340,-11.8316,-5.0884,1.5048
1.516,raw,1350,-11.7110,-5.4572,1.5037
1.516,raw,1360,-11.5985,-5.8335,1.5022
1.516,raw,1370,-11.4951,-6.2198,1.5002
1.516,raw,1379,-11.2745,-6.4976,1.5014
1.516,raw,1389,-11.1499,-6.8787,1.4993
1.516,raw,1399,-11.0069,-7.2543,1.4975
1.516,raw,1409,-10.8542,-7.6294,1.4955
1.516,raw,1419,-10.5970,-7.9320,1.4961
1.516,raw,1428,-10.4569,-8.2760,1.4939
1.516,raw,1438,-10.3330,-8.6936,1.4902
1.516,raw,1448,-10.0754,-9.0045,1.4899
1.516,raw,1458,-9.9825,-9.4737,1.4844
1.516,raw,1468,-9.8947,-9.9688,1.4782
1.516,raw,1477,-9.6695,-10.2799,1.4767
1.516,raw,1487,-9.4156,-10.6281,1.4748
1.516,raw,1497,-9.3466,-11.2050,1.4661
1.516,raw,1507,-9.0903,-11.5818,1.4633
1.516,raw,1516,-8.8515,-11.9213,1.4605
1.516,raw,1526,-8.7863,-12.5957,1.4494
1.516,raw,1536,-8.5097,-13.0048,1.4453
1.516,raw,1546,-8.2211,-13.4152,1.4412
1.516,raw,1556,-7.9492,-13.8764,1.4356
1.516,raw,1565,-7.8967,-14.6679,1.4209
1.516,raw,1575,-9.2806,-18.4503,1.3329
1.516,raw,1585,-8.9977,-19.2704,1.3194
1.516,raw,1595,-8.7070,-20.1609,1.3042
1.516,raw,1605,-8.3900,-21.0931,1.2880
1.516,raw,1614,-8.0972,-22.0151,1.2715
1.516,raw,1624,-7.8359,-23.3660,1.2454
1.516,raw,1634,-7.4715,-24.6171,1.2217
1.516,raw,1644,-7.0480,-25.8884,1.1975
1.516,raw,1653,-6.6405,-27.1494,1.1729
1.516,raw,1663,-5.9170,-27.6553,1.1658
1.516,raw,1673,-5.1513,-28.0444,1.1608
1.516,raw,1683,-4.3785,-28.4742,1.1545
1.516,raw,1693,-3.5889,-28.9077,1.1476
1.516,raw,1702,-2.8644,-29.3176,1.1406
1.516,raw,1712,-2.0366,-29.7391,1.1330
1.516,raw,1722,-1.1944,-30.2762,1.1224
1.516,raw,1732,-0.3252,-30.8708,1.1100
1.516,raw,1742,0.5772,-31.4723,1.0969
1.516,raw,1751,1.4125,-31.8075,1.0892
1.516,raw,1761,2.3607,-32.1474,1.0807
1.516,raw,1771,3.3295,-32.4618,1.0722
1.516,raw,1781,4.3428,-32.9556,1.0590
1.516,raw,1790,5.3041,-33.5311,1.0436
1.516,raw,1800,25.5783,11.7804,1.1896
1.516,raw,1810,-22.8038,25.5164,1.0456
1.516,raw,1820,-22.3134,23.6086,1.0836
1.516,raw,1830,-21.6098,21.6312,1.1253
1.516,raw,1839,-20.8913,19.8987,1.1631
1.516,raw,1849,-20.4753,18.4413,1.1914
1.516,raw,1859,-19.6532,16.7463,1.2293
1.516,raw,1869,-18.9820,15.2915,1.2609
1.516,raw,1879,-18.6881,14.2111,1.2803
1.516,raw,1888,-18.1829,13.1255,1.3033
1.516,raw,1898,-11.0592,7.7613,1.4998
1.516,raw,1908,-17.4725,11.1842,1.3397
1.516,raw,1918,-17.1710,10.3245,1.3550
1.516,raw,1927,-17.2472,9.7741,1.3594
1.516,raw,1937,-16.9760,8.9988,1.3725
1.516,raw,1947,-16.7103,8.2634,1.3848
1.516,raw,1957,-16.4675,7.5720,1.3959
1.516,raw,1967,-16.2296,6.9130,1.4063
1.516,raw,1976,-16.0481,6.3561,1.4144
1.516,raw,1986,-16.1259,5.8528,1.4164
1.516,raw,1996,-15.8957,5.2623,1.4252
1.516,raw,2006,-15.6739,4.6973,1.4333
1.516,raw,2016,-15.4657,4.1568,1.4407
1.516,raw,2025,-15.3415,3.7002,1.4456
1.516,raw,2035,-15.1297,3.1928,1.4523
1.516,raw,2045,-14.9407,2.7062,1.4582
1.516,raw,2055,-14.7806,2.2382,1.4631
1.516,raw,2064,-14.6420,1.8281,1.4671
1.516,raw,2074,-14.4468,1.3805,1.4722
1.516,raw,2084,-14.3064,0.9479,1.4758
1.516,raw,2094,-14.1339,0.5240,1.4798
1.516,raw,2104,-33.9165,-0.1750,1.8465
1.516,raw,2113,-18.1531,-0.3963,1.8251
1.516,raw,2123,-32.8868,-1.9785,1.8452
1.516,raw,2133,-32.3683,-2.8898,1.8446
