t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
1.400,7.8449,3.2059,-0.13219,,,0,ABORTED code=6; status_seq=7,0,,1221,0,0,0,0.000,0,,,0.000,0.000
1.601,7.8848,3.1501,-0.13440,,,0,ABORTED code=6; status_seq=7,0,,1221,0,0,0,0.000,0,,,0.000,0.000
1.800,7.9025,3.1230,-0.13190,,,0,ABORTED code=6; status_seq=7,0,,1221,0,0,0,0.000,0,,,0.000,0.000
2.000,7.9128,3.1090,-0.13313,,,0,ABORTED code=6; status_seq=7,0,,1221,0,0,0,0.000,0,,,0.000,0.000
2.200,7.9206,3.0984,-0.13242,,,0,ABORTED code=6; status_seq=7,0,,1221,0,0,0,0.000,0,,,0.000,0.000
2.401,7.9176,3.0868,-0.13237,,,0,ABORTED code=6; status_seq=7,0,,1128,0,0,0,0.000,0,,,0.000,0.000
2.600,7.9231,3.0859,-0.13117,,,0,ABORTED code=6; status_seq=7,0,,1128,0,0,0,0.000,0,,,0.000,0.000
2.800,7.9231,3.0859,-0.13117,,,0,ABORTED code=6; status_seq=7,0,,1128,0,0,0,0.000,0,,,0.000,0.000
3.000,7.8834,3.1010,-0.13252,,,0,ABORTED code=6; status_seq=7,0,,1128,0,0,0,0.000,0,,,0.000,0.000
3.200,7.8630,3.1175,-0.13365,,,0,ABORTED code=6; status_seq=7,0,,1128,0,0,0,0.000,0,,,0.000,0.000
3.400,7.8440,3.1419,-0.13274,,,0,ABORTED code=6; status_seq=7,0,,1141,0,0,0,0.000,0,,,0.000,0.000
3.600,7.8347,3.1502,-0.13180,,,0,ABORTED code=6; status_seq=7,0,,1141,0,0,0,0.000,0,,,0.000,0.000
3.800,7.8347,3.1502,-0.13180,,,0,ABORTED code=6; status_seq=7,0,,1141,0,0,0,0.000,0,,,0.000,0.000
4.000,7.7592,3.2342,-0.13238,,,0,ABORTED code=6; status_seq=7,0,,1141,0,0,0,0.000,0,,,0.000,0.000
4.200,7.7549,3.2446,-0.13218,,,0,ABORTED code=6; status_seq=7,0,,1141,0,0,0,0.000,0,,,0.000,0.000
4.401,7.7436,3.2531,-0.13245,,,0,ABORTED code=6; status_seq=7,0,,1093,0,0,0,0.000,0,,,0.000,0.000
4.601,7.6927,3.3241,-0.13270,,,0,ABORTED code=6; status_seq=7,0,,1093,0,0,0,0.000,0,,,0.000,0.000
4.800,7.6804,3.3370,-0.13315,,,0,ABORTED code=6; status_seq=7,0,,1093,0,0,0,0.000,0,,,0.000,0.000
5.001,7.6804,3.3370,-0.13315,,,0,ABORTED code=6; status_seq=7,0,,1093,0,0,0,0.000,0,,,0.000,0.000
5.201,7.6702,3.3659,-0.13263,,,0,ABORTED code=6; status_seq=7,0,,1093,0,0,0,0.000,0,,,0.000,0.000
5.401,7.6629,3.3738,-0.13397,,,0,ABORTED code=6; status_seq=7,0,,1093,0,0,0,0.000,0,,,0.000,0.000
5.601,7.6669,3.3806,-0.13526,,,0,ABORTED code=6; status_seq=7,0,,2918,0,0,0,0.000,0,,,0.000,0.000
5.801,7.6729,3.3834,-0.13494,,,0,ABORTED code=6; status_seq=7,0,,2918,0,0,0,0.000,0,,,0.000,0.000
6.001,7.6794,3.3814,-0.13378,,,0,ABORTED code=6; status_seq=7,0,,2918,0,0,0,0.000,0,,,0.000,0.000
