metric,value
run_id,static_plan_20260901_plan22
trajectory_samples,524
duration_s,104.8
status,SUCCEEDED code=4; status_seq=4
succeeded,True
start_x,-0.1748
start_y,0.1812
goal_x,18.0
goal_y,0.0
final_x,19.9417
final_y,0.0497
final_goal_error_m,1.9423359596115197
direct_distance_m,18.17570324581693
actual_path_length_m,25.793128509608096
latest_plan_length_m,4.95521444876492
plan_snapshot_count,20
mean_plan_tracking_error_m,0.24358145646482
p95_plan_tracking_error_m,0.5890320279916872
max_plan_tracking_error_m,0.6919040684950477
mean_crosstrack_m,1.837988355735904
p95_crosstrack_m,3.562982916487934
max_crosstrack_m,3.6762945288171016
min_scenario_clearance_m,2.657004013922448
scenario_path_length_m,0.0
scenario_is_dynamic,False
scenario_samples,2
observed_obstacle_points,25200
min_logged_path_clearance_m,nan
safety_stop_samples,159
max_dynamic_tracks,0.0
max_dynamic_predicted_points,0.0
max_dynamic_speed_mps,0.0
left_peak_N,81.918
right_peak_N,87.1
terminal_left_N,0.0
terminal_right_N,0.0
terminal_thrust_zero,True
status_samples,524
