t,source,point_index,x,y,z
1.402,raw,0,-5.5369,-6.5559,0.5308
1.402,raw,9,-5.3976,-6.7524,0.5235
1.402,raw,19,-5.2576,-6.9937,0.5106
1.402,raw,29,-6.0681,-7.1705,0.6522
1.402,raw,39,-5.9427,-7.4587,0.6369
1.402,raw,48,-5.7807,-7.6688,0.6305
1.402,raw,58,-5.6246,-7.9390,0.6173
1.402,raw,68,-5.4691,-8.2214,0.6020
1.402,raw,78,-5.2882,-8.4806,0.5896
1.402,raw,88,-5.1280,-8.7835,0.5707
1.402,raw,97,-4.2744,-7.9131,0.7093
1.402,raw,107,-4.0583,-8.0782,0.7056
1.402,raw,117,-4.5234,-9.5192,0.5328
1.402,raw,127,-4.3035,-9.7800,0.5176
1.402,raw,136,-4.0783,-10.0478,0.5009
1.402,raw,146,-6.6354,-8.0636,0.7894
1.402,raw,156,-6.5068,-8.3982,0.7737
1.402,raw,166,-6.3087,-8.6612,0.7664
1.402,raw,176,-6.0930,-8.9085,0.7605
1.402,raw,185,-5.9263,-9.1758,0.7495
1.402,raw,195,-5.7583,-9.5121,0.7326
1.402,raw,205,-4.3787,-7.9273,0.9252
1.402,raw,215,-4.0945,-7.9794,0.9347
1.402,raw,224,-5.1089,-10.3227,0.6996
1.402,raw,234,-4.8874,-10.6390,0.6834
1.402,raw,244,-4.6596,-10.9661,0.6656
1.402,raw,254,-4.4278,-11.3122,0.6455
1.402,raw,264,-4.1435,-11.5638,0.6344
1.402,raw,273,-3.9479,-11.9662,0.6063
1.402,raw,283,-3.7064,-12.4007,0.5762
1.402,raw,293,-3.5012,-13.0138,0.5282
1.402,raw,303,-7.9200,-8.0305,0.9866
1.402,raw,312,-7.7637,-8.3054,0.9811
1.402,raw,322,-7.5716,-8.5988,0.9758
1.402,raw,332,-7.3731,-8.8920,0.9701
1.402,raw,342,-7.1869,-9.2076,0.9621
1.402,raw,352,-6.9736,-9.5003,0.9557
1.402,raw,361,-6.8141,-9.8148,0.9453
1.402,raw,371,-6.6067,-10.1382,0.9356
1.402,raw,381,-6.3951,-10.4700,0.9250
1.402,raw,391,-4.3696,-7.9128,1.1491
1.402,raw,400,-4.1125,-7.9570,1.1557
1.402,raw,410,-5.7361,-11.4616,0.8900
1.402,raw,420,-5.5032,-11.8375,0.8747
1.402,raw,430,-5.2264,-12.1520,0.8637
1.402,raw,440,-4.9839,-12.5672,0.8447
1.402,raw,449,-4.7258,-12.8803,0.8318
1.402,raw,459,-4.5290,-13.4985,0.7972
1.402,raw,469,-4.2742,-14.0383,0.7681
1.402,raw,479,-4.0242,-14.6751,0.7318
1.402,raw,489,-3.7846,-15.4606,0.6846
