plan_id,t,source,frame_id,point_index,x,y,yaw,raw_x,raw_y,raw_yaw
1,17.529,/unsmoothed_plan,camera_init,0,-0.0964,0.0814,0.00000,-0.0964,0.0814,0.00000
1,17.529,/unsmoothed_plan,camera_init,1,-1.3120,-0.0249,0.17453,-1.3120,-0.0249,0.17453
1,17.529,/unsmoothed_plan,camera_init,2,-0.1333,0.2909,0.34907,-0.1333,0.2909,0.34907
1,17.529,/unsmoothed_plan,camera_init,3,0.9725,0.8066,0.52360,0.9725,0.8066,0.52360
1,17.529,/unsmoothed_plan,camera_init,4,2.0292,1.4167,0.52360,2.0292,1.4167,0.52360
1,17.529,/unsmoothed_plan,camera_init,5,3.1351,1.9323,0.34907,3.1351,1.9323,0.34907
1,17.529,/unsmoothed_plan,camera_init,6,4.3137,2.2481,0.17453,4.3137,2.2481,0.17453
1,17.529,/unsmoothed_plan,camera_init,7,5.5292,2.3545,0.00000,5.5292,2.3545,0.00000
1,17.529,/unsmoothed_plan,camera_init,8,4.7720,2.3855,-0.17453,4.7720,2.3855,-0.17453
1,17.529,/unsmoothed_plan,camera_init,9,5.0764,2.3349,-0.17453,5.0764,2.3349,-0.17453
1,17.529,/unsmoothed_plan,camera_init,10,5.8183,2.1807,-0.34907,5.8183,2.1807,-0.34907
1,17.529,/unsmoothed_plan,camera_init,11,6.5452,1.9663,-0.34907,6.5452,1.9663,-0.34907
1,17.529,/unsmoothed_plan,camera_init,12,7.2521,1.6931,-0.52360,7.2521,1.6931,-0.52360
1,17.529,/unsmoothed_plan,camera_init,13,7.9342,1.3630,-0.52360,7.9342,1.3630,-0.52360
1,17.529,/unsmoothed_plan,camera_init,14,8.5950,0.9915,-0.52360,8.5950,0.9915,-0.52360
1,17.529,/unsmoothed_plan,camera_init,15,9.2771,0.6614,-0.52360,9.2771,0.6614,-0.52360
1,17.529,/unsmoothed_plan,camera_init,16,9.9840,0.3882,-0.34907,9.9840,0.3882,-0.34907
1,17.529,/unsmoothed_plan,camera_init,17,10.7109,0.1738,-0.34907,10.7109,0.1738,-0.34907
1,17.529,/unsmoothed_plan,camera_init,18,11.4529,0.0196,-0.17453,11.4529,0.0196,-0.17453
1,17.529,/unsmoothed_plan,camera_init,19,11.7572,-0.0310,-0.17453,11.7572,-0.0310,-0.17453
1,17.529,/unsmoothed_plan,camera_init,20,11.0000,0.0000,0.00000,11.0000,0.0000,0.00000
2,17.531,/plan,camera_init,0,-0.0964,0.0814,0.00000,-0.0964,0.0814,0.00000
2,17.531,/plan,camera_init,1,-1.3120,-0.0249,0.17453,-1.3120,-0.0249,0.17453
2,17.531,/plan,camera_init,2,-0.1333,0.2909,0.34907,-0.1333,0.2909,0.34907
2,17.531,/plan,camera_init,3,0.9725,0.8066,0.52360,0.9725,0.8066,0.52360
2,17.531,/plan,camera_init,4,2.0292,1.4167,0.52360,2.0292,1.4167,0.52360
2,17.531,/plan,camera_init,5,3.1351,1.9323,0.34907,3.1351,1.9323,0.34907
2,17.531,/plan,camera_init,6,4.3137,2.2481,0.17453,4.3137,2.2481,0.17453
2,17.531,/plan,camera_init,7,5.5292,2.3545,0.00000,5.5292,2.3545,0.00000
2,17.531,/plan,camera_init,8,4.7720,2.3855,-0.28786,4.7720,2.3855,-0.28786
2,17.531,/plan,camera_init,9,5.3660,2.2097,-0.30114,5.3660,2.2097,-0.30114
2,17.531,/plan,camera_init,10,5.9799,2.0190,-0.32433,5.9799,2.0190,-0.32433
2,17.531,/plan,camera_init,11,6.6166,1.8049,-0.35008,6.6166,1.8049,-0.35008
2,17.531,/plan,camera_init,12,7.2700,1.5664,-0.37031,7.2700,1.5664,-0.37031
2,17.531,/plan,camera_init,13,7.9322,1.3093,-0.37811,7.9322,1.3093,-0.37811
2,17.531,/plan,camera_init,14,8.5970,1.0452,-0.37031,8.5970,1.0452,-0.37031
2,17.531,/plan,camera_init,15,9.2592,0.7881,-0.35008,9.2592,0.7881,-0.35008
2,17.531,/plan,camera_init,16,9.9126,0.5496,-0.32433,9.9126,0.5496,-0.32433
2,17.531,/plan,camera_init,17,10.5493,0.3355,-0.30114,10.5493,0.3355,-0.30114
2,17.531,/plan,camera_init,18,11.1632,0.1448,-0.28786,11.1632,0.1448,-0.28786
2,17.531,/plan,camera_init,19,11.7572,-0.0310,-0.17453,11.7572,-0.0310,-0.17453
2,17.531,/plan,camera_init,20,11.0000,0.0000,0.00000,11.0000,0.0000,0.00000
2,17.705,/received_global_plan,wamv/wamv/base_link,0,-0.0969,0.0818,0.00007,-0.0050,0.0072,0.00067
2,17.705,/received_global_plan,wamv/wamv/base_link,1,-1.3124,-0.0246,0.17460,-1.2205,-0.0999,0.17520
2,17.705,/received_global_plan,wamv/wamv/base_link,2,-0.1338,0.2912,0.34914,-0.0421,0.2167,0.34974
2,17.705,/received_global_plan,wamv/wamv/base_link,3,0.9720,0.8070,0.52367,1.0634,0.7331,0.52427
2,17.705,/received_global_plan,wamv/wamv/base_link,4,2.0286,1.4171,0.52367,2.1197,1.3439,0.52427
2,17.705,/received_global_plan,wamv/wamv/base_link,5,3.1344,1.9329,0.34914,3.2252,1.8603,0.34974
2,17.705,/received_global_plan,wamv/wamv/base_link,6,4.3130,2.2488,0.17460,4.4036,2.1769,0.17520
2,17.705,/received_global_plan,wamv/wamv/base_link,7,5.5285,2.3552,0.00007,5.6190,2.2840,0.00067
2,17.705,/received_global_plan,wamv/wamv/base_link,8,4.7713,2.3862,-0.28779,4.8618,2.3146,-0.28719
2,17.705,/received_global_plan,wamv/wamv/base_link,9,5.3652,2.2104,-0.30107,5.4559,2.1391,-0.30047
2,17.705,/received_global_plan,wamv/wamv/base_link,10,5.9792,2.0197,-0.32426,6.0699,1.9488,-0.32367
2,17.705,/received_global_plan,wamv/wamv/base_link,11,6.6159,1.8057,-0.35002,6.7068,1.7352,-0.34942
2,17.705,/received_global_plan,wamv/wamv/base_link,12,7.2692,1.5672,-0.37025,7.3603,1.4971,-0.36965
2,17.705,/received_global_plan,wamv/wamv/base_link,13,7.9315,1.3102,-0.37805,8.0227,1.2404,-0.37745
2,17.705,/received_global_plan,wamv/wamv/base_link,14,8.5963,1.0461,-0.37025,8.6877,0.9768,-0.36965
2,17.705,/received_global_plan,wamv/wamv/base_link,15,9.2585,0.7891,-0.35002,9.3501,0.7201,-0.34942
2,17.705,/received_global_plan,wamv/wamv/base_link,16,9.9119,0.5506,-0.32426,10.0036,0.4820,-0.32367
2,17.705,/received_global_plan,wamv/wamv/base_link,17,10.5486,0.3365,-0.30107,10.6404,0.2684,-0.30047
2,17.705,/received_global_plan,wamv/wamv/base_link,18,11.1625,0.1459,-0.28779,11.2545,0.0781,-0.28719
2,17.705,/received_global_plan,wamv/wamv/base_link,19,11.7565,-0.0299,-0.17447,11.8486,-0.0974,-0.17387
2,17.705,/received_global_plan,wamv/wamv/base_link,20,10.9993,0.0011,0.00007,11.0913,-0.0668,0.00067
