t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,goal_status,plan_id,plan_nearest_error_m,raw_obstacle_points,dynamic_obstacle_points,dynamic_tracks,dynamic_predicted_points,dynamic_max_speed_mps,safety_stop,cmd_vx,cmd_wz,left_thrust_n,right_thrust_n
1.201,-0.1349,0.1769,-0.00065,,,0,IDLE code=0,0,,3038,0,0,0,0.000,0,,,,
1.400,-0.1290,0.1637,-0.00006,,,0,IDLE code=0,0,,3038,0,0,0,0.000,0,,,,
1.601,-0.1290,0.1637,-0.00006,,,0,IDLE code=0,0,,3038,0,0,0,0.000,0,,,,
1.801,-0.1346,0.1627,-0.00021,,,0,IDLE code=0,0,,3038,0,0,0,0.000,0,,,,
2.000,-0.1324,0.1622,0.00016,,,0,IDLE code=0,0,,3038,0,0,0,0.000,0,,,,
2.200,-0.1324,0.1622,0.00016,,,0,IDLE code=0,0,,3064,0,0,0,0.000,0,,,,
2.401,-0.1324,0.1622,0.00016,,,0,IDLE code=0,0,,3064,0,0,0,0.000,0,,,,
2.601,-0.1324,0.1622,0.00016,,,0,IDLE code=0,0,,3064,0,0,0,0.000,0,,,,
2.801,-0.1324,0.1622,0.00016,,,0,IDLE code=0,0,,3064,0,0,0,0.000,0,,,,
3.000,-0.1551,0.1638,0.00019,,,0,IDLE code=0; status_seq=1,0,,3064,0,0,0,0.000,0,,,,
3.201,-0.1594,0.1626,0.00021,,,0,IDLE code=0; status_seq=1,0,,3064,0,0,0,0.000,0,,,,
3.401,-0.1644,0.1635,-0.00118,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,0,,,,
3.601,-0.1677,0.1651,0.00045,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,0,,,,
3.800,-0.1677,0.1651,0.00045,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,0,,,,
4.001,-0.1715,0.1634,-0.00242,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,0,,,,
4.201,-0.1753,0.1652,0.00019,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,1,,,,
4.401,-0.1788,0.1658,0.00076,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,1,,,,
4.600,-0.1788,0.1658,0.00076,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,1,,,,
4.801,-0.1788,0.1658,0.00076,,,0,IDLE code=0; status_seq=1,0,,2951,0,0,0,0.000,1,,,,
5.000,-0.1788,0.1658,0.00076,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
5.201,-0.1795,0.1606,-0.00158,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
5.401,-0.1761,0.1578,-0.00020,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
5.601,-0.1756,0.1580,0.00077,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
5.801,-0.1731,0.1578,0.00017,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
6.001,-0.1731,0.1578,0.00017,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
6.200,-0.1731,0.1578,0.00017,,,0,IDLE code=0; status_seq=1,0,,3481,0,0,0,0.000,1,,,,
6.400,-0.1731,0.1578,0.00017,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
6.601,-0.1589,0.1610,-0.00058,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
6.801,-0.1514,0.1536,-0.00044,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
7.001,-0.1471,0.1541,-0.00056,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
7.200,-0.1454,0.1528,-0.00031,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
7.400,-0.1456,0.1535,-0.00002,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
7.601,-0.1437,0.1539,0.00012,,,0,IDLE code=0; status_seq=1,0,,3656,0,0,0,0.000,1,,,,
7.800,-0.1432,0.1540,-0.00105,,,0,IDLE code=0; status_seq=1,0,,3527,0,0,0,0.000,1,,,,
