t,pose_x,pose_y,pose_yaw,goal_x,goal_y,goal_active,des_vx,des_wz,act_vx,act_wz,crosstrack_err,along_err,heading_err,mode,obstacle_pts,left_thrust,right_thrust,safety_stop,path_min_clearance,path_length,raw_obstacle_pts,safety_cloud_pts,lio_input_pts,registered_pts,dynamic_track_count,dynamic_point_count,dynamic_max_speed,goal_accepted,goal_status,goal_result_code
0.200,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.401,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.600,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
0.800,0.000,0.000,0.0000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.001,-2.205,2.638,-0.0054,0.000,0.000,0,0.000,0.000,-0.012,0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,0,0,0,0,0.000,0,IDLE code=0,0
1.201,-2.230,2.648,0.0013,0.000,0.000,0,0.000,0.000,0.000,-0.009,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,23138,7829,0,0,0.000,0,IDLE code=0,0
1.401,-2.238,2.652,-0.0002,0.000,0.000,0,0.000,0.000,0.001,-0.006,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,23140,7829,0,0,0.000,0,IDLE code=0,0
1.600,-2.243,2.653,-0.0014,0.000,0.000,0,0.000,0.000,0.001,0.008,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,23140,7828,0,0,0.000,0,IDLE code=0,0
1.800,-2.244,2.653,0.0010,0.000,0.000,0,0.000,0.000,0.000,0.009,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,23140,7802,7,215,3.265,0,IDLE code=0,0
2.000,-2.244,2.658,-0.0024,0.000,0.000,0,0.000,0.000,0.000,0.019,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,23080,7802,9,255,1.575,0,IDLE code=0,0
2.200,-2.240,2.656,-0.0038,0.000,0.000,0,0.000,0.000,0.002,-0.003,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22913,7776,10,270,3.397,0,IDLE code=0,0
2.400,-2.235,2.654,-0.0024,0.000,0.000,0,0.000,0.000,-0.002,-0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,0,0,22849,7758,11,310,5.000,0,IDLE code=0,0
2.600,-2.231,2.652,-0.0029,0.000,0.000,0,0.000,0.000,-0.004,0.002,0.000,0.000,0.0000,PLAN,0,0.000,0.000,0,nan,0.000,3810,3810,22783,7746,11,310,5.000,0,IDLE code=0,0
