2026-09-01T20:03:47+08:00 fresh=ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:03:49+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:03:55+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:01+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:07+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:13+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:20+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:25+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:31+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:38+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:42+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:46+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:52+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:04:58+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:05:04+08:00 ACCEPTED code=1; Nav2 goal accepted; status_seq=6
2026-09-01T20:05:11+08:00 ABORTED code=6; status_seq=7
