boat camera_init x=-0.25 y=0.24 yaw=0.000
global_costmap 200x200 res=0.5 unknown=86.6% cost>=50=3.1%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=9.4%

bearing  best_r       x       y  why
      0    24.0   23.75    0.25  local:free
    -15    24.0   22.93   -5.96  local:free
     15    21.0   20.03    5.68  local:free
    -30    24.0   20.54  -11.75  local:free
     30    21.5   18.36   11.00  local:free
    -45    24.0   16.72  -16.72  local:free
     45    24.0   16.71   17.22  local:free
