boat camera_init x=-0.15 y=0.08 yaw=0.001
global_costmap 200x200 res=0.5 unknown=86.6% cost>=50=3.6%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=12.1%

bearing  best_r       x       y  why
      0    24.0   23.85    0.11  local:free
    -15    24.0   23.04   -6.10  local:free
     15    21.0   20.13    5.54  local:free
    -30    24.0   20.65  -11.89  local:free
     30    21.0   18.02   10.61  local:free
    -45    24.0   16.84  -16.87  local:free
     45    24.0   16.80   17.07  local:free
