boat camera_init x=-0.16 y=0.14 yaw=-0.000
global_costmap 200x200 res=0.5 unknown=86.6% cost>=50=3.3%
local_costmap  200x200 res=0.30000001192092896 unknown=0.0% cost>=50=9.5%

bearing  best_r       x       y  why
      0    24.0   23.84    0.13  local:free
    -15    24.0   23.02   -6.08  local:free
     15    21.0   20.13    5.57  local:free
    -30    24.0   20.62  -11.87  local:free
     30    20.5   17.60   10.38  local:free
    -45    24.0   16.81  -16.84  local:free
     45    24.0   16.81   17.10  local:free
