t,source,point_index,x,y,z
1.974,raw,0,-5.4900,-6.1806,0.5716
1.974,raw,10,-5.3359,-6.3871,0.5646
1.974,raw,20,-5.1663,-6.5797,0.5595
1.974,raw,31,-5.0205,-6.8484,0.5429
1.974,raw,41,-4.8557,-7.0600,0.5331
1.974,raw,52,-4.6784,-7.3073,0.5192
1.974,raw,62,-4.4898,-7.4998,0.5113
1.974,raw,73,-5.9755,-6.8235,0.6871
1.974,raw,83,-5.8106,-7.0534,0.6799
1.974,raw,94,-5.6229,-7.3057,0.6714
1.974,raw,104,-5.4798,-7.5780,0.6568
1.974,raw,115,-5.2572,-7.8012,0.6513
1.974,raw,125,-5.0937,-8.0672,0.6367
1.974,raw,136,-4.8819,-8.3248,0.6249
1.974,raw,146,-4.2992,-7.9063,0.7017
1.974,raw,156,-4.1037,-8.1142,0.6919
1.974,raw,167,-4.2840,-9.1332,0.5774
1.974,raw,177,-4.0761,-9.4005,0.5601
1.974,raw,188,-3.8265,-9.6719,0.5434
1.974,raw,198,-3.5672,-9.8598,0.5348
1.974,raw,209,-3.3030,-10.1393,0.5155
1.974,raw,219,-6.6030,-7.4650,0.8307
1.974,raw,230,-6.4300,-7.7710,0.8202
1.974,raw,240,-6.2335,-8.0114,0.8149
1.974,raw,251,-6.0585,-8.3365,0.8012
1.974,raw,261,-5.8687,-8.6037,0.7918
1.974,raw,272,-5.6388,-8.8788,0.7830
1.974,raw,282,-5.4259,-9.1331,0.7741
1.974,raw,292,-4.3188,-7.8861,0.9260
1.974,raw,303,-4.0876,-8.0850,0.9206
1.974,raw,313,-4.7566,-9.9891,0.7359
1.974,raw,324,-4.5094,-10.3164,0.7188
1.974,raw,334,-4.2686,-10.6029,0.7039
1.974,raw,345,-3.9656,-10.8527,0.6934
1.974,raw,355,-3.7272,-11.1995,0.6714
1.974,raw,366,-3.5003,-11.7381,0.6312
1.974,raw,376,-3.2456,-12.1505,0.6020
1.974,raw,387,-2.9542,-12.6449,0.5653
1.974,raw,397,-2.7053,-13.2581,0.5159
1.974,raw,408,-7.7000,-7.7360,1.0113
1.974,raw,418,-7.5163,-8.0184,1.0065
1.974,raw,428,-7.3542,-8.3308,0.9984
1.974,raw,439,-7.1394,-8.6444,0.9921
1.974,raw,449,-6.9271,-8.9169,0.9870
1.974,raw,460,-6.6973,-9.2301,0.9798
1.974,raw,470,-6.4970,-9.5375,0.9709
1.974,raw,481,-6.2616,-9.8689,0.9613
1.974,raw,491,-6.0440,-10.1795,0.9514
1.974,raw,502,-4.2502,-7.8762,1.1515
1.974,raw,512,-4.0596,-8.0907,1.1451
1.974,raw,523,-5.2724,-11.1569,0.9188
1.974,raw,533,-5.0002,-11.4404,0.9095
1.974,raw,544,-4.7392,-11.8652,0.8901
1.974,raw,554,-4.4364,-12.1291,0.8813
1.974,raw,565,-4.1937,-12.6952,0.8507
1.974,raw,575,-3.9401,-13.1887,0.8242
1.974,raw,585,-3.7134,-13.8510,0.7853
1.974,raw,596,-3.4062,-14.5084,0.7474
1.974,raw,606,-3.0985,-15.1189,0.7116
1.974,raw,617,-2.7387,-15.8611,0.6668
1.974,raw,627,-2.4255,-16.8324,0.6048
1.974,raw,638,-1.9921,-17.6961,0.5505
1.974,raw,648,-10.3102,-5.0973,1.2519
1.974,raw,659,-10.1971,-5.4685,1.2487
1.974,raw,669,-10.0959,-5.8117,1.2452
1.974,raw,680,-9.9108,-6.1502,1.2446
1.974,raw,690,-9.7956,-6.4940,1.2406
1.974,raw,701,-9.5983,-6.8301,1.2395
1.974,raw,711,-9.3913,-7.1172,1.2395
1.974,raw,721,-9.2896,-7.4880,1.2329
1.974,raw,732,-9.0675,-7.8159,1.2313
1.974,raw,742,-8.8658,-8.1174,1.2292
1.974,raw,753,-8.6546,-8.4637,1.2256
1.974,raw,763,-8.4728,-8.7955,1.2209
1.974,raw,774,-8.2530,-9.1497,1.2162
1.974,raw,784,-8.0669,-9.4964,1.2102
1.974,raw,795,-7.7893,-9.8037,1.2077
1.974,raw,805,-7.5808,-10.1450,1.2015
1.974,raw,816,-7.3591,-10.5469,1.1930
1.974,raw,826,-7.0935,-10.8375,1.1891
1.974,raw,837,-6.8622,-11.2637,1.1787
1.974,raw,847,-4.3672,-7.8613,1.3702
1.974,raw,857,-4.1109,-7.9590,1.3722
1.974,raw,868,-6.0547,-12.3438,1.1545
1.974,raw,878,-5.8136,-12.7813,1.1416
1.974,raw,889,-5.4861,-13.1700,1.1319
1.974,raw,899,-5.1707,-13.5122,1.1232
1.974,raw,910,-4.9486,-14.2591,1.0953
1.974,raw,920,-4.6950,-14.8922,1.0720
1.974,raw,931,-4.4043,-15.6673,1.0426
1.974,raw,941,-4.1024,-16.3705,1.0157
1.974,raw,952,-4.1271,-18.7847,0.9090
1.974,raw,962,-4.4000,-22.7816,0.7288
1.974,raw,973,-3.8605,-23.9873,0.6797
1.974,raw,983,-3.2218,-24.4985,0.6615
1.974,raw,994,-2.4772,-24.9373,0.6462
1.974,raw,1004,-1.7773,-25.2931,0.6333
1.974,raw,1014,-1.0530,-25.5217,0.6254
1.974,raw,1025,-0.2478,-25.9123,0.6092
1.974,raw,1035,0.5043,-26.2183,0.5958
1.974,raw,1046,1.3533,-26.5961,0.5779
1.974,raw,1056,2.1489,-26.9648,0.5595
1.974,raw,1067,3.0537,-27.3896,0.5370
1.974,raw,1077,3.9033,-27.7679,0.5158
1.974,raw,1088,22.1737,9.6006,0.7248
1.974,raw,1098,26.2751,12.2614,0.5049
1.974,raw,1109,-18.7923,19.6278,0.5556
1.974,raw,1119,-18.1393,17.9242,0.6311
1.974,raw,1130,-17.6968,16.4424,0.6915
1.974,raw,1140,-17.2975,15.1922,0.7425
1.974,raw,1150,-16.9585,14.0712,0.7868
1.974,raw,1161,-16.3743,12.7607,0.8442
1.974,raw,1171,-16.1240,11.8494,0.8777
1.974,raw,1182,-11.0688,7.7836,1.1720
1.974,raw,1192,-15.4416,9.9976,0.9499
1.974,raw,1203,-15.2143,9.1884,0.9775
1.974,raw,1213,-14.8632,8.4131,1.0086
1.974,raw,1224,-14.6717,7.7060,1.0310
1.974,raw,1234,-14.6887,0.0328,1.4651
1.974,raw,1245,-14.4749,-0.4377,1.4695
1.974,raw,1255,-14.2696,-0.8540,1.4735
1.974,raw,1266,-8.1632,-0.6770,1.6081
1.974,raw,1276,-8.1420,-0.9263,1.6079
1.974,raw,1286,-13.6999,-2.0945,1.4828
1.974,raw,1297,-13.4979,-2.5179,1.4855
1.974,raw,1307,-13.3260,-2.8989,1.4875
1.974,raw,1318,-13.1258,-3.3094,1.4896
1.974,raw,1328,-12.9647,-3.6835,1.4908
1.974,raw,1339,-12.8080,-4.0982,1.4914
1.974,raw,1349,-12.4131,-4.3836,1.4976
1.974,raw,1360,-12.2286,-4.7764,1.4984
1.974,raw,1370,-12.0591,-5.1311,1.4989
1.974,raw,1381,-11.8921,-5.5292,1.4987
1.974,raw,1391,-11.7294,-5.8867,1.4984
1.974,raw,1402,-11.5667,-6.2898,1.4975
1.974,raw,1412,-11.3162,-6.5999,1.4990
1.974,raw,1423,-11.1484,-7.0034,1.4976
1.974,raw,1433,-10.9797,-7.3641,1.4964
1.974,raw,1443,-10.8119,-7.7295,1.4949
1.974,raw,1454,-10.5268,-8.0620,1.4957
1.974,raw,1464,-10.3565,-8.4333,1.4936
1.974,raw,1475,-10.1626,-8.8448,1.4911
1.974,raw,1485,-9.9069,-9.1559,1.4908
1.974,raw,1496,-9.7213,-9.5920,1.4873
1.974,raw,1506,-9.5516,-10.0008,1.4836
1.974,raw,1517,-9.2316,-10.3224,1.4833
1.974,raw,1527,-9.1413,-10.8476,1.4760
1.974,raw,1538,-8.8233,-11.1921,1.4747
1.974,raw,1548,-8.5399,-11.5187,1.4729
1.974,raw,1559,-8.3946,-12.1197,1.4642
1.974,raw,1569,-8.1061,-12.4739,1.4614
1.974,raw,1579,-7.7919,-12.8018,1.4591
1.974,raw,1590,-4.5068,-8.2041,1.5835
1.974,raw,1600,-4.2896,-8.3938,1.5823
1.974,raw,1611,-6.9875,-14.3430,1.4384
1.974,raw,1621,-6.6583,-14.7469,1.4336
1.974,raw,1632,-6.2864,-15.2058,1.4278
1.974,raw,1642,-7.9720,-20.6649,1.3024
