wall_time,t,event,detail
2026-09-01T22:14:46+0800,0.000,recorder_started,prefix=/home/jkjkzhang/lidar_project/report4/data/sudden_obstacle_20260901_sudden02
2026-09-01T22:14:49+0800,3.371,goal_status,IDLE code=0; status_seq=1
2026-09-01T22:14:54+0800,8.124,goal_received,frame=camera_init; x=24.000; y=0.000
2026-09-01T22:14:54+0800,8.125,goal_status,QUEUED code=1; waiting for Nav2 action server; status_seq=2
2026-09-01T22:14:54+0800,8.128,goal_status,ACCEPTED code=1; Nav2 goal accepted; status_seq=3
2026-09-01T22:14:54+0800,8.143,plan_received,id=1; source=/unsmoothed_plan; points=33; frame=camera_init; world_frame=camera_init
2026-09-01T22:14:54+0800,8.144,plan_received,id=2; source=/plan; points=33; frame=camera_init; world_frame=camera_init
2026-09-01T22:14:54+0800,8.328,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:54+0800,8.429,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:54+0800,8.528,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:54+0800,8.628,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,8.730,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,8.829,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,8.930,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.029,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.129,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.228,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.329,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.428,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.528,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:55+0800,9.628,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,9.729,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,9.829,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,9.928,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.028,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.128,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.229,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.329,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.429,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.529,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:56+0800,10.628,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,10.729,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,10.828,plan_received,id=2; source=/received_global_plan; points=33; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,10.928,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.029,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.129,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.229,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.329,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.428,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.529,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:57+0800,11.628,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,11.729,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,11.829,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,11.930,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.030,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.130,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.230,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.329,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.430,plan_received,id=2; source=/received_global_plan; points=31; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.435,plan_received,id=3; source=/unsmoothed_plan; points=32; frame=camera_init; world_frame=camera_init
2026-09-01T22:14:58+0800,12.437,plan_received,id=4; source=/plan; points=32; frame=camera_init; world_frame=camera_init
2026-09-01T22:14:58+0800,12.529,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:58+0800,12.629,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,12.729,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,12.829,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,12.929,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.029,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.130,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.229,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.330,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.429,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.528,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:14:59+0800,13.628,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,13.731,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,13.829,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,13.928,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.028,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.128,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.229,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.329,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.429,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.528,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:00+0800,14.629,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,14.728,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,14.828,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,14.929,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,15.029,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,15.131,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,15.229,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,15.329,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,15.429,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
2026-09-01T22:15:01+0800,15.529,plan_received,id=4; source=/received_global_plan; points=32; frame=wamv/wamv/base_link; world_frame=camera_init
