plan_id,t,source,frame_id,point_index,x,y,yaw,raw_x,raw_y,raw_yaw
1,8.143,/unsmoothed_plan,camera_init,0,-0.2063,0.2267,0.00000,-0.2063,0.2267,0.00000
1,8.143,/unsmoothed_plan,camera_init,1,-1.4219,0.3331,-0.17453,-1.4219,0.3331,-0.17453
1,8.143,/unsmoothed_plan,camera_init,2,-0.2202,0.1212,-0.17453,-0.2202,0.1212,-0.17453
1,8.143,/unsmoothed_plan,camera_init,3,0.9584,-0.1946,-0.34907,0.9584,-0.1946,-0.34907
1,8.143,/unsmoothed_plan,camera_init,4,2.1370,-0.5104,-0.17453,2.1370,-0.5104,-0.17453
1,8.143,/unsmoothed_plan,camera_init,5,3.3525,-0.6168,0.00000,3.3525,-0.6168,0.00000
1,8.143,/unsmoothed_plan,camera_init,6,4.5727,-0.6168,0.00000,4.5727,-0.6168,0.00000
1,8.143,/unsmoothed_plan,camera_init,7,5.7929,-0.6168,0.00000,5.7929,-0.6168,0.00000
1,8.143,/unsmoothed_plan,camera_init,8,6.5213,-0.5971,0.00000,6.5213,-0.5971,0.00000
1,8.143,/unsmoothed_plan,camera_init,9,7.2496,-0.5720,0.00000,7.2496,-0.5720,0.00000
1,8.143,/unsmoothed_plan,camera_init,10,7.9778,-0.5469,0.00000,7.9778,-0.5469,0.00000
1,8.143,/unsmoothed_plan,camera_init,11,8.7061,-0.5218,0.00000,8.7061,-0.5218,0.00000
1,8.143,/unsmoothed_plan,camera_init,12,9.4344,-0.4967,0.00000,9.4344,-0.4967,0.00000
1,8.143,/unsmoothed_plan,camera_init,13,10.1627,-0.4716,0.00000,10.1627,-0.4716,0.00000
1,8.143,/unsmoothed_plan,camera_init,14,10.8909,-0.4465,0.00000,10.8909,-0.4465,0.00000
1,8.143,/unsmoothed_plan,camera_init,15,11.6192,-0.4214,0.00000,11.6192,-0.4214,0.00000
1,8.143,/unsmoothed_plan,camera_init,16,12.3475,-0.3963,0.00000,12.3475,-0.3963,0.00000
1,8.143,/unsmoothed_plan,camera_init,17,13.0758,-0.3712,0.00000,13.0758,-0.3712,0.00000
1,8.143,/unsmoothed_plan,camera_init,18,13.8040,-0.3460,0.00000,13.8040,-0.3460,0.00000
1,8.143,/unsmoothed_plan,camera_init,19,14.5323,-0.3209,0.00000,14.5323,-0.3209,0.00000
1,8.143,/unsmoothed_plan,camera_init,20,15.2606,-0.2958,0.00000,15.2606,-0.2958,0.00000
1,8.143,/unsmoothed_plan,camera_init,21,15.9889,-0.2707,0.00000,15.9889,-0.2707,0.00000
1,8.143,/unsmoothed_plan,camera_init,22,16.7171,-0.2456,0.00000,16.7171,-0.2456,0.00000
1,8.143,/unsmoothed_plan,camera_init,23,17.4454,-0.2205,0.00000,17.4454,-0.2205,0.00000
1,8.143,/unsmoothed_plan,camera_init,24,18.1737,-0.1954,0.00000,18.1737,-0.1954,0.00000
1,8.143,/unsmoothed_plan,camera_init,25,18.9020,-0.1703,0.00000,18.9020,-0.1703,0.00000
1,8.143,/unsmoothed_plan,camera_init,26,19.6302,-0.1452,0.00000,19.6302,-0.1452,0.00000
1,8.143,/unsmoothed_plan,camera_init,27,20.3585,-0.1201,0.00000,20.3585,-0.1201,0.00000
